link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-104179543#0	228.47897863168	1.2850187952	0.70975709986048	0.248613927968	0.06020550826752	0.048261154393984	0.0003253620234144	0	0	0.102424	0	0.0003253620234144	0.102749362023414	46	0	5	3.472	17.36
-104179543#1	111.685909689663	0.63016252660416	0.346254211231266	0.121376716946023	0.0291936346235959	0.0234408995920552	0.000159317863537505	0	0	0.020064	0	0.000159317863537505	0.0202233178635375	46	0	4.82	1.7344398340249	8.36
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.6
-104688711#3	174.704979472483	0.98315544716064	0.55126264526685	0.198194381351178	0.0505368240587993	0.038148744638208	0.000699648966727531	0	0	0	0	0.000699648966727531	0.000699648966727531	16	0	8.89	5.74690663667042	51.09
-104688711#4	173.735184110589	0.9770162474688	0.548288044264214	0.197001701005777	0.0502530589611076	0.0379595628576685	0.000695765481987727	0	0	0	0	0.000695765481987727	0.000695765481987727	16	0	8.86	5.7234762979684	50.71
-104688711#5	291.734391504058	1.6331935553808	0.92152680285379	0.329744253256009	0.0843202563731301	0.0639815162819712	0.00116844105893624	0	0	0	0	0.00116844105893624	0.00116844105893624	16	0	8.65	9.7121387283237	84.01
-109406983	221.519804156302	1.24087060697472	0.699654524698127	0.250494071669183	0.0640351515966955	0.0485584535954349	0.0023658633365395	0	0	0	0	0.0023658633365395	0.0023658633365395	6	0	8.68	19.6359447004608	170.44
-109406986	299.84794087915	1.653520344804	0.946765019907788	0.332649256817128	0.0849883664598617	0.0662483727183284	0.000410822072197243	0	0	0.02655	0	0.000410822072197243	0.0269608220721972	47	0	7.2	3.6875	26.55
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8
-113957039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.96
-12319876#0	3614.42167711758	23.3481415363308	10.6787312261493	4.37076530951108	0.990682788351298	0.686423422274947	0.00111611835600756	0	0	0.221544	0	0.00111611835600756	0.222660118356008	212	37	11.95	7.72468619246862	92.31
-12319876#1	3210.10175852039	18.1695987757766	10.1148406818533	3.65518504623829	0.928697287127219	0.69743188587015	0.000970350621489863	0.000104633815080673	0.0080457913328164	0.172488	0	0.00107498443657054	0.181608775769387	212	37	9.12	7.88048245614035	71.87
-12544650	4333.15607330631	28.90013143248	12.4996178127694	5.30755523119317	1.16511904000944	0.793960669369144	0.00211703159137604	0	0	0	0	0.00211703159137604	0.00211703159137604	135	25	12.43	14.1592920353982	176
-128245297	4297.56030775497	28.0889165869465	12.591229554836	5.22150003235007	1.16985556770455	0.805596182352166	0.00193214331794254	0	0	0	0.0673576183826836	0.00193214331794254	0.0692897617006261	146	45	12.13	13.2061005770816	160.19
-128245298#0	157.854665753915	1.096930663686	0.4390588539851	0.196538879001227	0.0413291429270005	0.0275776039180227	7.35723772282882e-05	5.22731636614069e-07	0.000287383849027685	0.014688	0	7.40951088649023e-05	0.0150494789578926	143	45	13.01	0.470407378939278	6.12
-128245298#1	485.759504425395	3.373088602884	1.35205220293298	0.604626017627632	0.127242659763099	0.0849362987669356	0.000226357610333232	6.20028051160712e-06	0.00110642781875659	0.045192	0	0.000232557890844839	0.0465309857096014	143	45	13	1.44846153846154	18.83
-128363658#0	188.460336313088	1.2899535621	0.531702419132659	0.233236694536048	0.0498410469826483	0.0335147580150602	0.000500445622803538	0	0	0	0	0.000500445622803538	0.000500445622803538	25	11	12.8	3.25390625	41.65
-128363658#1	269.039548443546	1.8467672118	0.757056724623595	0.333339942290817	0.0710176972251006	0.047684931894646	0.000714946747045413	0	0	0	0	0.000714946747045413	0.000714946747045413	25	11	12.84	4.63395638629283	59.5
-128363658#2	119.249493760661	0.814483284561	0.337089360600633	0.147456482790151	0.0315814070577882	0.0212595969129033	0.000316486346278978	0	0	0	0	0.000316486346278978	0.000316486346278978	25	11	12.77	2.06264682850431	26.34
