link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-104179543#0	252.05798903206	1.4161779775584	0.783508135480444	0.274387427762511	0.0665929259013888	0.0533506146679417	0.000323566419405512	0	0	0.102424	0	0.000323566419405512	0.102747566419406	51	0	5.06	3.43083003952569	17.36
-104179543#1	123.516791589187	0.6965350245612	0.383062902506152	0.134261722275821	0.0323301858123188	0.0259523216045444	0.000158874624775321	0	0	0.049324	0	0.000158874624775321	0.0494828746247753	51	0	4.85	1.72371134020619	8.36
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.6
-104688711#3	175.148215443672	0.9847364284368	0.552775363134205	0.198573018159699	0.0506605678548846	0.0382757660991369	0.000701424971011946	0	0	0	0	0.000701424971011946	0.000701424971011946	16	0	8.85	5.7728813559322	51.09
-104688711#4	173.735184110589	0.9770162474688	0.548288044264214	0.197001701005777	0.0502530589611076	0.0379595628576685	0.000695765481987727	0	0	0	0	0.000695765481987727	0.000695765481987727	16	0	8.86	5.7234762979684	50.71
-104688711#5	290.97732244527	1.63028029826976	0.918995210980753	0.329085995506155	0.0841171395305381	0.0637732444380998	0.0011653710671148	0	0	0	0	0.0011653710671148	0.0011653710671148	16	0	8.69	9.66743383199079	84.01
-109406983	219.115251322808	1.2319324490808	0.691537234972063	0.2484203260066	0.0633777685348395	0.0478840397382333	0.00234000532509837	0.000239316084475897	0.026027397260274	0	0	0.00257932140957427	0.0286067186698482	6	0	8.85	19.2587570621469	170.44
-109406986	300.521014702082	1.6571697894441	0.948784567967748	0.333286608632879	0.0851231863509824	0.0663854154307867	0.00041181304517066	4.20167142505045e-05	0.00332264645875838	0.02655	0	0.000453829759421164	0.0303264762181795	47	0	7.17	3.70292887029289	26.55
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8
-113957039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.96
-12319876#0	3701.86905284375	23.8823116643425	10.9468064357393	4.4741864949686	1.01540226118375	0.704027376767732	0.00111646107562997	0	0	0.221544	0	0.00111646107562997	0.22266046107563	217	37	11.93	7.73763621123219	92.31
-12319876#1	3302.97676084907	18.6902889387198	10.4082084323728	3.76031979095138	0.955574542768331	0.717780409481331	0.000970936014534084	0	0	0.172488	0	0.000970936014534084	0.173458936014534	218	37	9.11	7.88913282107574	71.87
-12544650	4405.67230272689	29.22355520304	12.7642233817862	5.38460135765601	1.18863223845642	0.812275379067558	0.00211823485912474	1.6267198660603e-05	0.00111655501116555	0	0	0.00213450205778534	0.00325105706895089	137	25	12.35	14.251012145749	176
-128245297	4746.94414964478	30.9038371704497	13.9477865940018	5.75834673349099	1.29520429700107	0.893757105469485	0.00193358519223289	5.86994087342688e-05	0.00524121500893389	0	0.0610820638749802	0.00199228460096716	0.0683155634848812	161	45	12.07	13.2717481358741	160.19
-128245298#0	173.134486138443	1.20925869440832	0.479143142857449	0.216001194592352	0.0451734446994332	0.0300647437355602	7.35982320599359e-05	0	0	0.014688	0	7.35982320599359e-05	0.0147615982320599	157	45	13.08	0.467889908256881	6.12
-128245298#1	532.62614651871	3.72284814919206	1.47294683483203	0.664693426403243	0.138901262290118	0.0924100691724373	0.000226459889005486	0	0	0.045192	0	0.000226459889005486	0.0454184598890055	157	45	13.09	1.43850267379679	18.83
-128363658#0	248.507157337833	1.708274051946	0.698354314185602	0.308076050466205	0.0655357482427593	0.0439718791940882	0.000500476836091866	0	0	0	0	0.000500476836091866	0.000500476836091866	33	11	12.86	3.23872472783826	41.65
-128363658#1	354.321652939783	2.456825149548	0.987596926881665	0.440770449427584	0.0929036383574584	0.0620603121437686	0.000715199140565206	0	0	0	0	0.000715199140565206	0.000715199140565206	33	11	12.98	4.58397534668721	59.5
-128363658#2	156.737014378828	1.09074862516356	0.435330806839632	0.195260312797618	0.0409962682380821	0.0273352625472506	0.000316678602872805	0	0	0	0	0.000316678602872805	0.000316678602872805	33	11	13.03	2.02148887183423	26.34
-128363658#3	1828.67864497121	12.6706641005412	5.10061430497691	2.27419107512266	0.479715291018365	0.320571545235491	0.00312271960091263	0	0	0	0	0.00312271960091263	0.00312271960091263	39	11	12.97	20.0308404009252	259.8
