link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-104179543#0	228.47897863168	1.2850187952	0.70975709986048	0.248613927968	0.06020550826752	0.048261154393984	0.0003253620234144	0	0	0.102424	0	0.0003253620234144	0.102749362023414	46	0	5	3.472	17.36
-104179543#1	112.058799840025	0.63273189194688	0.347251597382153	0.121748808087137	0.0292375012545214	0.0234845453330676	0.000159911454014935	0	0	0.049324	0	0.000159911454014935	0.0494839114540149	46	0	4.78	1.7489539748954	8.36
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98.6
-104688711#3	174.046564054002	0.9808554848976	0.549003361946104	0.197634589909007	0.0503511572797021	0.0379581088694898	0.000697019080177518	0	0	0	0	0.000697019080177518	0.000697019080177518	16	0	8.95	5.70837988826816	51.09
-104688711#4	174.623583469256	0.98024932883328	0.551304101990198	0.197764125968256	0.0504986199126112	0.0382115603203198	0.000699336226029921	0	0	0	0	0.000699336226029921	0.000699336226029921	16	0	8.78	5.77562642369021	50.71
-104688711#5	290.600905361963	1.6288471871376	0.91773278564266	0.328759532190061	0.084015546921807	0.0636690565020204	0.00116384729222907	0	0	0	0	0.00116384729222907	0.00116384729222907	16	0	8.71	9.64523536165327	84.01
-109406983	223.558287111377	1.24887854084544	0.706431954079233	0.252275223451508	0.0645756001428654	0.0491124374729676	0.00238798151392495	0.000244645556782001	0.026027397260274	0	0	0.00263262707070695	0.0286600243309809	6	0	8.54	19.9578454332553	170.44
-109406986	300.971368692037	1.6596209461905	0.950133978107889	0.333713466490707	0.0852129446217565	0.0664766387055737	0.000412476649005629	4.20770260465575e-05	0.00332264645875838	0.02655	0	0.000454553675052186	0.0303272001338106	47	0	7.15	3.71328671328671	26.55
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.8
-113957039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.96
-12319876#0	3618.74393669109	23.3161426957644	10.7104129336085	4.37145268879782	0.993331239576065	0.689189820047079	0.00111681201501047	0	0	0.221544	0	0.00111681201501047	0.22266081201501	212	37	11.91	7.75062972292191	92.31
-12319876#1	3233.97439967253	18.247873609392	10.1980644129785	3.67519829402502	0.935621487954908	0.704546721019066	0.000977480932660752	0	0	0.172488	0	0.000977480932660752	0.173465480932661	212	37	9	7.98555555555556	71.87
-12544650	4333.15607330631	28.90013143248	12.4996178127694	5.30755523119317	1.16511904000944	0.793960669369144	0.00211703159137604	1.61249876098771e-05	0.00113309656688652	0	0	0.00213315657898591	0.00326625314587243	135	25	12.43	14.1592920353982	176
