edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
-104179543#0	251.017997089254	1.4091516632088	0.780687604761853	0.27335302507778	0.0664613809013523	0.053219271908688	0.000322080710270482	0	0	0.102424	0	0.000322080710270482	0.10274608071027	51	0	18.396	3.3972602739726	0.01736
-104179543#1	124.032169445573	0.7000802889696	0.384443112672752	0.134775861514111	0.0323912102284535	0.0260130584304419	0.000159614286567479	0	0	0.049324	0	0.000159614286567479	0.0494836142865675	51	0	17.28	1.74166666666667	0.00836
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0986
-104688711#3	174.046564054002	0.9808554848976	0.549003361946104	0.197634589909007	0.0503511572797021	0.0379581088694898	0.000697019080177518	0	0	0	0	0.000697019080177518	0.000697019080177518	16	0	32.22	5.70837988826816	0.05109
-104688711#4	174.177679616752	0.97861386074496	0.549793436013911	0.197380758245999	0.0503758579871306	0.0380855941960997	0.000697541823049378	0	0	0	0	0.000697541823049378	0.000697541823049378	16	0	31.752	5.74943310657596	0.05071
-104688711#5	290.788937449776	1.6295617829184	0.918363718349353	0.328922541592779	0.0840663459619283	0.0637211546877062	0.00116460824458652	0	0	0	0	0.00116460824458652	0.00116460824458652	16	0	31.32	9.65632183908046	0.08401
-109406983	216.519634516505	1.22296259343744	0.682605875595682	0.246218882983769	0.0626421763542631	0.0471286599263524	0.00231240281584577	0.000236099025068981	0.026027397260274	0	0	0.00254850184091475	0.0285758991011887	6	0	32.544	18.853982300885	0.17044
-109406986	299.400863105195	1.6511055753636	0.945421697649613	0.332226313884107	0.0848983663470198	0.0661568738953978	0.000410164378734323	4.18663683960823e-05	0.00332264645875838	0.02655	0	0.000452030747130406	0.0303246772058888	47	0	25.992	3.67728531855956	0.02655
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378
-113957039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02396
-12319876#0	3697.48692668342	23.9155324840114	10.9143616115221	4.47354171209869	1.01269594115587	0.701200145148157	0.00111578385614325	0	0	0.221544	0	0.00111578385614325	0.222659783856143	217	37	43.092	7.71177944862155	0.09231
-12319876#1	3282.9312118663	18.6277824957966	10.3374859802575	3.74369536063935	0.949641153746763	0.711680417274145	0.000965154080437498	0	0	0.172488	0	0.000965154080437498	0.173453154080437	218	37	33.156	7.80347448425624	0.07187
-12544650	4403.55398809992	29.249314920672	12.744397013075	5.3849436284679	1.18706439837607	0.810632645004174	0.0021179105342671	1.62318167892733e-05	0.00121654501216545	0	0	0.00213414235105637	0.00335068736322182	137	25	44.532	14.2279708973323	0.176
-128245297	4748.27679470763	30.8922792207036	13.9582640628096	5.75844521077252	1.29606670037925	0.894658760486671	0.00193383798573983	5.87587298375991e-05	0.00524121500893389	0	0.0610820638749802	0.00199259671557743	0.0683158755994915	161	45	43.416	13.2827529021559	0.16019
-128245298#0	173.017423764519	1.21286861833032	0.477059929780826	0.216169815035639	0.045030381292098	0.0299139027473648	7.36207869693628e-05	0	0	0.014688	0	7.36207869693628e-05	0.0147616207869694	157	45	47.268	0.466108149276466	0.00612
-128245298#1	532.065386505682	3.74079176836806	1.46266711781815	0.665546005768385	0.138199381612668	0.0916698557331941	0.000226579307624839	0	0	0.045192	0	0.000226579307624839	0.0454185793076248	157	45	47.412	1.42976461655277	0.01883
-128363658#0	248.25966171269	1.7139536861832	0.694844810205011	0.308298331989083	0.0652831931865034	0.0437061148429234	0.000500541427955902	0	0	0	0	0.000500541427955902	0.000500541427955902	33	11	46.512	3.22368421052632	0.04165
-128363658#1	354.005204819008	2.465351153496	0.982532270178141	0.441141473628542	0.0925483417654346	0.0616860302021217	0.000715386782015848	0	0	0	0	0.000715386782015848	0.000715386782015848	33	11	46.944	4.56288343558282	0.0595
-128363658#2	156.902846759507	1.0863718086672	0.437943128776108	0.195072147258781	0.0411801278247155	0.0275289202350758	0.000316587848386925	0	0	0	0	0.000316587848386925	0.000316587848386925	33	11	46.656	2.03240740740741	0.02634
-128363658#3	1830.12590083693	12.6349605581472	5.12227188035885	2.27272025856145	0.481256044238998	0.322193675151128	0.00312222480151124	0	0	0	0	0.00312222480151124	0.00312222480151124	39	11	46.512	20.1083591331269	0.2598
-128363658#4	469.347718437321	2.7311007078576	1.4657992260762	0.542491789031631	0.135073992162571	0.0993684761448147	0.00077303110606262	0	0	0	0	0.00077303110606262	0.00077303110606262	39	11	35.856	6.01807228915663	0.05994
-128363658#5	576.349602253289	3.2585756249358	1.78456356175219	0.625892435038512	0.149890043884311	0.120471073501612	0.000970750266438954	0	0	0	0	0.000970750266438954	0.000970750266438954	39	11	16.956	10.7048832271762	0.05042
-128823190#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
-128825640#0	188.833702546865	1.0457093560428	0.59715122290934	0.211315734961939	0.0542169737391591	0.041731265643301	0.000605998301088573	0	0	0	0	0.000605998301088573	0.000605998301088573	20	0	28.548	5.22446406052963	0.04143
-128825640#1	513.8069368985	2.8404267062304	1.62454862396238	0.573606615907624	0.147113224454272	0.113627210909119	0.0016500530705826	0	0	0	0	0.0016500530705826	0.0016500530705826	20	0	27.864	14.3695090439276	0.11122
-13278020#0	960.591110663878	6.5284169395776	2.72738068659567	1.18546132926618	0.255220371309445	0.172243329733578	0.000281655813980924	0	0	0.056256	0	0.000281655813980924	0.0565376558139809	226	0	45.72	1.84566929133858	0.02344
