edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
-104179543#0	1969.32748334734	12.0180143520192	5.76965223423863	2.10087322181116	0.421945251464472	0.344035275298611	0.000453311197564541	0	0	0.102424	0	0.000453311197564541	0.102877311197565	295	0	5.472	11.4210526315789	0.01736
-104179543#1	908.661170075407	5.4725585079792	2.69274457740184	0.971793940967831	0.20187631480463	0.164523851992021	0.000208060269828131	0	0	0.049324	0	0.000208060269828131	0.0495320602698281	295	0	7.272	4.13861386138614	0.00836
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0986
-104688711#3	172.859535897827	0.9768617591616	0.544891362626233	0.196633809258026	0.0500106630367722	0.037608342963387	0.000692303961784588	0	0	0	0	0.000692303961784588	0.000692303961784588	16	0	32.616	5.63907284768212	0.05109
-104688711#4	171.67987568603	0.9699445391856	0.541208004958431	0.195260222794583	0.0496694181734794	0.037360189884606	0.000687574520024742	0	0	0	0	0.000687574520024742	0.000687574520024742	16	0	32.58	5.60331491712707	0.05071
-104688711#5	287.640387401571	1.61794671624096	0.907713081949357	0.326211958013463	0.0832021289970042	0.0628344527664238	0.00115192639774302	0	0	0	0	0.00115192639774302	0.00115192639774302	16	0	31.932	9.47125140924465	0.08401
-109406983	435.557109155478	2.4064286089008	1.37697251418866	0.485774498624412	0.12454779562434	0.0963349690003733	0.00254403848983854	0.00026044073790917	0.0425902864259029	0	0	0.00280447922774771	0.0453947656536506	11	0	27.576	22.2506527415144	0.17044
-109406986	1399.88987308685	7.73231979312	4.40480986784273	1.54199413689984	0.389759692860346	0.307018838161826	0.00043533075715578	4.40912872585538e-05	0.00425447839831401	0.06372	0	0.000479422044414334	0.0684539004427284	208	0	23.4	4.08461538461538	0.02655
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378
-113957039	255.893333771045	1.4137744999392	0.804977014506614	0.281763294946808	0.071162461782255	0.0560865904508385	0.00039420627862949	4.21803308179522e-05	0.0078604044357469	0.02396	0	0.000436386609447443	0.0322567910451943	42	0	23.256	3.70897832817338	0.02396
-12319876#0	14435.6405280637	85.931029403568	44.6667847392286	16.8648549144558	4.12137020349967	2.9884687154874	0.00116273841272822	0	0	0.221544	0	0.00116273841272822	0.222706738412728	800	105	37.764	8.7998093422307	0.09231
-12319876#1	13290.1794953135	73.5537061404178	42.0262972087908	14.8610931410972	3.81264130735626	2.93787388067213	0.00105592412265201	0	0	0.172488	0	0.00105592412265201	0.173543924122652	808	107	28.332	9.13214739517154	0.07187
