edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
-104179543#0	698.912854640668	3.9235203171696	2.17367921325849	0.761100579628329	0.185049335058667	0.148179149235955	0.000322080710270482	0	0	0.102424	0	0.000322080710270482	0.10274608071027	142	0	18.396	3.3972602739726	0.01736
-104179543#1	343.623438453439	1.9374081884256	1.06580007878218	0.373541474824135	0.0899832443428366	0.0722254172792254	0.00015872725073	0	0	0.049324	0	0.00015872725073	0.04948272725073	142	0	17.496	1.7201646090535	0.00836
-104688711#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0986
-104688711#3	188.62726284646	1.05576618268368	0.595855099305681	0.21317154899802	0.0545163986990888	0.0413753343268216	0.000711047542425441	0	0	0	0	0.000711047542425441	0.000711047542425441	17	0	31.104	5.91319444444444	0.05109
-104688711#4	187.224280660481	1.04791354714992	0.591423215615406	0.211586009976309	0.0541109136431942	0.0410675905991999	0.000705758874073089	0	0	0	0	0.000705758874073089	0.000705758874073089	17	0	31.104	5.86921296296296	0.05071
-104688711#5	313.870553602956	1.7508809498772	0.992031337566622	0.353778260171393	0.0906137921125819	0.0690291991320126	0.00118343215241481	0	0	0	0	0.00118343215241481	0.00118343215241481	17	0	30.456	9.93026004728132	0.08401
-109406983	224.746761895661	1.2537169206624	0.710343255389155	0.253322643650037	0.0648839342417294	0.0494283034935346	0.00240095436326127	0.000246038845635769	0.026027397260274	0	0	0.00264699320889704	0.028674390469171	6	0	30.456	20.1465721040189	0.17044
-109406986	257.108925144614	1.41771277944	0.811504823294245	0.284925490425677	0.0727122613994853	0.0567695356857524	0.000414146001744137	4.22282399262794e-05	0.0039041095890411	0	0	0.000456374241670416	0.00436048383071151	40	0	25.56	3.73943661971831	0.02655
-109406987#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378
-113957039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02396
-12319876#0	6967.63079396864	44.0074562300402	20.8918872142043	8.34883681464064	1.93391749761708	1.35609993729867	0.00112354493220009	0	0	0.221544	0	0.00112354493220009	0.2226675449322	404	70	41.724	7.96462467644521	0.09231
-12319876#1	6269.23008592785	35.154448936157	19.7969153360725	7.09458951793735	1.81264233609296	1.3730772426985	0.000994366490039008	0	0	0.172488	0	0.000994366490039008	0.173482366490039	404	70	31.428	8.23253150057274	0.07187
-12544650	10801.7312360514	69.641838892032	31.9559097946771	13.0519012573723	2.96394600777261	2.05574127005652	0.00212899849573915	1.70028962631153e-05	0.000618914012213237	0.176	0	0.00214600139200226	0.178764915404215	332	40	42.912	14.7651006711409	0.176
-128245297	3014.25515800991	19.5215831733071	8.88953281157359	3.64881265560326	0.824948731654538	0.57081416002366	0.00193570738929015	5.91716985148885e-05	0.00827289820037604	0	0.0964138459203118	0.00199487908780504	0.106681623208493	102	0	43.164	13.3603002502085	0.16019
-128245298#0	112.513846177943	0.7847076587616	0.311830065535302	0.140289826303291	0.0293857069377948	0.0195718808277665	7.35901637697569e-05	0	0	0.014688	0	7.35901637697569e-05	0.0147615901637698	102	0	47.016	0.468606431852986	0.00612
-128245298#1	345.943264617624	2.4215464821618	0.955281453097699	0.431973135894595	0.0901271164685053	0.0599164297468234	0.00022648722857997	0	0	0.045192	0	0.00022648722857997	0.04541848722858	102	0	47.196	1.43630816170862	0.01883
-128363658#0	503.189613072453	3.5017470559239	1.39758908334637	0.626865081196238	0.131614707820552	0.0877573190920942	0.000500746537951873	0	0	0.04165	0	0.000500746537951873	0.0421507465379519	67	0	46.908	3.19646968534152	0.04165
-128363658#1	717.208755795123	5.05361684436	1.96713919917129	0.897926032278957	0.186005705383745	0.123242529283857	0.000716120279428848	0	0	0	0	0.000716120279428848	0.000716120279428848	67	0	47.52	4.50757575757576	0.0595
