link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.95	5.10	140.99	49	49	92.434137	3293.46123	0.496877	0.059421	1.383122	1.415749
-104179543#1	0.59	4.91	76.31	49	49	12.257496	395.139535	0.064785	0.006568	0.162379	0.169859
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.56	9.16	106.56	18	0	138.920723	9129.812328	0.839986	0.124919	3.518621	3.924568
-104688711#4	5.5	9.16	108.38	18	18	133.721729	8977.667709	0.811576	0.115438	3.408199	3.859176
-104688711#5	8.72	8.93	166.55	18	18	337.889174	20065.088609	2.002106	0.322021	8.071232	8.62519
-109406983	16.49	9.35	102.00	6	6	750.285022	44921.172701	4.468611	0.830177	18.56475	19.309688
-109406986	2.96	7.15	173.82	48	48	106.054464	5452.627925	0.609125	0.091676	2.228521	2.343875
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.59	12.15	1699.36	213	213	249.100368	19780.782509	1.593678	0.320299	7.822343	8.502917
-12319876#1	8.18	9.27	1851.27	213	213	267.491818	14142.931516	1.544095	0.230751	5.577952	6.079521
-12544650	13.85	12.70	1948.19	137	137	228.924156	26918.702846	1.659396	0.371929	10.105593	11.571222
-128245297	12.68	12.05	1595.06	122	122	594.563704	43975.040289	3.740223	0.772855	17.888619	18.902931
-128245298#0	0.02	12.80	47.17	122	122	0.230969	28.208843	0.001704	0.000388	0.010564	0.012126
-128245298#1	0.39	12.85	92.77	122	122	5.759357	703.659349	0.042434	0.009647	0.263321	0.302474
-128363658#0	2.97	12.72	53.45	16	16	53.131218	6223.954242	0.381104	0.087405	2.341683	2.675415
-128363658#1	4.65	12.76	78.79	16	16	94.500396	10301.930652	0.666632	0.150255	3.928299	4.428361
-128363658#2	1.7	12.66	33.18	16	16	28.97493	3115.345798	0.204139	0.044801	1.185327	1.339156
-128363658#3	20.21	12.76	452.82	22	22	311.364444	39338.723726	2.317397	0.530126	14.63211	16.910074
-128363658#4	5.55	10.74	131.92	22	22	511.867383	30748.953835	3.060831	0.59882	12.997781	13.217601
-128363658#5	9.68	4.59	235.75	22	22	694.355197	17790.901151	3.577818	0.371411	7.663466	7.647818
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.64	7.31	105.83	20	20	147.702235	7723.176943	0.850144	0.122829	3.104516	3.319905
-128825640#1	12.43	8.93	248.38	0	20	273.958024	17695.966228	1.647092	0.230687	6.748854	7.606861
-13278020#0	1.78	12.55	555.16	257	257	29.007905	3344.75862	0.2088	0.045944	1.255977	1.437772
-13278020#1	2.77	12.62	809.19	257	257	49.942966	5550.086214	0.355164	0.07911	2.104033	2.385748
-13278020#2	1.6	12.51	509.97	257	257	77.717667	6157.717826	0.499753	0.110564	2.513908	2.646924
-13278020#3	0.89	11.83	333.11	257	257	85.223841	5650.314263	0.523082	0.111373	2.393286	2.428808
-13278020#4	0.74	10.65	305.33	257	257	85.71805	5177.700149	0.513973	0.103741	2.21503	2.225656
-13278020#5	3.58	1.96	1545.63	257	257	395.21741	8663.408947	2.003535	0.198373	3.871068	3.72418
-13278020#6	4.73	4.24	1504.01	257	257	305.495094	6835.348466	1.551168	0.150272	2.99921	2.938349
-13278020#7	2.27	10.06	704.26	257	257	168.669606	10088.200254	1.008047	0.195472	4.244731	4.33647
-13278020#8	0.52	10.62	248.50	257	257	58.235814	3538.823333	0.349627	0.070497	1.511158	1.521179
-13278159#0	16.42	1.75	2620.84	137	137	1725.299808	32534.323357	8.619732	0.768743	14.650188	13.985856
-13278159#1	1.54	10.93	270.35	137	137	39.98745	2772.949428	0.245488	0.041126	1.063158	1.191984
-13714843#0	1.89	12.68	134.92	61	0	37.816343	4211.115871	0.268954	0.060422	1.598221	1.81018
-13714843#1	15.02	12.58	939.30	61	61	242.41713	28853.416433	1.762921	0.387757	10.76543	12.402888
-13714843#2	14.72	12.45	920.93	61	61	344.398598	33389.082907	2.339895	0.50364	12.904241	14.352544
-13714843#3	17.91	4.22	1656.46	87	87	1462.58352	33325.638217	7.436462	0.711235	14.407024	14.325893
-13715172	22.64	12.34	1013.25	44	44	763.862327	63176.54511	4.948379	1.038757	25.099563	27.156857
-13715172.291	24.05	0.72	1349.15	44	44	2979.601018	50774.784534	14.759869	1.246739	23.14912	21.827242
-13797599#0	4.41	11.59	226.30	47	47	308.033085	20524.273985	1.890196	0.388905	8.582596	8.822459
-13797599#1	28.06	6.77	2042.34	71	71	2010.363198	64367.963494	10.65618	1.269374	27.068368	27.669715
-13797599#10	0.37	13.06	32.27	44	44	5.220719	661.949469	0.038869	0.009095	0.246969	0.284544
-13797599#2	11.75	2.75	727.71	54	54	1249.568156	23931.689137	6.249055	0.549843	10.618561	10.287768
-13797599#3	4.49	11.88	264.10	54	54	314.18711	21714.731798	1.944999	0.405647	9.025782	9.334183
-13797599#4	19.82	1.63	1000.00	44	44	1982.585982	36125.358089	9.873979	0.860514	16.289787	15.529619
-13797599#5	5.67	13.08	265.62	44	44	87.17682	11182.812483	0.65153	0.151995	4.161559	4.807021
-13797599#6	9.78	13.10	446.47	44	44	155.561801	20457.374913	1.173266	0.273578	7.577176	8.79377
-13797599#7	4.05	13.07	194.05	44	44	61.56792	7331.187891	0.44916	0.103525	2.760201	3.151367
-13797599#8	2.84	13.11	140.75	44	44	40.423728	5022.067589	0.297123	0.069026	1.874596	2.158775
-13797599#9	4.36	13.14	207.56	44	44	68.019225	8690.976509	0.507324	0.11883	3.237801	3.735885
-13797704#0	5.36	8.73	277.47	47	47	124.479926	7637.93147	0.741826	0.112728	2.986488	3.283259
-13797704#1	1.33	11.71	81.47	47	47	8.707638	1001.885441	0.061977	0.013552	0.372659	0.430669
-13798697	11.81	11.92	476.21	39	39	541.851597	40154.051226	3.410061	0.707018	16.34202	17.260453
-14326205#0	2.57	11.71	122.16	41	41	25.459863	3018.915037	0.184868	0.03972	1.122764	1.297708
-14326205#1	4.36	12.54	194.41	41	41	64.225575	8226.478222	0.480981	0.106185	3.038494	3.536225
-14326205#2	0.6	12.59	39.95	41	41	8.972582	1051.896366	0.064879	0.014504	0.395186	0.452166
-14326205#3	1.1	12.61	60.56	41	41	18.072629	2230.114719	0.133132	0.029371	0.828279	0.958634
-14326205#4	6.41	12.28	373.98	55	55	92.578053	11152.361048	0.676092	0.148586	4.153529	4.793939
