junction	edge
1092997347	:1092997347_0
1092997347	:1092997347_0
1092997347	:1092997347_0
1103427051	:1103427051_0
1105984386	:1105984386_0
1105984390	:1105984390_0
1105984390	:1105984390_1
1105984390	:1105984390_1
1105984390	:1105984390_1
1105984395	:1105984395_0
1105984395	:1105984395_0
1105984398	:1105984398_0
1105984398	:1105984398_1
1105984398	:1105984398_1
1106006327	:1106006327_0
1106006327	:1106006327_1
1106006327	:1106006327_2
1106006327	:1106006327_3
1107381198	:1107381198_0
1107381198	:1107381198_1
1110338277	:1110338277_0
1110338277	:1110338277_0
1110338293	:1110338293_0
1110338293	:1110338293_0
1110338295	:1110338295_0
1110673403	:1110673403_0
1110673403	:1110673403_0
1110673403	:1110673403_0
1110673412	:1110673412_0
1110673412	:1110673412_0
1110673412	:1110673412_0
1110673412	:1110673412_0
1110673414	:1110673414_0
1110673414	:1110673414_1
1110673417	:1110673417_0
1110673446	:1110673446_0
1110673446	:1110673446_0
1110673446	:1110673446_0
1110673451	:1110673451_0
1110673464	:1110673464_0
1110673464	:1110673464_1
1110673464	:1110673464_1
1110673479	:1110673479_0
1110673511	:1110673511_0
1110673517	:1110673517_0
1110673517	:1110673517_0
1110673534	:1110673534_0
1110673534	:1110673534_1
1110673534	:1110673534_1
1110673549	:1110673549_0
1110673549	:1110673549_1
1110673549	:1110673549_1
1110673549	:1110673549_1
1110673556	:1110673556_0
1110673556	:1110673556_0
1110673556	:1110673556_2
1110673556	:1110673556_3
1110673556	:1110673556_4
1110673556	:1110673556_5
1110673556	:1110673556_6
1110673556	:1110673556_6
1110673561	:1110673561_0
1110673561	:1110673561_1
1110673561	:1110673561_1
1110673561	:1110673561_1
1110673562	:1110673562_0
1110673564	:1110673564_0
1110673588	:1110673588_0
1110673601	:1110673601_0
1110673617	:1110673617_0
1110673617	:1110673617_0
1110673617	:1110673617_0
1110673617	:1110673617_0
1110673621	:1110673621_0
1110673630	:1110673630_0
1110673630	:1110673630_1
1110673650	:1110673650_0
1110673650	:1110673650_0
1110673650	:1110673650_0
1110673655	:1110673655_0
1110673663	:1110673663_0
1110673663	:1110673663_1
1110673663	:1110673663_1
1110673666	:1110673666_0
1110673666	:1110673666_1
1110673670	:1110673670_0
1110673670	:1110673670_0
1110673706	:1110673706_0
1110698243	:1110698243_0
1110698243	:1110698243_1
1110698243	:1110698243_2
1110698250	:1110698250_0
1110698250	:1110698250_0
1110698255	:1110698255_0
1110698255	:1110698255_1
1110698256	:1110698256_0
1110698256	:1110698256_0
1110698256	:1110698256_0
1110698259	:1110698259_0
1110698259	:1110698259_0
1110698259	:1110698259_2
1110698261	:1110698261_0
1110698265	:1110698265_0
1110698265	:1110698265_0
1110698265	:1110698265_2
1110698267	:1110698267_0
1110698267	:1110698267_1
1110698273	:1110698273_0
1110698273	:1110698273_0
1110698273	:1110698273_2
1110698273	:1110698273_2
1110698299	:1110698299_0
1110698299	:1110698299_0
111415443	:111415443_0
111415443	:111415443_0
111415445	:111415445_0
111415445	:111415445_0
111415446	:111415446_0
111415446	:111415446_1
111415446	:111415446_2
111415446	:111415446_2
111461666	:111461666_0
111461666	:111461666_1
111461672	:111461672_0
111461672	:111461672_0
111464592	:111464592_0
111464592	:111464592_1
111464592	:111464592_1
111464592	:111464592_1
111479507	:111479507_0
111479507	:111479507_1
111479509	:111479509_0
111479509	:111479509_1
111481288	:111481288_0
111481288	:111481288_1
111481288	:111481288_2
111481288	:111481288_3
111481561	:111481561_0
111481561	:111481561_1
111481561	:111481561_2
111481561	:111481561_3
111481563	:111481563_0
111481563	:111481563_1
111481848	:111481848_0
111481848	:111481848_1
111481848	:111481848_1
111481848	:111481848_3
111481848	:111481848_4
111481848	:111481848_5
111481849	:111481849_0
111481849	:111481849_0
111799455	:111799455_0
111799455	:111799455_1
111799455	:111799455_2
111799455	:111799455_2
111799455	:111799455_2
111830195	:111830195_0
111830195	:111830195_1
111830195	:111830195_1
112588576	:112588576_0
112589349	:112589349_0
112589349	:112589349_0
112589349	:112589349_0
112590248	:112590248_0
112590248	:112590248_0
112590248	:112590248_0
112590248	:112590248_0
112590296	:112590296_0
112590296	:112590296_0
112591303	:112591303_0
112591303	:112591303_0
112591352	:112591352_0
112591352	:112591352_0
112591352	:112591352_0
112591352	:112591352_0
112591702	:112591702_0
112591702	:112591702_0
112591715	:112591715_0
112594210	:112594210_0
112594210	:112594210_1
112594210	:112594210_9
112594210	:112594210_3
112594210	:112594210_4
112594210	:112594210_5
112594210	:112594210_6
112594210	:112594210_10
112594210	:112594210_11
112594214	:112594214_0
112594214	:112594214_0
112594228	:112594228_0
112594228	:112594228_0
112594228	:112594228_0
112594236	:112594236_0
112594236	:112594236_1
112594236	:112594236_2
112594236	:112594236_2
112594236	:112594236_2
112594240	:112594240_0
112594240	:112594240_0
112594240	:112594240_0
112594241	:112594241_0
112594241	:112594241_1
112594241	:112594241_1
112594241	:112594241_1
112595515	:112595515_0
112595515	:112595515_1
112595515	:112595515_1
112597525	:112597525_0
112597525	:112597525_0
112675715	:112675715_0
112675715	:112675715_1
112675715	:112675715_2
112675715	:112675715_2
112676582	:112676582_0
112676582	:112676582_0
112676582	:112676582_0
112677103	:112677103_0
112677103	:112677103_0
112677103	:112677103_0
112677104	:112677104_0
