node_id	x	y
1103416771	4208.07	196.68
1110338295	1421.58	2671.33
112686793	3525.18	183.05
1252543228	2076.00	1886.53
1264279325	30.37	2502.16
1277605469	3525.58	191.22
1279795709	3036.96	415.72
128560423	3153.59	4075.50
128672584	649.99	1706.93
1291503777	5035.90	2684.41
1291503779	5044.57	2696.45
129530914	2251.10	1116.18
1296455172	2878.92	218.37
129792731	1607.38	1521.29
129792735	1592.03	1496.12
138220019	3098.73	837.71
138242844	4655.04	750.05
1416622198	1918.74	1914.51
1416622200	1897.02	1931.05
1417693657	2569.33	1861.47
1419645384	1916.21	1901.55
1554886157	2795.25	1000.96
1556432395	5055.08	1256.43
1731168926	5825.10	2886.33
1784648699	1625.62	1522.34
1788785406	3657.73	930.86
1788787352	1890.23	1942.99
1788787389	1907.05	1951.69
1788788389	1383.94	2647.26
1837918537	1998.50	3693.73
1838975574	4200.16	195.42
1990333409	2070.00	3817.76
2086430190	3623.83	1726.25
2086430192	3585.87	1709.62
2203980620	3376.28	882.08
2204347232	3210.93	177.51
2206337046	3287.33	159.13
2206364294	3108.51	213.07
2209144154	3346.90	654.01
2209437208	3175.65	576.48
2211032952	3107.50	578.73
2211191456	2996.21	474.38
2211299275	3237.17	176.28
2211312946	3241.75	151.13
2211312992	3240.61	157.24
2213037941	2891.30	236.64
2213095681	2914.27	328.78
2213112078	2912.24	332.18
2213321463	2842.91	458.52
2213321468	2854.45	468.76
2213334717	2809.06	476.30
2213334724	2810.12	472.31
2216360367	3731.09	271.34
2216473539	3675.69	473.01
2218520828	4131.95	422.79
2222190442	3990.72	574.57
2222190802	3982.51	571.24
2232534295	3725.90	744.19
2246222543	3172.13	947.29
2246296607	3056.57	881.49
2246296620	3077.62	854.23
2247054918	3051.02	846.11
2247054932	3058.48	889.94
2255064290	2805.85	488.55
2255064296	2806.02	476.06
2356350502	3158.82	385.20
2356465230	2927.95	288.13
2356706603	3321.16	579.92
2375816260	3521.57	1255.15
2379336910	3061.43	1025.99
2379336931	3061.05	1024.68
2379817156	3075.00	1078.07
2383341263	2913.13	1018.79
2383341305	2945.47	1022.99
2408280848	1985.07	3585.78
2413446314	2811.68	1007.63
2413446315	2864.33	1124.32
2413555940	2854.49	1125.19
2414393076	2683.71	1037.79
2414401896	2684.61	1037.11
2454212909	1816.48	1845.97
2469339904	2939.07	303.40
2473711658	3684.98	989.09
2478900160	2637.31	382.54
2486710547	3390.37	3732.88
2511003063	2607.60	922.05
25504183	2436.02	3982.49
25507554	5813.61	2881.60
25632414	3907.94	1427.49
26016465	978.34	607.65
2617056492	1986.54	981.52
2681412874	3032.51	732.36
