link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.02	4.92	205.98	69	69	106.797399	3652.156734	0.57038	0.065692	1.532769	1.569944
-104179543#1	0.62	4.68	112.53	69	69	15.712979	496.525557	0.082854	0.008474	0.205513	0.213442
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.73	8.89	109.67	18	0	130.482298	8239.433699	0.781694	0.11579	3.200001	3.541826
-104688711#4	5.71	8.82	112.52	18	18	149.452997	9233.145469	0.889314	0.123217	3.545126	3.968999
-104688711#5	8.96	8.69	171.06	18	18	334.960263	19445.544422	1.974131	0.312225	7.83119	8.358878
-109406983	18.1	8.52	111.95	6	6	838.004509	47570.902147	4.940229	0.886333	19.740595	20.448718
-109406986	2.95	7.17	263.69	73	73	88.379099	4464.353526	0.505386	0.073338	1.813503	1.919057
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.67	12.02	1717.60	213	213	262.929693	20413.91769	1.670886	0.333355	8.098994	8.775075
-12319876#1	7.99	9.49	1808.52	213	213	248.621769	13831.854843	1.449793	0.220674	5.422619	5.945797
-12544650	14.22	12.36	2001.29	137	137	248.742809	27262.695365	1.759448	0.381152	10.307946	11.719093
-128245297	12.58	12.14	1505.09	116	116	595.436959	44144.330969	3.745592	0.774077	17.939314	18.975703
-128245298#0	0.32	13.00	79.76	116	116	5.173377	641.794506	0.038259	0.008884	0.240352	0.27588
-128245298#1	0.39	13.01	87.10	116	116	6.041791	765.810595	0.045112	0.010458	0.285752	0.32919
-128363658#0	2.94	12.86	85.95	26	26	47.206678	5877.242301	0.347177	0.078202	2.183412	2.526382
-128363658#1	4.62	12.86	127.98	26	26	72.170938	9042.254927	0.535479	0.121914	3.368737	3.886888
-128363658#2	1.69	12.73	53.61	26	26	23.515281	2629.704694	0.16776	0.036342	0.991472	1.1304
-128363658#3	20.01	12.89	652.01	32	32	279.787991	36270.414023	2.099668	0.486672	13.466849	15.591133
-128363658#4	5.56	10.72	192.17	32	32	504.353994	30285.568202	3.016625	0.588023	12.797143	13.018415
-128363658#5	8.63	5.16	305.58	32	32	551.795846	15787.954513	2.881473	0.325501	6.770192	6.786758
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.26	7.96	97.20	20	20	136.173676	7327.764623	0.788221	0.114362	2.933934	3.149932
-128825640#1	12.34	8.99	246.63	0	20	298.261412	19212.843715	1.792857	0.254978	7.356624	8.258906
-13278020#0	1.77	12.64	551.50	257	257	27.57041	3201.111278	0.199036	0.043909	1.201561	1.376024
