link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.0	4.97	203.70	69	69	103.447667	3555.569365	0.552785	0.063259	1.48777	1.528425
-104179543#1	0.6	4.78	110.21	69	69	15.420688	496.453539	0.081527	0.008456	0.205357	0.213411
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.77	8.83	111.86	18	0	146.641217	9252.618158	0.876081	0.118269	3.516371	3.977375
-104688711#4	5.69	8.86	112.04	18	18	131.539033	8245.503502	0.784969	0.107321	3.146765	3.544449
-104688711#5	8.94	8.71	170.74	18	18	339.127882	19469.646924	1.99335	0.311799	7.838535	8.369243
-109406983	17.74	8.69	109.75	6	6	781.282867	46258.234293	4.641327	0.832898	18.979307	19.884475
-109406986	2.97	7.12	265.75	73	73	95.934206	4748.539038	0.546435	0.078875	1.935568	2.041218
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.66	12.04	1714.30	213	213	262.082669	20311.469246	1.665289	0.332373	8.061824	8.731036
-12319876#1	8.09	9.37	1831.01	213	213	257.136104	14116.038162	1.494816	0.227098	5.545628	6.067957
-12544650	14.24	12.35	2003.28	137	137	241.28549	26853.131526	1.714404	0.370605	10.117164	11.543043
-128245297	12.57	12.15	1503.43	116	116	589.858795	44026.371961	3.718828	0.771804	17.883882	18.924996
-128245298#0	0.32	13.04	79.55	116	116	5.255457	664.444387	0.038913	0.009087	0.247843	0.285617
-128245298#1	0.38	13.04	86.84	116	116	6.112503	791.456047	0.045846	0.010763	0.29455	0.340214
-128363658#0	2.96	12.75	86.68	26	26	44.971161	5814.74593	0.337449	0.076063	2.149276	2.499519
-128363658#1	4.63	12.81	128.00	26	26	75.738459	9096.39198	0.553967	0.125216	3.410401	3.910157
-128363658#2	1.67	12.86	53.08	26	26	26.205392	3078.296669	0.190528	0.043226	1.159799	1.32323
-128363658#3	19.97	12.92	650.85	32	32	294.204232	37611.698855	2.19601	0.506798	13.982608	16.167695
-128363658#4	5.45	10.95	188.24	32	32	485.308295	29484.074278	2.910466	0.573466	12.453282	12.673883
-128363658#5	8.59	5.18	304.18	32	32	573.397631	15827.769306	2.980526	0.326761	6.789812	6.80389
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.08	8.31	93.12	20	20	114.506308	6693.167776	0.674923	0.101994	2.657333	2.877139
-128825640#1	12.32	9.01	246.17	0	20	288.898784	18453.393503	1.73325	0.24652	7.078245	7.932445
-13278020#0	1.78	12.59	553.41	257	257	27.18482	3207.599471	0.197312	0.043808	1.20179	1.378813
-13278020#1	2.75	12.70	804.08	257	257	48.492687	5551.883957	0.34841	0.07818	2.096154	2.386521
-13278020#2	1.59	12.63	505.25	257	257	78.04086	6251.796093	0.503373	0.111796	2.547833	2.687364
-13278020#3	0.89	11.90	331.19	257	257	83.453235	5597.791872	0.513615	0.109405	2.363786	2.406232
