link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.03	4.90	266.56	89	89	104.696219	3521.340828	0.557654	0.062861	1.474917	1.513713
-104179543#1	0.62	4.70	144.76	89	89	15.476217	482.061812	0.081436	0.00821	0.199423	0.207225
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.74	8.87	109.24	18	0	138.672533	8585.910841	0.826094	0.117216	3.314578	3.690771
-104688711#4	5.68	8.88	111.85	18	18	141.156475	8912.082839	0.843425	0.113855	3.386836	3.830991
-104688711#5	9.0	8.65	171.82	18	18	357.023805	20500.773968	2.095877	0.313788	8.15638	8.812506
-109406983	18.0	8.57	111.32	6	6	794.908286	44843.42533	4.680799	0.844548	18.688074	19.276279
-109406986	2.97	7.11	265.88	73	73	95.8473	4771.480615	0.546898	0.080887	1.95557	2.051077
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.66	12.04	1715.12	213	213	263.28043	20382.307865	1.672678	0.333136	8.088693	8.761487
-12319876#1	8.09	9.37	1831.32	213	213	260.439113	14142.86782	1.510985	0.227268	5.553734	6.079493
-12544650	14.2	12.38	1997.71	137	137	250.836459	27556.983748	1.775528	0.385152	10.417478	11.845595
-128245297	12.57	12.15	1503.85	116	116	601.239994	44234.12681	3.778493	0.784393	18.039777	19.014293
-128245298#0	0.33	12.86	80.63	116	116	5.633684	629.085619	0.040042	0.009166	0.239438	0.270417
-128245298#1	0.39	12.86	88.13	116	116	6.485696	749.226501	0.04666	0.010782	0.283914	0.32206
-128363658#0	2.96	12.74	86.74	26	26	43.68772	5081.449037	0.313787	0.071266	1.913506	2.1843
-128363658#1	4.59	12.92	126.57	26	26	73.245389	9201.331571	0.543152	0.12465	3.429566	3.955267
-128363658#2	1.68	12.81	53.26	26	26	24.028988	3092.725349	0.179881	0.040615	1.144308	1.329435
-128363658#3	20.0	12.90	651.92	32	32	296.977667	38197.52492	2.226754	0.514156	14.199282	16.419517
-128363658#4	5.53	10.78	191.17	32	32	497.343164	29631.13865	2.969611	0.577724	12.534364	12.737105
-128363658#5	8.65	5.15	306.24	32	32	572.767599	16000.471809	2.981339	0.328235	6.848127	6.878127
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.17	8.14	95.02	20	20	131.460607	7438.119633	0.768476	0.110303	2.934712	3.197373
-128825640#1	12.36	8.98	246.93	0	20	301.501257	19154.661198	1.807843	0.263232	7.396962	8.233885
-13278020#0	1.77	12.62	552.46	257	257	30.627205	3625.498949	0.222227	0.049341	1.35664	1.558451
-13278020#1	2.76	12.66	807.00	257	257	48.020948	5477.197545	0.344331	0.076993	2.067523	2.354417
-13278020#2	1.59	12.61	506.08	257	257	76.078698	6129.551138	0.491265	0.108885	2.492826	2.634817
-13278020#3	0.89	11.92	330.51	257	257	81.996915	5548.155141	0.50574	0.107795	2.337695	2.384896
-13278020#4	0.73	10.79	301.34	257	257	82.678916	5059.727136	0.497293	0.100983	2.160727	2.174945
-13278020#5	3.31	2.12	1425.46	257	257	348.393957	7950.381863	1.77371	0.180732	3.545033	3.417657
-13278020#6	4.76	4.22	1512.19	257	257	293.854054	6675.785357	1.494341	0.145829	2.922387	2.869754
-13278020#7	2.03	11.22	631.49	257	257	152.162834	10063.752219	0.932722	0.194827	4.234117	4.325947
-13278020#8	0.52	10.57	249.65	257	257	59.616769	3607.08466	0.357529	0.071852	1.540626	1.550521
-13278159#0	12.55	2.30	2002.52	137	137	1248.222399	25141.731534	6.273926	0.581492	11.245418	10.807874
-13278159#1	1.6	10.54	280.36	137	137	30.941325	2551.548239	0.199679	0.037026	0.976172	1.096808
-13714843#0	1.83	13.09	130.66	61	0	28.839678	3583.23232	0.214058	0.049856	1.343323	1.54028
-13714843#1	14.47	13.06	904.74	61	61	226.777341	28338.057206	1.678158	0.390814	10.597425	12.181335
-13714843#2	14.27	12.84	892.76	61	61	341.793022	33817.425978	2.33786	0.516912	13.085349	14.536657
-13714843#3	18.18	4.16	1680.61	87	87	1507.733628	33974.4537	7.657984	0.730939	14.725884	14.604808
-13715172	23.35	11.96	1044.79	44	44	816.926142	63743.889496	5.205735	1.054936	25.388693	27.400761
-13715172.291	22.77	0.76	1277.34	44	44	2703.335183	46623.981477	13.404442	1.140451	21.23884	20.042858
-13797599#0	4.32	11.83	221.76	47	47	294.910509	20272.078581	1.823523	0.377851	8.42146	8.714054
-13797599#1	27.07	7.02	1970.26	71	71	1851.661099	62155.790741	9.883721	1.211792	26.058233	26.718717
-13797599#10	0.37	12.93	32.59	44	44	4.950441	725.768118	0.03909	0.009066	0.26453	0.311978
-13797599#2	11.2	2.88	693.89	54	54	1158.120424	22128.464635	5.790963	0.508584	9.820698	9.512599
-13797599#3	4.52	11.80	265.99	54	54	326.135465	22238.762744	2.012597	0.417966	9.272758	9.559439
-13797599#4	24.46	1.32	1234.37	44	44	2567.673457	46186.87136	12.775347	1.105736	20.864239	19.854896
-13797599#5	5.77	12.86	270.10	44	44	89.130139	11050.59027	0.658936	0.150783	4.129448	4.750185
-13797599#6	9.92	12.92	452.68	44	44	152.798563	18613.192795	1.124967	0.258085	6.986221	8.001026
-13797599#7	4.09	12.92	196.22	44	44	64.834054	7918.71461	0.477639	0.110069	2.972807	3.403921
-13797599#8	2.9	12.85	143.65	44	44	45.719179	5633.910017	0.338242	0.077174	2.108504	2.421781
-13797599#9	4.42	12.94	210.71	44	44	66.327188	8527.566536	0.497119	0.114423	3.170168	3.665644
-13797704#0	5.62	8.33	290.75	47	47	140.463407	8154.55834	0.82722	0.125651	3.223752	3.505336
-13797704#1	1.29	12.07	78.99	47	47	6.560406	949.476103	0.050287	0.011668	0.344273	0.408141
-13798697	11.35	12.41	457.65	39	39	492.408134	38650.923663	3.148306	0.667498	15.60241	16.614325
-14326205#0	2.49	12.09	124.03	43	43	35.891112	4026.062125	0.255803	0.057462	1.524678	1.730634
-14326205#1	4.22	12.97	197.04	43	43	72.112547	8252.930888	0.518365	0.119002	3.129844	3.547583
-14326205#2	0.58	12.99	40.62	43	43	9.915224	1160.107609	0.072085	0.016763	0.440045	0.498681
-14326205#3	1.07	12.95	61.84	43	43	14.868381	1809.741674	0.109198	0.024639	0.676235	0.777932
-14326205#4	6.2	12.70	374.97	57	57	77.536401	10522.360147	0.594005	0.137342	3.878491	4.523126
-14327505#0	3.43	1.05	596.09	75	75	404.148952	7959.276028	2.027462	0.187606	3.587578	3.421518
-14327505#1	16.69	4.83	1325.87	75	75	1435.068954	42773.397617	7.544329	0.906489	18.533132	18.386881
-14327505#2	25.54	3.12	784.74	29	29	2701.889812	59548.674831	13.703189	1.341937	26.298398	25.598505
-14327505#3	1.33	10.59	51.55	29	29	157.45911	9466.428048	0.943036	0.189587	4.049	4.069185
-14328611	0.19	6.34	88.18	94	94	18.986754	831.704847	0.106072	0.016487	0.358163	0.357516
-14333888#0	2.83	7.77	20.64	6	6	113.104326	5959.657081	0.654743	0.108842	2.489747	2.561811
-14333888#1	1.87	9.41	14.26	6	6	36.218324	2620.071505	0.224603	0.035887	1.007293	1.126269
-14333888#2	1.85	8.95	14.30	6	6	165.494248	8981.829465	0.965947	0.172826	3.812781	3.860901
-14333888#3	4.25	8.20	25.44	0	6	141.492759	7483.960857	0.819378	0.135002	3.119754	3.217049
-14333980	12.33	8.79	51.47	4	4	537.265958	29626.708931	3.135721	0.5082	12.146849	12.735334
-156211618#0	14.34	8.49	4215.25	283	283	698.582022	27860.167224	3.825669	0.489531	11.259567	11.976141
-156211618#1	1.17	12.68	438.27	283	283	18.941212	2240.889352	0.137568	0.030677	0.839377	0.963265
-156211618#2	0.68	12.72	298.31	283	283	11.282195	1306.898388	0.081393	0.018139	0.491498	0.561781
-157156090#0	2.78	4.34	38.56	0	14	95.811542	2946.524501	0.504079	0.054367	1.245495	1.266622
-167487356#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#2	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#3	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#5	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487370	0.7	10.32	131.53	113	113	85.293168	5029.701207	0.508482	0.101145	2.156174	2.162039
-167487441	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487519	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-172963174#2	13.05	8.60	632.70	47	8	335.620557	20411.201944	1.991482	0.282245	7.9037	8.774034
-172963174#3	9.15	8.86	455.03	47	47	224.879946	14171.71824	1.345597	0.194115	5.469962	6.091903
-172963174#4	0.03	9.34	25.47	47	47	1.534165	94.797819	0.009197	0.001617	0.038693	0.04075
-172963174#5	4.0	8.95	212.99	47	47	123.386298	7586.459594	0.735125	0.110445	2.973487	3.261134
-193149514	3.31	9.40	420.17	110	110	151.294536	9277.822398	0.905718	0.16067	3.804965	3.988148
-198514517	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-200072875	3.76	9.83	822.67	194	194	90.032059	6213.067195	0.552043	0.087631	2.392213	2.670761
-207634492	4.1	1.27	884.97	113	113	486.727803	9708.752297	2.444857	0.228886	4.374254	4.173575
-207634505#0	4.16	2.29	1752.50	281	281	419.539126	9589.777446	2.135801	0.215597	4.263644	4.122393
-207634505#1	4.91	3.11	1808.12	281	281	354.41366	7451.77096	1.788005	0.166453	3.300036	3.203347
-207634523#0	11.44	10.04	3370.78	283	283	265.143793	20130.70575	1.668536	0.285383	7.776448	8.653399
-207634523#1	0.71	9.89	336.17	283	283	27.51006	1529.344749	0.161256	0.028414	0.641229	0.6574
-211090188#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-211641909#0	3.77	12.90	690.21	167	167	152.154477	12964.100159	0.99714	0.223357	5.210701	5.572686
-211641909#1	1.06	11.49	246.00	167	167	120.18458	7640.582578	0.730087	0.15316	3.259491	3.284332
-211641911	12.34	12.98	2121.20	167	167	183.698869	23574.278478	1.372892	0.317398	8.759244	10.133596
-212361874#0	4.95	6.54	24.69	0	5	102.614486	3746.573321	0.552602	0.060812	1.519829	1.610536
-212361874#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-212706762#0	0.03	7.44	197.52	297	297	3.269204	153.676202	0.018529	0.00309	0.066285	0.066059
-212706762#1	3.3	5.47	1237.26	297	297	264.448794	9708.092372	1.433089	0.197022	4.18458	4.173148
-212710688	18.18	12.22	1652.34	89	89	268.281742	30884.224467	1.92642	0.416517	11.547043	13.275852
-212710692	12.2	13.02	590.64	47	47	183.896586	23509.56543	1.369508	0.316729	8.73552	10.105778
-212710702	6.46	9.06	328.34	47	47	334.914764	13790.062205	1.840711	0.235862	5.502932	5.927883
-212711374#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-212711374#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-212711374#2	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-216891254#0	3.26	12.60	621.96	171	171	66.695093	6952.97463	0.464225	0.102885	2.666266	2.988787
-216891254#1	6.18	12.57	1120.63	171	171	100.443903	11632.72517	0.723292	0.159662	4.365052	5.000423
-216891254#2	8.76	12.67	1562.36	171	171	141.273466	16681.837112	1.025029	0.22805	6.246688	7.170826
-217344337#0	1.58	12.81	333.99	171	171	22.918159	2836.733239	0.168503	0.037927	1.054386	1.219394
-217344337#1	6.52	12.78	1178.42	171	171	138.651854	14502.662523	0.964725	0.214457	5.55323	6.234076
-217344337#2	0.49	12.13	150.82	171	171	17.227989	1357.502008	0.109957	0.021986	0.537391	0.583532
-217344337#3	1.92	12.52	353.94	154	154	164.676633	11532.693784	1.02532	0.224475	4.848686	4.957369
-217344337#4	1.39	10.27	284.79	154	154	176.031758	10295.116958	1.047748	0.209411	4.432435	4.425399
-217344337#5	1.23	7.47	287.95	154	154	140.221297	6684.474152	0.796489	0.131859	2.869119	2.873376
-219536349#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-219536349#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-220232893#0	4.18	1.42	670.95	89	89	386.447604	7346.687865	1.931995	0.173102	3.313342	3.158192
-220232893#1	4.06	3.05	500.04	89	89	253.812272	4928.068919	1.271147	0.11406	2.204332	2.118476
-220232893#2	1.94	10.84	211.77	89	89	35.33524	2731.733528	0.22356	0.039735	1.042408	1.174265
-220232893#3	3.67	12.69	359.95	89	89	58.650242	7098.61595	0.428919	0.096173	2.650771	3.051399
-220232893#4	0.59	12.65	85.84	89	89	8.811783	1039.20072	0.063613	0.014441	0.390319	0.446709
-223556668#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-223556668#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-223556668#2	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-223556668#3	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-223556668#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
