link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.01	4.93	264.77	89	89	103.143604	3505.3416	0.550182	0.062228	1.465975	1.506835
-104179543#1	0.61	4.72	144.09	89	89	15.83966	504.630695	0.083616	0.008598	0.208796	0.216926
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.79	8.80	111.77	18	0	151.616535	9526.083555	0.906423	0.12986	3.673467	4.094916
-104688711#4	5.69	8.85	112.14	18	18	133.577694	8360.329367	0.797218	0.110816	3.203819	3.593806
-104688711#5	9.0	8.65	171.82	18	18	355.677038	20224.828486	2.086425	0.326039	8.157238	8.693865
-109406983	17.24	8.94	106.60	6	6	825.543882	47096.389326	4.8709	0.869329	19.485918	20.244754
-109406986	2.93	7.22	261.85	73	73	85.956643	4454.109954	0.49428	0.073617	1.811774	1.914652
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.7	11.98	1722.96	213	213	260.83747	20358.956291	1.66088	0.331053	8.067742	8.75145
-12319876#1	8.1	9.36	1832.48	213	213	258.359628	14221.884115	1.502739	0.226438	5.569838	6.11346
-12544650	14.24	12.35	2003.53	137	137	247.937592	26947.60472	1.747183	0.378788	10.204242	11.583647
-128245297	12.57	12.16	1503.17	116	116	602.529011	44683.503111	3.791943	0.786444	18.175181	19.207466
-128245298#0	0.32	13.10	79.15	116	116	5.699178	668.466637	0.041207	0.009437	0.25217	0.287345
-128245298#1	0.38	13.08	86.62	116	116	6.934119	826.704548	0.050482	0.011465	0.310471	0.355365
-128363658#0	2.94	12.83	86.14	26	26	47.504657	5691.652456	0.344451	0.07863	2.133781	2.446602
-128363658#1	4.66	12.74	129.92	26	26	80.559322	9944.552265	0.593803	0.132334	3.696349	4.274751
-128363658#2	1.69	12.73	53.63	26	26	20.411201	2876.303171	0.157368	0.035223	1.045273	1.236406
-128363658#3	20.0	12.90	651.95	32	32	294.815702	37806.314772	2.206748	0.512991	14.077799	16.251347
-128363658#4	5.49	10.87	189.58	32	32	488.744028	29672.861391	2.93058	0.576076	12.528757	12.755036
-128363658#5	8.59	5.18	304.14	32	32	525.30851	14674.242989	2.735618	0.30387	6.304859	6.308016
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.32	7.85	98.56	20	20	134.533677	6867.591123	0.770689	0.11116	2.779423	2.95212
-128825640#1	12.34	8.99	246.53	0	20	279.192854	17828.779321	1.677127	0.249832	6.916169	7.663928
-13278020#0	1.77	12.61	552.74	257	257	27.642182	3296.903664	0.201292	0.04468	1.232461	1.417202
-13278020#1	2.75	12.73	802.29	257	257	50.749079	5663.743507	0.361418	0.081414	2.150663	2.434603
-13278020#2	1.59	12.62	505.48	257	257	77.057897	6215.634762	0.497888	0.110559	2.528455	2.67182
-13278020#3	0.89	11.91	330.75	257	257	83.936502	5620.532209	0.516456	0.110237	2.375947	2.416007
-13278020#4	0.74	10.74	302.76	257	257	84.762997	5149.3163	0.508971	0.10317	2.202178	2.213455
-13278020#5	3.25	2.16	1400.97	257	257	338.739283	7759.078782	1.72525	0.176262	3.459371	3.33542
-13278020#6	4.41	4.55	1401.28	257	257	255.553401	6033.193622	1.304931	0.130299	2.632152	2.593514
-13278020#7	2.34	9.76	725.97	257	257	175.172638	10381.504609	1.044687	0.20197	4.373418	4.462549
-13278020#8	0.52	10.63	248.40	257	257	58.876962	3584.86838	0.353618	0.071249	1.529672	1.540971
-13278159#0	12.85	2.24	2050.25	137	137	1283.215616	25747.518922	6.447454	0.596307	11.522377	11.068292
-13278159#1	1.66	10.11	292.06	137	137	34.152847	2539.800577	0.213789	0.037667	0.978734	1.09176
-13714843#0	1.82	13.20	129.73	61	0	34.116213	4324.2879	0.254149	0.059694	1.616254	1.858829
-13714843#1	14.57	12.97	910.92	61	61	218.534726	28262.885302	1.638776	0.378115	10.490873	12.149033
-13714843#2	14.32	12.79	896.33	61	61	381.538946	36494.692964	2.582297	0.568974	14.216432	15.68749
-13714843#3	18.84	4.01	1742.13	87	87	1551.058075	34334.490333	7.862907	0.744044	14.927091	14.759594
-13715172	23.88	11.70	1068.61	44	44	880.175445	64845.098711	5.520206	1.086705	25.933994	27.874143
-13715172.291	22.91	0.75	1285.51	44	44	2772.925501	48189.340226	13.758211	1.176101	21.935249	20.715765
-13797599#0	4.33	11.80	222.36	47	47	294.774201	20065.477688	1.817951	0.375639	8.349971	8.625245
-13797599#1	26.92	7.06	1959.01	71	71	1878.91926	63428.487819	10.038584	1.237142	26.592473	27.265798
-13797599#10	0.38	12.85	32.79	44	44	4.112392	585.741861	0.031836	0.007201	0.212973	0.251787
-13797599#2	12.55	2.57	777.70	54	54	1345.993168	25510.677948	6.725669	0.592618	11.370047	10.966546
-13797599#3	4.49	11.89	263.86	54	54	316.219011	21624.222032	1.952362	0.407611	9.020489	9.295273
-13797599#4	22.45	1.44	1132.67	44	44	2358.233108	42381.168484	11.732446	1.014743	19.14579	18.218895
-13797599#5	5.74	12.93	268.69	44	44	88.901294	11098.809978	0.658956	0.150247	4.139631	4.770914
-13797599#6	9.94	12.89	453.74	44	44	152.626705	19080.872137	1.130188	0.25924	7.1211	8.202067
-13797599#7	4.1	12.89	196.65	44	44	64.871865	7748.812024	0.472987	0.108391	2.916297	3.330887
-13797599#8	2.88	12.94	142.68	44	44	48.46401	5853.634911	0.354675	0.081601	2.199563	2.51623
-13797599#9	4.43	12.92	211.02	44	44	61.641028	8150.622397	0.46476	0.106928	3.011753	3.503614
-13797704#0	5.51	8.49	285.21	47	47	126.540424	7420.734535	0.745863	0.108255	2.890291	3.189901
-13797704#1	1.3	11.98	79.60	47	47	10.503493	1224.288673	0.076237	0.017458	0.462438	0.52627
-13798697	11.36	12.40	457.81	39	39	500.769679	38699.081225	3.187193	0.675246	15.675117	16.63502
-14326205#0	2.48	12.16	123.36	43	43	21.44998	2776.66375	0.161634	0.036741	1.028295	1.193572
-14326205#1	4.17	13.12	194.79	43	43	67.07403	8149.699455	0.492907	0.114416	3.064231	3.50321
-14326205#2	0.58	13.02	40.52	43	43	11.325852	1230.160979	0.080009	0.01817	0.470491	0.528793
-14326205#3	1.07	12.92	62.02	43	43	23.991736	2460.896919	0.166367	0.037548	0.949712	1.057833
-14326205#4	6.19	12.73	374.08	57	57	85.42128	10556.112798	0.631213	0.14441	3.941804	4.53763
-14327505#0	3.47	1.04	603.14	75	75	416.85841	8158.459927	2.09002	0.192639	3.678439	3.507145
-14327505#1	16.81	4.80	1334.93	75	75	1495.565007	44123.685732	7.850969	0.935351	19.109141	18.96734
-14327505#2	25.4	3.13	780.56	29	29	2635.373349	59050.302821	13.388765	1.325269	26.036803	25.384239
-14327505#3	1.32	10.62	51.39	29	29	159.127297	9549.565348	0.952768	0.192348	4.092053	4.10492
-14328611	0.19	6.42	87.13	94	94	19.75287	867.441596	0.110411	0.017219	0.373659	0.372878
-14333888#0	2.92	7.53	21.33	6	6	114.803034	6004.591031	0.664314	0.114007	2.538549	2.581121
-14333888#1	1.86	9.47	14.17	6	6	47.822949	3207.772284	0.290879	0.044999	1.243509	1.3789
-14333888#2	1.79	9.26	13.82	6	6	82.104079	4897.089801	0.488425	0.086142	2.020739	2.105054
-14333888#3	3.94	8.84	23.59	0	6	110.904845	6424.696947	0.655743	0.116034	2.673852	2.761706
-14333980	12.54	8.64	52.35	4	4	563.076023	32040.830418	3.310061	0.549378	13.125673	13.773054
-156211618#0	14.36	8.48	4221.50	283	283	704.258194	27534.772098	3.844232	0.485328	11.139733	11.836274
-156211618#1	1.18	12.65	439.21	283	283	20.563995	2353.513334	0.147552	0.032838	0.886642	1.011677
-156211618#2	0.68	12.66	299.75	283	283	10.338762	1225.332751	0.07486	0.016572	0.457677	0.52672
-157156090#0	2.63	4.58	36.52	0	14	85.151873	2629.458077	0.447608	0.045194	1.090403	1.130329
-167487356#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#2	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#3	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#5	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487370	0.71	10.23	132.67	113	113	85.514925	5018.364992	0.509168	0.100728	2.150378	2.157167
-167487441	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487519	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-172963174#2	12.98	8.64	628.22	47	8	335.530267	20654.799969	1.996978	0.286796	8.003997	8.878743
-172963174#3	9.14	8.87	454.68	47	47	228.110798	14325.238278	1.363549	0.195135	5.522917	6.157898
-172963174#4	0.03	9.24	25.73	47	47	1.297779	82.897298	0.007831	0.00134	0.033328	0.035634
-172963174#5	4.0	8.96	212.81	47	47	120.130629	7578.639938	0.720149	0.109802	2.964743	3.257771
-193149514	3.31	9.42	419.17	110	110	151.33772	9261.987935	0.906166	0.163719	3.820633	3.981336
-198514517	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-200072875	3.74	9.88	818.06	194	194	88.791346	6211.670799	0.546152	0.086307	2.382958	2.670162
-207634492	4.25	1.23	918.00	113	113	514.70337	10104.734047	2.581427	0.238775	4.556029	4.343805
-207634505#0	4.21	2.26	1772.27	281	281	427.306904	9721.202217	2.174139	0.218217	4.319657	4.178891
-207634505#1	4.94	3.09	1820.50	281	281	354.114977	7499.92681	1.787799	0.167217	3.318944	3.224046
-207634523#0	11.44	10.03	3372.72	283	283	263.04129	20125.926318	1.658331	0.282143	7.751824	8.651348
-207634523#1	0.71	9.94	333.22	283	283	28.684757	1593.547374	0.16818	0.029957	0.670636	0.684998
-211090188#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-211641909#0	3.77	12.89	691.05	167	167	147.740132	12708.079895	0.970904	0.218093	5.099816	5.462634
-211641909#1	1.06	11.56	244.68	167	167	119.909303	7645.352499	0.729006	0.153457	3.262362	3.286382
-211641911	12.35	12.98	2122.61	167	167	187.220601	23729.006649	1.393912	0.321838	8.837125	10.200105
-212361874#0	5.0	6.48	24.93	0	5	60.564869	1825.290551	0.318439	0.03723	0.794012	0.784633
