link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.03	4.89	146.97	49	49	110.801382	3702.972809	0.589449	0.065303	1.546009	1.591792
-104179543#1	0.62	4.67	80.16	49	49	19.633309	626.032115	0.103688	0.010832	0.260046	0.269113
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.69	8.95	109.94	18	0	146.415409	9235.801222	0.878059	0.135794	3.626981	3.970119
-104688711#4	5.66	8.90	111.57	18	18	154.629842	9784.648882	0.926519	0.135879	3.789536	4.206059
-104688711#5	8.98	8.67	171.47	18	18	350.509735	20159.325759	2.060928	0.321861	8.109075	8.66571
-109406983	17.6	8.76	108.86	6	6	790.291502	46117.974571	4.683402	0.854213	19.113618	19.824152
-109406986	2.94	7.19	263.13	73	73	91.252032	4589.948273	0.521509	0.076282	1.871105	1.973045
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.7	11.97	1724.59	213	213	266.961252	20626.629105	1.695366	0.336822	8.186617	8.866511
-12319876#1	8.08	9.39	1827.88	213	213	258.32484	14194.120244	1.503596	0.229253	5.586672	6.10152
-12544650	14.26	12.33	2006.47	137	137	248.364617	27562.349346	1.763098	0.380115	10.384085	11.847908
-128245297	12.59	12.14	1505.37	116	116	597.170353	44071.712183	3.754272	0.778974	17.953322	18.944481
-128245298#0	0.32	12.94	80.15	116	116	4.228569	597.194927	0.032819	0.00763	0.218767	0.256709
-128245298#1	0.39	12.96	87.45	116	116	4.967657	690.970789	0.038363	0.008912	0.253798	0.29702
-128363658#0	2.95	12.79	86.41	26	26	60.364114	6655.240617	0.425623	0.09656	2.532141	2.860804
-128363658#1	4.62	12.84	128.43	26	26	71.822119	8725.695805	0.526742	0.118591	3.261612	3.750812
-128363658#2	1.67	12.87	53.01	26	26	30.744604	3778.163657	0.224335	0.051186	1.408758	1.624074
-128363658#3	20.04	12.87	653.25	32	32	294.648628	37364.750269	2.197055	0.503666	13.901488	16.061544
-128363658#4	5.64	10.57	194.93	32	32	524.982499	30943.114993	3.126498	0.604415	13.103127	13.301067
-128363658#5	8.74	5.09	309.68	32	32	573.216924	15418.45499	2.971348	0.321524	6.643005	6.627945
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.27	7.94	97.41	20	20	131.039394	7119.312541	0.759719	0.108974	2.834439	3.060329
-128825640#1	12.32	9.01	246.13	0	20	281.819609	18138.992641	1.692815	0.236185	6.915683	7.797304
-13278020#0	1.77	12.63	551.93	257	257	27.7494	3261.701022	0.200943	0.044619	1.222502	1.402069
-13278020#1	2.75	12.71	803.67	257	257	47.10327	5346.013402	0.337628	0.075822	2.022579	2.298025
-13278020#2	1.59	12.63	505.24	257	257	73.323824	5929.535907	0.47407	0.105393	2.411201	2.548839
-13278020#3	0.88	11.96	329.35	257	257	83.122014	5569.06673	0.511534	0.109368	2.35475	2.393884
-13278020#4	0.73	10.81	300.67	257	257	85.312269	5194.066131	0.512594	0.104283	2.222361	2.232691
-13278020#5	3.29	2.13	1419.05	257	257	352.419931	8003.638321	1.793261	0.182014	3.569079	3.440552
-13278020#6	4.61	4.36	1464.02	257	257	289.68414	6673.276311	1.475232	0.144664	2.914746	2.868674
-13278020#7	2.42	9.43	751.74	257	257	180.507471	10140.761505	1.063235	0.198698	4.282259	4.35907
-13278020#8	0.52	10.67	247.38	257	257	58.838368	3581.405908	0.35339	0.071343	1.529268	1.539483
-13278159#0	12.51	2.30	1995.91	137	137	1244.795659	25246.664749	6.260803	0.582867	11.283059	10.852977
-13278159#1	1.65	10.20	289.46	137	137	44.743893	3079.783786	0.274785	0.046533	1.192171	1.323879
-13714843#0	1.83	13.11	130.19	61	0	37.500164	4059.273468	0.265464	0.061613	1.561552	1.744906
-13714843#1	14.54	13.00	909.18	61	61	227.159205	27978.426567	1.671465	0.385076	10.468699	12.026748
-13714843#2	14.25	12.86	891.61	61	61	374.025228	36019.27271	2.5369	0.562211	14.026763	15.483126
-13714843#3	19.18	3.94	1773.28	87	87	1653.363121	36155.772587	8.370418	0.784991	15.717131	15.542536
-13715172	23.37	11.95	1045.94	44	44	818.906396	64225.401762	5.222303	1.0562	25.529995	27.60775
-13715172.291	24.65	0.70	1382.69	44	44	3002.277595	51376.659517	14.877119	1.259405	23.414164	22.08597
-13797599#0	4.33	11.78	222.58	47	47	295.522736	19958.560624	1.819227	0.376497	8.327058	8.579284
-13797599#1	26.9	7.06	1957.87	71	71	1806.600863	61795.862486	9.668109	1.197306	25.851595	26.563978
-13797599#10	0.37	12.99	32.46	44	44	4.564576	619.118801	0.034698	0.008157	0.228545	0.266133
-13797599#2	11.94	2.70	739.50	54	54	1278.039215	24675.120229	6.397398	0.567315	10.953109	10.607345
-13797599#3	4.51	11.84	264.95	54	54	325.441422	22160.830408	2.008204	0.418327	9.250302	9.525937
-13797599#4	23.38	1.38	1179.78	44	44	2519.497378	45154.676517	12.531184	1.082365	20.402296	19.41118
-13797599#5	5.75	12.91	269.24	44	44	94.480394	11493.57298	0.694326	0.158797	4.310763	4.940603
-13797599#6	9.89	12.96	451.24	44	44	158.095389	19474.659763	1.166792	0.268685	7.295938	8.371335
-13797599#7	4.1	12.90	196.60	44	44	62.674644	7920.93331	0.465342	0.106209	2.946014	3.404879
-13797599#8	2.87	12.98	142.18	44	44	41.994059	5268.912826	0.312024	0.070891	1.962453	2.264886
-13797599#9	4.42	12.94	210.72	44	44	63.088732	8431.26904	0.47908	0.109498	3.108417	3.624254
-13797704#0	5.56	8.41	287.98	47	47	134.496152	8117.745141	0.798486	0.120068	3.170857	3.489515
-13797704#1	1.28	12.11	78.76	47	47	7.974309	1074.626891	0.06068	0.013909	0.3953	0.461938
-13798697	11.35	12.41	457.65	39	39	490.113907	37795.842906	3.120708	0.657712	15.306399	16.246762
-14326205#0	2.48	12.15	123.44	43	43	31.737199	3326.508839	0.221342	0.049529	1.276348	1.429924
-14326205#1	4.18	13.09	195.32	43	43	64.200576	8186.185011	0.47931	0.111981	3.053937	3.518896
-14326205#2	0.58	13.06	40.40	43	43	10.877215	1234.503829	0.077856	0.017873	0.468926	0.53066
-14326205#3	1.07	13.01	61.58	43	43	22.392788	2423.442398	0.158169	0.036706	0.931544	1.041733
-14326205#4	6.17	12.76	373.18	57	57	81.755659	10708.117978	0.61669	0.144844	3.980329	4.60297
