link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.04	4.86	208.34	69	69	101.862138	3394.939404	0.541645	0.059731	1.416491	1.459379
-104179543#1	0.61	4.73	111.48	69	69	16.848965	527.632723	0.088696	0.008828	0.217275	0.226814
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.74	8.88	109.32	18	0	140.376658	8864.205799	0.840142	0.120293	3.415167	3.810399
-104688711#4	5.69	8.86	112.00	18	18	140.288428	8874.17791	0.839225	0.11644	3.391806	3.814692
-104688711#5	9.02	8.63	172.30	18	18	369.513611	21036.564648	2.168339	0.339965	8.490269	9.042797
-109406983	17.6	8.76	108.84	6	6	830.444612	46277.607026	4.876031	0.86975	19.265016	19.892785
-109406986	2.97	7.13	265.23	73	73	89.889609	4525.447351	0.51409	0.076604	1.853591	1.945316
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.68	12.00	1720.51	213	213	261.50223	20226.161142	1.662012	0.332252	8.040463	8.694364
-12319876#1	8.02	9.45	1815.72	213	213	242.602943	13792.786489	1.42244	0.220365	5.410548	5.928998
-12544650	14.22	12.36	2001.01	137	137	257.102014	27889.453088	1.81197	0.393543	10.570837	11.988507
-128245297	12.56	12.17	1501.70	116	116	594.49479	44036.762997	3.741218	0.777241	17.927215	18.929458
-128245298#0	0.32	13.04	79.53	116	116	6.042305	707.392515	0.043867	0.010195	0.267906	0.304078
-128245298#1	0.39	13.00	87.21	116	116	6.091005	728.581454	0.044509	0.010348	0.274828	0.313186
-128363658#0	2.96	12.75	86.69	26	26	45.921607	5836.541358	0.340024	0.076787	2.160268	2.508887
-128363658#1	4.6	12.89	127.56	26	26	74.779117	8842.139582	0.540897	0.124151	3.328895	3.800862
-128363658#2	1.68	12.78	53.39	26	26	24.328035	3270.440432	0.184831	0.042325	1.204325	1.405827
-128363658#3	20.0	12.90	651.72	32	32	291.902207	37406.009955	2.186911	0.50285	13.907891	16.07928
-128363658#4	5.53	10.79	190.95	32	32	496.573412	29958.375632	2.973172	0.579976	12.639638	12.877771
-128363658#5	8.63	5.16	305.47	32	32	565.239531	15466.241267	2.935975	0.319952	6.641862	6.648483
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.32	7.85	98.59	20	20	126.9738	6635.594511	0.731034	0.107368	2.6837	2.852391
-128825640#1	12.32	9.01	246.18	0	20	273.569908	17380.685871	1.639124	0.232318	6.669062	7.471328
-13278020#0	1.78	12.59	553.63	257	257	26.917136	3264.897232	0.196777	0.043422	1.215014	1.403444
-13278020#1	2.76	12.69	804.81	257	257	48.034016	5559.578427	0.346393	0.077821	2.095148	2.389829
-13278020#2	1.59	12.63	505.40	257	257	73.453218	6059.128111	0.477532	0.106033	2.451615	2.604547
-13278020#3	0.88	11.96	329.50	257	257	83.784498	5662.158405	0.516616	0.110207	2.38718	2.433901
-13278020#4	0.73	10.79	301.24	257	257	85.512923	5219.181615	0.514053	0.104467	2.231055	2.243487
-13278020#5	3.29	2.13	1418.19	257	257	351.920733	7968.213379	1.790129	0.181247	3.553538	3.425325
-13278020#6	4.37	4.59	1389.92	257	257	273.870397	6493.265611	1.399137	0.140299	2.832109	2.791286
-13278020#7	2.26	10.09	702.10	257	257	168.19328	10122.503738	1.006709	0.195991	4.257067	4.351215
-13278020#8	0.52	10.65	247.93	257	257	57.532639	3507.788802	0.345656	0.069687	1.496483	1.507838
-13278159#0	12.91	2.23	2059.66	137	137	1328.458173	26399.014857	6.668554	0.612859	11.823702	11.348364
-13278159#1	1.67	10.09	292.60	137	137	40.203328	2808.530249	0.247715	0.042275	1.086011	1.207277
-13714843#0	1.83	13.14	129.08	61	0	35.323858	4009.624102	0.25251	0.058774	1.526195	1.723565
-13714843#1	14.54	13.00	909.13	61	61	228.591379	28223.85336	1.687804	0.389972	10.571362	12.132244
-13714843#2	14.37	12.75	899.15	61	61	383.840971	35910.664759	2.584353	0.566375	14.047396	15.436438
-13714843#3	18.47	4.09	1707.39	87	87	1511.721338	34287.925382	7.682987	0.733596	14.836163	14.73956
-13715172	23.23	12.02	1039.72	44	44	802.280335	63695.857748	5.137813	1.045363	25.305413	27.380117
-13715172.291	24.5	0.70	1374.43	44	44	2990.959671	51432.83145	14.826822	1.25791	23.424098	22.110109
-13797599#0	4.3	11.88	220.82	47	47	299.140941	20478.085666	1.848257	0.385041	8.529499	8.802603
-13797599#1	26.96	7.05	1961.98	71	71	1809.136691	61942.844748	9.685581	1.200063	25.915306	26.62716
-13797599#10	0.37	12.92	32.62	44	44	7.323622	835.690305	0.052697	0.01213	0.317798	0.359228
-13797599#2	12.67	2.54	785.14	54	54	1382.914923	25962.163788	6.904557	0.602843	11.56792	11.160643
-13797599#3	4.49	11.88	264.05	54	54	312.867342	21921.971596	1.944029	0.406238	9.089543	9.423268
-13797599#4	22.6	1.43	1140.27	44	44	2346.158012	42197.96571	11.673267	1.010421	19.063162	18.140138
-13797599#5	5.74	12.94	268.57	44	44	89.008943	10966.821207	0.657367	0.150823	4.106293	4.714175
-13797599#6	9.93	12.90	453.16	44	44	140.899287	18287.123416	1.058809	0.241636	6.775221	7.860874
-13797599#7	4.1	12.89	196.79	44	44	65.605042	8292.695816	0.485591	0.110658	3.08113	3.564684
-13797599#8	2.89	12.88	143.26	44	44	41.359636	5446.145189	0.312507	0.070782	2.010515	2.341073
-13797599#9	4.42	12.93	210.84	44	44	72.219427	8688.065663	0.527366	0.121177	3.265847	3.734632
-13797704#0	5.5	8.51	284.60	47	47	136.182778	8050.969439	0.804955	0.12118	3.158344	3.46081
-13797704#1	1.29	12.00	79.47	47	47	7.85454	1024.646216	0.058946	0.013294	0.377204	0.440453
-13798697	11.38	12.37	458.84	39	39	491.621701	37814.781374	3.126525	0.660022	15.325974	16.2549
-14326205#0	2.48	12.14	123.50	43	43	31.601068	3678.613959	0.227643	0.052127	1.387303	1.58128
-14326205#1	4.18	13.08	195.47	43	43	65.020363	8053.52265	0.481248	0.111776	3.017422	3.461869
