link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.06	4.82	149.34	49	49	109.887058	3690.892893	0.585235	0.066175	1.547963	1.586598
-104179543#1	0.63	4.59	81.65	49	49	18.81939	580.563453	0.098918	0.010012	0.241025	0.249568
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.75	8.85	110.82	18	0	153.372816	9609.018115	0.917319	0.136479	3.742747	4.130558
-104688711#4	5.7	8.84	112.32	18	18	135.242519	8410.321138	0.806023	0.112202	3.228911	3.615295
-104688711#5	8.92	8.72	170.44	18	18	344.427674	19923.78142	2.027474	0.315906	7.997781	8.56446
-109406983	17.1	9.01	105.77	6	6	824.769979	47820.849589	4.880817	0.876852	19.743546	20.556166
-109406986	2.97	7.14	265.08	73	73	97.189605	4799.521996	0.553415	0.08026	1.960466	2.063133
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.68	12.01	1718.04	213	213	258.701982	20230.647636	1.648679	0.329324	8.019058	8.696295
-12319876#1	8.0	9.48	1810.54	213	213	256.479224	14165.402369	1.493945	0.226889	5.559077	6.089177
-12544650	14.22	12.37	2000.12	137	137	242.994549	27343.330227	1.733255	0.374861	10.282402	11.753761
-128245297	12.58	12.14	1504.62	116	116	598.700881	44617.238704	3.773933	0.783084	18.132046	19.178983
-128245298#0	0.32	12.97	79.82	116	116	4.816993	624.175629	0.036281	0.008438	0.232085	0.268307
-128245298#1	0.39	13.03	86.96	116	116	6.33213	817.213009	0.047597	0.011092	0.304144	0.351286
-128363658#0	2.94	12.82	86.19	26	26	41.652602	5759.688193	0.317383	0.072189	2.103609	2.475854
-128363658#1	4.6	12.91	127.69	26	26	76.045009	9627.656402	0.563612	0.130237	3.584992	4.138526
-128363658#2	1.67	12.89	52.94	26	26	34.294792	4004.754883	0.247926	0.056142	1.50922	1.721475
-128363658#3	19.99	12.90	651.56	32	32	296.884812	37355.570083	2.206443	0.505245	13.916241	16.057596
-128363658#4	5.6	10.64	193.60	32	32	513.704628	30632.804558	3.06695	0.593668	12.934313	13.167681
-128363658#5	8.83	5.04	312.81	32	32	588.275145	15602.067526	3.043291	0.329712	6.752535	6.706874
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.18	8.12	95.27	20	20	131.788498	7364.198942	0.77011	0.119249	2.97426	3.165583
-128825640#1	12.4	8.95	247.74	0	20	282.600844	17813.195789	1.690762	0.242369	6.864618	7.657244
-13278020#0	1.77	12.63	551.96	257	257	27.900475	3305.630267	0.202777	0.045518	1.240455	1.420952
-13278020#1	2.75	12.71	803.83	257	257	47.718048	5518.667558	0.344305	0.077722	2.082555	2.372242
-13278020#2	1.59	12.63	505.07	257	257	78.730099	6323.821292	0.507984	0.112642	2.574349	2.718325
-13278020#3	0.89	11.87	331.88	257	257	83.565687	5584.630523	0.513876	0.109442	2.360524	2.400575
-13278020#4	0.74	10.72	303.30	257	257	84.21462	5111.923042	0.505572	0.102402	2.18628	2.197381
-13278020#5	3.21	2.18	1384.47	257	257	344.975325	7810.956026	1.754822	0.177777	3.483975	3.357724
-13278020#6	4.14	4.84	1316.56	257	257	247.552703	6060.878506	1.269251	0.130357	2.638974	2.605408
-13278020#7	2.34	9.75	726.59	257	257	173.183233	10176.753328	1.03065	0.197735	4.285622	4.374537
-13278020#8	0.52	10.64	248.12	257	257	58.880834	3578.153771	0.35353	0.071431	1.529014	1.538085
-13278159#0	12.6	2.29	2011.60	137	137	1261.757023	25193.128054	6.336927	0.585368	11.289453	10.829973
-13278159#1	1.6	10.48	281.72	137	137	33.220637	2491.784827	0.208697	0.036693	0.957577	1.07112
-13714843#0	1.85	13.00	128.82	61	0	33.358818	4051.275179	0.243868	0.056519	1.520853	1.741472
-13714843#1	14.61	12.93	913.70	61	61	222.609527	28181.208598	1.655695	0.380712	10.494772	12.113921
-13714843#2	14.37	12.75	899.31	61	61	377.334405	36144.427395	2.557246	0.561928	14.073142	15.536929
-13714843#3	19.08	3.96	1764.70	87	87	1629.614354	36039.899265	8.259127	0.78242	15.675583	15.492708
-13715172	22.85	12.23	1022.36	44	44	764.325201	64133.782303	4.971146	1.042857	25.411398	27.568339
-13715172.291	24.32	0.71	1364.23	44	44	2967.611998	50797.511833	14.705623	1.244518	23.146511	21.837004
-13797599#0	4.32	11.83	221.73	47	47	298.153763	20275.467596	1.838354	0.382237	8.454617	8.715507
-13797599#1	26.86	7.07	1954.54	71	71	1808.9623	62283.404036	9.693456	1.204731	26.034223	26.77355
-13797599#10	0.37	12.94	32.56	44	44	6.210546	794.858259	0.046479	0.010427	0.294313	0.341677
-13797599#2	11.27	2.86	698.18	54	54	1192.331118	22557.944493	5.956686	0.523106	10.045244	9.697227
-13797599#3	4.5	11.85	264.81	54	54	326.471691	22262.787903	2.014377	0.420527	9.29367	9.569763
-13797599#4	23.87	1.36	1204.70	44	44	2531.545581	45470.527492	12.592666	1.088506	20.536834	19.546956
-13797599#5	5.73	12.94	268.45	44	44	79.738923	10579.082658	0.604828	0.139281	3.912532	4.547507
-13797599#6	9.91	12.93	452.27	44	44	152.606931	19351.770018	1.138993	0.26065	7.205793	8.318517
-13797599#7	4.08	12.96	195.63	44	44	57.423539	7675.380141	0.435413	0.10052	2.833898	3.299327
-13797599#8	2.89	12.89	143.19	44	44	43.580573	5206.947589	0.317885	0.072782	1.958551	2.238247
-13797599#9	4.43	12.91	211.21	44	44	61.91792	8145.721524	0.467968	0.106706	3.010919	3.501508
-13797704#0	5.6	8.36	289.92	47	47	124.814507	7767.03918	0.745642	0.110595	3.006957	3.338763
-13797704#1	1.3	11.92	79.97	47	47	8.781845	920.266333	0.061498	0.014156	0.355405	0.395583
-13798697	11.38	12.38	458.78	39	39	502.769873	39047.19403	3.204539	0.674951	15.775474	16.784666
-14326205#0	2.47	12.18	123.16	43	43	28.698856	3207.857413	0.204137	0.046106	1.216947	1.378922
-14326205#1	4.19	13.06	195.73	43	43	65.803859	8097.379893	0.483654	0.111409	3.027898	3.480723
-14326205#2	0.58	13.05	40.43	43	43	12.439367	1352.967018	0.087452	0.020022	0.517097	0.581582
-14326205#3	1.07	12.95	61.88	43	43	23.894495	2420.742124	0.164837	0.037187	0.937251	1.040572
-14326205#4	6.23	12.64	376.59	57	57	93.486232	11462.874727	0.687533	0.156832	4.283457	4.927409
-14327505#0	3.76	0.96	810.36	93	93	447.372184	8644.822426	2.24041	0.205039	3.903347	3.716225
-14327505#1	17.51	4.60	1724.41	93	93	1532.073889	44369.648428	8.023178	0.944492	19.246162	19.073089
-14327505#2	20.67	3.85	1029.61	47	47	1860.817905	45998.289992	9.554988	1.002454	20.091809	19.773388
-14327505#3	1.32	10.66	82.96	47	47	160.349763	9583.03298	0.959389	0.194273	4.115282	4.119305
-14328611	0.19	6.41	70.50	76	76	19.343254	846.797488	0.108036	0.016708	0.364205	0.364004
-14333888#0	2.86	7.69	20.86	6	6	97.647308	5240.459255	0.566991	0.092699	2.168695	2.252661
-14333888#1	1.87	9.43	14.24	6	6	37.674115	2504.436576	0.228536	0.034689	0.968166	1.076563
-14333888#2	1.8	9.20	13.91	6	6	97.170396	5821.269505	0.577872	0.098234	2.374376	2.502326
-14333888#3	3.92	8.90	23.44	0	6	110.96506	6699.336924	0.660639	0.110379	2.714101	2.879775
-14333980	12.27	8.83	51.23	4	4	538.034188	30302.515784	3.155868	0.522392	12.435936	13.025823
-156211618#0	14.32	8.50	4210.91	283	283	682.828243	27743.630726	3.751339	0.482032	11.17965	11.926043
-156211618#1	1.18	12.66	439.00	283	283	19.627183	2316.740362	0.142427	0.031858	0.869057	0.99587
-156211618#2	0.68	12.71	298.61	283	283	11.358098	1337.722976	0.082254	0.018448	0.50202	0.575031
-157156090#0	2.67	4.51	37.13	0	14	69.162637	2048.921947	0.361657	0.03601	0.854367	0.880775
