link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.03	4.90	206.77	69	69	108.460836	3758.165715	0.580505	0.067934	1.579352	1.615512
-104179543#1	0.62	4.63	113.86	69	69	16.35959	518.678084	0.086287	0.008763	0.214146	0.222965
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.71	8.93	111.07	18	0	148.23104	9455.445749	0.889359	0.128231	3.64102	4.064551
-104688711#4	5.67	8.89	111.71	18	18	138.199802	8720.739624	0.826655	0.116662	3.348636	3.748731
-104688711#5	8.94	8.71	170.67	18	18	349.374347	20098.302842	2.053692	0.317369	8.060578	8.639484
-109406983	17.94	8.59	110.96	6	6	839.948014	46250.280736	4.917777	0.865699	19.223719	19.881053
-109406986	2.96	7.14	264.78	73	73	90.050339	4489.67632	0.513851	0.075452	1.836104	1.929941
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.63	12.08	1708.28	213	213	254.252858	20005.689822	1.622235	0.32559	7.925994	8.599594
-12319876#1	7.91	9.59	1789.18	213	213	251.791495	14320.095877	1.476621	0.229832	5.624392	6.155667
-12544650	14.23	12.35	2002.87	137	137	255.135577	27777.050997	1.800389	0.391007	10.52091	11.940191
-128245297	12.56	12.16	1502.19	116	116	602.278791	44677.1012	3.792399	0.788583	18.187532	19.20471
-128245298#0	0.32	13.00	79.76	116	116	4.265132	553.230826	0.032106	0.007569	0.206219	0.237811
-128245298#1	0.38	13.07	86.71	116	116	5.482004	698.442779	0.040957	0.009518	0.260422	0.300231
-128363658#0	2.96	12.77	86.51	26	26	58.430328	5985.557033	0.403167	0.089487	2.3037	2.572935
-128363658#1	4.63	12.83	128.08	26	26	82.267852	9915.801488	0.598739	0.137322	3.717895	4.262385
-128363658#2	1.69	12.73	53.62	26	26	20.653282	2394.563968	0.149484	0.03368	0.903633	1.029322
-128363658#3	19.92	12.95	649.07	32	32	290.193594	36480.933826	2.155799	0.497226	13.61376	15.681621
-128363658#4	5.48	10.88	189.43	32	32	472.396008	28236.216788	2.823176	0.552202	11.956583	12.137486
-128363658#5	8.57	5.19	303.65	32	32	616.269205	16208.917455	3.185813	0.34087	7.000394	6.967749
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.21	8.06	95.93	20	20	124.712697	6927.152935	0.726434	0.105104	2.750742	2.977726
-128825640#1	12.35	8.99	246.72	0	20	279.602282	17871.893457	1.677373	0.236692	6.841218	7.682483
-13278020#0	1.77	12.66	550.59	257	257	27.92692	3320.124005	0.203081	0.045334	1.243142	1.427183
-13278020#1	2.75	12.73	802.58	257	257	49.831779	5690.825538	0.35748	0.080296	2.149593	2.446246
-13278020#2	1.59	12.65	504.40	257	257	79.273857	6398.438423	0.51235	0.113687	2.602172	2.7504
-13278020#3	0.89	11.89	331.36	257	257	85.852048	5719.192069	0.527554	0.112439	2.420174	2.458416
-13278020#4	0.74	10.69	304.25	257	257	85.334227	5173.059142	0.512106	0.10354	2.212164	2.223661
-13278020#5	3.22	2.18	1386.47	257	257	339.82632	7748.40202	1.729882	0.175925	3.453987	3.330832
-13278020#6	4.57	4.39	1451.73	257	257	289.589324	6645.638143	1.474237	0.144716	2.908433	2.856793
-13278020#7	2.42	9.44	750.64	257	257	177.894075	10018.023742	1.048197	0.194724	4.218695	4.306312
-13278020#8	0.52	10.72	246.28	257	257	56.885142	3488.980662	0.342253	0.069202	1.48737	1.499754
-13278159#0	12.62	2.28	2014.41	137	137	1247.697968	25116.852288	6.270796	0.580078	11.229682	10.797181
-13278159#1	1.6	10.52	280.65	137	137	35.192116	2605.75536	0.220317	0.038789	1.004792	1.120111
-13714843#0	1.84	13.07	128.98	61	0	34.327576	3900.256629	0.246887	0.05727	1.486022	1.676553
-13714843#1	14.51	13.03	907.13	61	61	219.709832	28169.347644	1.642704	0.381708	10.48544	12.10882
-13714843#2	14.25	12.85	891.71	61	61	374.013155	36341.957437	2.544935	0.562757	14.121595	15.621838
-13714843#3	18.72	4.04	1730.83	87	87	1603.603683	35801.426316	8.136192	0.772602	15.531474	15.390189
-13715172	23.96	11.66	1072.29	44	44	901.496714	65826.352868	5.64476	1.102494	26.325933	28.295951
-13715172.291	23.79	0.73	1334.52	44	44	2922.578662	50556.689958	14.495112	1.234999	23.016472	21.733457
-13797599#0	4.3	11.86	221.16	47	47	304.722115	20551.943853	1.875409	0.389972	8.588402	8.834349
-13797599#1	27.09	7.01	1971.36	71	71	1848.954111	62328.861446	9.877126	1.214945	26.127157	26.793108
-13797599#10	0.37	12.94	32.58	44	44	5.530815	710.26646	0.041573	0.009582	0.264488	0.305314
-13797599#2	11.81	2.73	731.85	54	54	1276.850372	24220.880384	6.380727	0.558888	10.768464	10.412092
-13797599#3	4.53	11.77	266.55	54	54	328.180961	22480.333278	2.026626	0.41974	9.351561	9.663282
