link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.05	4.85	208.66	69	69	96.773622	3350.138437	0.517909	0.06072	1.408991	1.440115
-104179543#1	0.61	4.72	111.76	69	69	12.628287	407.057245	0.06677	0.006904	0.168223	0.174982
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.77	8.83	110.06	18	0	148.285402	9365.590092	0.886859	0.123607	3.585024	4.025931
-104688711#4	5.65	8.93	111.22	18	18	137.138607	8856.785626	0.824485	0.115532	3.378276	3.807214
-104688711#5	9.0	8.65	171.95	18	18	361.195915	20725.646743	2.121738	0.326297	8.306781	8.909157
-109406983	17.7	8.71	109.50	6	6	794.920777	45082.671118	4.677722	0.853981	18.809056	19.379109
-109406986	2.96	7.14	174.15	48	48	100.260725	5126.42527	0.57533	0.087033	2.101193	2.203652
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.65	12.05	1713.65	213	213	262.415914	20600.35497	1.673983	0.33612	8.169407	8.855215
-12319876#1	7.99	9.49	1808.19	213	213	242.725038	13920.561284	1.425512	0.221818	5.453512	5.983923
-12544650	14.22	12.36	2001.38	137	137	248.678936	27360.883742	1.761028	0.382161	10.339975	11.7613
-128245297	12.68	12.05	2418.15	185	185	605.109373	44561.89036	3.802666	0.784426	18.13647	19.155192
-128245298#0	0.32	12.92	128.05	185	185	4.405212	572.738177	0.033077	0.007588	0.212046	0.246196
-128245298#1	0.39	12.96	139.45	185	185	6.021099	739.264645	0.044323	0.010196	0.276764	0.317779
-128363658#0	2.96	12.74	86.71	26	26	50.642221	5798.89147	0.361649	0.081445	2.188178	2.492699
-128363658#1	4.62	12.85	127.44	26	26	79.216407	9084.405362	0.570295	0.128422	3.433915	3.905002
-128363658#2	1.69	12.71	53.68	26	26	18.639355	2822.876658	0.148611	0.032493	1.011971	1.213442
-128363658#3	19.99	12.91	651.39	32	32	286.39217	37916.991621	2.165734	0.501239	14.020557	16.298935
-128363658#4	5.48	10.88	189.45	32	32	481.001532	29213.031218	2.884235	0.565556	12.322694	12.557378
-128363658#5	8.59	5.18	304.15	32	32	576.880702	15862.296997	2.999626	0.333635	6.852815	6.818724
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.33	7.84	98.66	20	20	136.243009	7279.234922	0.788215	0.118014	2.944915	3.129065
-128825640#1	12.39	8.95	247.62	0	20	278.119974	17443.891791	1.661171	0.233415	6.697746	7.498501
-13278020#0	1.77	12.65	551.05	257	257	28.880175	3339.59228	0.208214	0.046453	1.257222	1.435551
-13278020#1	2.75	12.70	803.92	257	257	49.624802	5631.913723	0.355945	0.079855	2.130714	2.420922
-13278020#2	1.59	12.63	505.25	257	257	75.59428	6236.761913	0.491304	0.109039	2.522427	2.680904
-13278020#3	0.89	11.92	330.65	257	257	85.522552	5731.822664	0.526278	0.112157	2.421171	2.463846
-13278020#4	0.74	10.73	303.01	257	257	86.470155	5249.295041	0.519138	0.105223	2.245423	2.256431
-13278020#5	3.37	2.08	1452.37	257	257	364.828865	8183.506528	1.853937	0.186479	3.651689	3.517876
-13278020#6	4.69	4.28	1489.71	257	257	298.138158	6623.93457	1.512767	0.146406	2.91301	2.847468
-13278020#7	2.24	10.20	694.64	257	257	166.880835	10015.280699	0.998388	0.195349	4.223094	4.305123
-13278020#8	0.52	10.68	247.17	257	257	58.293013	3551.518579	0.350209	0.070811	1.516805	1.526635
-13278159#0	12.55	2.30	2002.52	137	137	1244.973478	24981.557316	6.255294	0.578453	11.179723	10.739022
-13278159#1	1.59	10.54	280.23	137	137	31.288666	2472.246053	0.199322	0.036059	0.947715	1.06272
-13714843#0	1.84	13.07	131.07	61	0	45.443286	4827.134919	0.317162	0.073247	1.857976	2.074976
-13714843#1	14.66	12.89	916.89	61	61	241.295155	28923.98583	1.75786	0.402823	10.866667	12.433201
-13714843#2	14.39	12.72	900.86	61	61	382.450863	35760.166654	2.571682	0.562986	13.982266	15.371747
-13714843#3	18.1	4.18	1673.47	87	87	1471.785302	33476.905222	7.480832	0.714412	14.468859	14.390921
-13715172	23.4	11.94	1047.19	44	44	835.821871	64130.850217	5.302064	1.067268	25.593914	27.567101
-13715172.291	24.39	0.71	1368.13	44	44	2979.298071	51336.634597	14.771999	1.257398	23.392451	22.068747
-13797599#0	4.34	11.76	223.02	47	47	299.008807	20153.751079	1.840109	0.380035	8.408198	8.663188
-13797599#1	26.91	7.06	1958.70	71	71	1824.842469	61983.385524	9.759231	1.202798	25.947456	26.644596
-13797599#10	0.37	12.97	32.51	44	44	6.353247	778.330142	0.046881	0.010951	0.292874	0.334571
-13797599#2	12.58	2.56	779.26	54	54	1354.302443	25417.823047	6.761161	0.590493	11.32749	10.926641
-13797599#3	4.48	11.91	263.42	54	54	317.054166	21909.043202	1.96265	0.410872	9.120796	9.417706
-13797599#4	21.78	1.49	1098.92	44	44	2272.819591	41309.157693	11.317883	0.982975	18.621089	17.758044
-13797599#5	5.77	12.86	270.12	44	44	83.993964	10314.673771	0.619605	0.142148	3.864754	4.433844
-13797599#6	9.91	12.93	452.21	44	44	157.567164	19577.930095	1.165936	0.267208	7.31611	8.41573
-13797599#7	4.09	12.93	196.11	44	44	63.372222	7746.923737	0.466348	0.106673	2.902628	3.330077
-13797599#8	2.87	12.94	142.61	44	44	40.394798	5406.465374	0.306585	0.070771	1.995458	2.324015
-13797599#9	4.41	12.97	210.28	44	44	69.623855	8728.994865	0.516444	0.119232	3.260143	3.752228
-13797704#0	5.52	8.48	285.73	47	47	140.143243	8181.739531	0.825721	0.122126	3.204328	3.517026
