link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.99	4.98	144.34	49	49	107.02375	3617.261141	0.570437	0.06439	1.513912	1.554946
-104179543#1	0.61	4.74	78.91	49	49	18.032428	546.931898	0.094545	0.009361	0.226611	0.235111
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.73	8.89	109.77	18	0	145.54924	9054.078638	0.868569	0.126287	3.51191	3.892015
-104688711#4	5.65	8.92	111.34	18	18	156.033388	9912.820666	0.934983	0.133127	3.808937	4.261162
-104688711#5	8.97	8.68	171.27	18	18	358.80921	20658.832159	2.109878	0.327872	8.296852	8.880431
-109406983	17.62	8.75	108.98	6	6	805.934273	45774.050013	4.743212	0.856983	19.024971	19.676318
-109406986	2.96	7.14	264.97	73	73	92.375674	4624.030727	0.527493	0.077308	1.88761	1.987695
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.67	12.02	1716.54	213	213	260.495125	20279.527367	1.656659	0.330869	8.042929	8.717306
-12319876#1	8.08	9.39	1827.50	213	213	262.008332	14466.30976	1.526507	0.233102	5.687644	6.218524
-12544650	14.21	12.37	1999.41	137	137	253.281164	27371.736018	1.782458	0.387373	10.381761	11.765961
-128245297	12.57	12.16	1503.28	116	116	603.062866	44475.850799	3.792408	0.78554	18.114389	19.118203
-128245298#0	0.32	12.98	79.83	116	116	4.366159	573.743164	0.032932	0.007669	0.212677	0.246628
-128245298#1	0.39	13.02	87.08	116	116	5.594821	727.471289	0.042062	0.009784	0.270216	0.312709
-128363658#0	2.96	12.76	86.58	26	26	51.953329	5771.289825	0.370299	0.084412	2.201028	2.480831
-128363658#1	4.62	12.84	128.35	26	26	84.649552	9809.236075	0.61104	0.138626	3.705379	4.216575
-128363658#2	1.68	12.84	53.17	26	26	33.161219	3727.77598	0.236048	0.053769	1.415126	1.602412
-128363658#3	20.05	12.87	653.36	32	32	303.702023	37555.845406	2.240894	0.512963	14.02495	16.143683
-128363658#4	5.62	10.62	193.90	32	32	501.508166	30097.336044	2.997523	0.58011	12.685475	12.937509
-128363658#5	8.7	5.12	307.97	32	32	587.235343	15353.93358	3.033656	0.323263	6.638166	6.600218
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.28	7.94	97.47	20	20	130.609981	7037.059855	0.756241	0.109873	2.817112	3.024969
-128825640#1	12.38	8.96	247.38	0	20	301.148433	19028.480632	1.802024	0.254797	7.305263	8.179656
-13278020#0	1.78	12.59	553.41	257	257	28.442621	3259.398094	0.204275	0.045338	1.227812	1.401079
-13278020#1	2.76	12.69	804.59	257	257	48.301054	5512.009354	0.346549	0.07815	2.084114	2.36938
-13278020#2	1.6	12.57	507.60	257	257	76.704783	6186.611808	0.49524	0.109942	2.516107	2.659345
-13278020#3	0.89	11.89	331.36	257	257	83.223315	5590.067454	0.512396	0.109138	2.359591	2.402912
-13278020#4	0.74	10.74	302.68	257	257	83.511971	5094.346737	0.501898	0.101659	2.175725	2.189827
-13278020#5	3.2	2.19	1379.62	257	257	337.724534	7736.304665	1.720067	0.175589	3.447944	3.325631
-13278020#6	4.48	4.48	1423.80	257	257	280.122367	6470.453302	1.427177	0.141333	2.833879	2.781483
-13278020#7	2.4	9.50	745.83	257	257	183.20584	10313.060564	1.079584	0.201513	4.350769	4.433134
-13278020#8	0.52	10.63	248.31	257	257	58.401938	3544.441195	0.350524	0.070669	1.514119	1.523593
-13278159#0	12.63	2.28	2015.32	137	137	1254.441506	25261.45841	6.305074	0.584937	11.305377	10.859341
-13278159#1	1.6	10.51	280.92	137	137	32.065836	2444.143141	0.202062	0.035711	0.937644	1.050641
-13714843#0	1.84	13.07	130.11	61	0	34.948561	3841.367194	0.247813	0.057468	1.471759	1.651238
-13714843#1	14.58	12.96	911.51	61	61	240.179765	29441.399137	1.765369	0.404915	11.01965	12.655619
-13714843#2	14.37	12.75	899.05	61	61	381.128278	36046.082518	2.572738	0.565239	14.074426	15.49465
-13714843#3	19.35	3.91	1788.85	87	87	1673.965975	36390.789636	8.470087	0.793912	15.845503	15.643567
