link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.05	4.85	148.24	49	49	106.660501	3661.103343	0.569968	0.065821	1.536385	1.57379
-104179543#1	0.62	4.65	80.58	49	49	13.710436	445.027236	0.072575	0.0076	0.18421	0.191304
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.75	8.87	110.69	18	0	145.351594	9072.343822	0.867209	0.121883	3.488378	3.899873
-104688711#4	5.64	8.93	111.17	18	18	150.576907	9659.723336	0.903588	0.125125	3.680219	4.152371
-104688711#5	8.99	8.66	171.64	18	18	345.289204	19691.394074	2.026207	0.314084	7.919563	8.464567
-109406983	17.72	8.70	109.59	6	6	806.600367	46171.367147	4.753421	0.827953	18.921029	19.847162
-109406986	2.95	7.18	173.22	48	48	107.592523	5440.437678	0.616067	0.092987	2.234481	2.338634
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.67	12.02	1716.70	213	213	265.537366	20550.387259	1.687476	0.336807	8.165721	8.833736
-12319876#1	8.07	9.40	1825.73	213	213	255.563229	13948.54806	1.484843	0.22484	5.484637	5.99596
-12544650	14.22	12.36	2000.92	137	137	253.684412	27895.619952	1.794349	0.388812	10.536903	11.991162
-128245297	12.56	12.17	1502.03	116	116	587.81885	43891.095343	3.708255	0.768319	17.824017	18.866848
-128245298#0	0.32	13.07	79.35	116	116	3.831275	517.206516	0.029088	0.006746	0.190504	0.222326
-128245298#1	0.38	13.11	86.46	116	116	5.003011	678.552349	0.038083	0.008908	0.250192	0.291681
-128363658#0	2.95	12.79	86.41	26	26	45.584401	5292.873352	0.33018	0.074787	1.999399	2.275182
-128363658#1	4.61	12.86	127.23	26	26	69.113005	9092.028583	0.521717	0.119537	3.361584	3.908285
