link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.02	4.91	146.45	49	49	102.875604	3537.609044	0.549912	0.063686	1.485106	1.520703
-104179543#1	0.61	4.70	79.60	49	49	13.809572	435.245989	0.072827	0.007621	0.181411	0.187099
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.67	8.99	109.03	18	0	142.237907	9343.660734	0.859126	0.123613	3.573988	4.0165
-104688711#4	5.66	8.91	111.49	18	18	139.683197	8849.942055	0.836497	0.119157	3.403335	3.804269
-104688711#5	8.94	8.71	170.76	18	18	352.744453	20276.149746	2.073986	0.324739	8.162668	8.715926
-109406983	17.43	8.84	107.83	6	6	820.285837	47274.248461	4.850684	0.880909	19.632347	20.321186
-109406986	2.95	7.18	173.09	48	48	99.689065	5081.760172	0.572333	0.089705	2.105802	2.184447
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.66	12.04	1714.95	213	213	257.472967	20084.507867	1.639189	0.327782	7.966812	8.633475
-12319876#1	7.92	9.57	1792.05	213	213	246.95088	14160.730351	1.450176	0.225397	5.545522	6.087163
-12544650	14.24	12.34	2003.75	137	137	247.203548	27491.388062	1.756305	0.379896	10.361678	11.817403
-128245297	12.59	12.13	1505.95	116	116	598.282237	44243.322347	3.764963	0.779818	18.009443	19.018251
-128245298#0	0.32	13.01	79.59	116	116	4.890277	617.629229	0.036404	0.008407	0.230203	0.265493
-128245298#1	0.39	13.02	87.04	116	116	5.5175	725.211803	0.041738	0.009766	0.269219	0.311738
-128363658#0	2.94	12.83	86.15	26	26	53.990625	6522.882358	0.392859	0.090489	2.446643	2.803912
-128363658#1	4.6	12.90	127.59	26	26	71.275779	9048.835213	0.531098	0.121042	3.364172	3.889717
-128363658#2	1.68	12.80	53.31	26	26	22.540193	2694.541982	0.163463	0.037568	1.011821	1.15827
-128363658#3	19.95	12.93	650.26	32	32	298.192215	38468.704797	2.235495	0.518305	14.297607	16.536085
-128363658#4	5.59	10.68	192.57	32	32	494.666035	29313.544749	2.949501	0.570337	12.395743	12.600589
-128363658#5	8.62	5.16	305.19	32	32	591.240875	15778.734088	3.060021	0.326632	6.776103	6.782826
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.22	8.04	96.24	20	20	134.90597	7495.042002	0.786135	0.115246	2.98665	3.221838
-128825640#1	12.38	8.96	247.41	0	20	291.612066	18448.057764	1.745778	0.248607	7.092566	7.930151
-13278020#0	1.77	12.61	552.87	257	257	27.331618	3268.951215	0.19928	0.044481	1.223176	1.405186
-13278020#1	2.76	12.66	806.51	257	257	50.367985	5678.310767	0.359805	0.080562	2.148997	2.440866
-13278020#2	1.6	12.55	508.38	257	257	75.007348	6050.792425	0.484446	0.106918	2.457529	2.600963
-13278020#3	0.89	11.85	332.53	257	257	85.213683	5671.489767	0.523475	0.111315	2.398847	2.437911
-13278020#4	0.74	10.67	304.57	257	257	85.918444	5213.186581	0.51568	0.104083	2.22742	2.240911
-13278020#5	3.48	2.02	1499.55	257	257	379.729299	8400.41352	1.926905	0.192268	3.753405	3.611122
-13278020#6	4.7	4.27	1493.27	257	257	308.507145	6862.465321	1.565489	0.151105	3.012578	2.950007
-13278020#7	2.26	10.10	701.81	257	257	167.344607	10025.511067	1.000616	0.194594	4.219403	4.309522
-13278020#8	0.52	10.69	246.96	257	257	57.804495	3532.531739	0.347489	0.070174	1.506872	1.518474
-13278159#0	12.88	2.24	2055.28	137	137	1280.76762	25759.813778	6.436839	0.59708	11.531618	11.073574
-13278159#1	1.68	10.03	294.50	137	137	38.735657	2700.553481	0.238681	0.039812	1.037872	1.160864
-13714843#0	1.84	13.06	130.04	61	0	34.209949	3980.781416	0.247638	0.057538	1.509288	1.711168
-13714843#1	14.51	13.03	907.12	61	61	221.173645	28244.39914	1.646144	0.381734	10.508696	12.141083
-13714843#2	14.28	12.83	893.49	61	61	378.705027	36164.686929	2.560403	0.563646	14.084996	15.545636
-13714843#3	19.28	3.92	1782.99	87	87	1626.151007	35788.955824	8.239121	0.773971	15.54111	15.384846
-13715172	23.39	11.94	1046.62	44	44	822.417884	64837.013885	5.258897	1.072241	25.831278	27.870642
-13715172.291	24.4	0.71	1368.89	44	44	2965.459686	51095.04335	14.703081	1.250151	23.271701	21.964894
-13797599#0	4.31	11.85	221.31	47	47	295.164165	20122.2482	1.821758	0.37839	8.384435	8.649646
-13797599#1	26.95	7.05	1961.36	71	71	1827.172651	62148.612568	9.76858	1.205562	26.011217	26.71562
-13797599#10	0.37	12.98	32.47	44	44	6.232025	752.420235	0.045784	0.010546	0.28317	0.323434
-13797599#2	11.93	2.70	738.93	54	54	1277.445129	24247.301813	6.383919	0.561866	10.798459	10.423445
-13797599#3	4.48	11.91	263.45	54	54	325.675711	22264.966829	2.011285	0.420854	9.295376	9.570699
-13797599#4	23.37	1.38	1179.14	44	44	2462.659236	44286.293831	12.251347	1.058255	19.988814	19.037876
-13797599#5	5.75	12.91	269.08	44	44	94.038935	11465.947775	0.690167	0.158075	4.297203	4.928728
