link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.04	4.86	148.12	49	49	102.042706	3420.702764	0.543298	0.061333	1.43461	1.470452
-104179543#1	0.62	4.69	79.79	49	49	17.037357	518.137922	0.089369	0.008912	0.214987	0.222733
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.71	8.92	110.33	18	0	149.730724	9531.20968	0.897124	0.125199	3.643295	4.097125
-104688711#4	5.67	8.89	111.74	18	18	144.872117	9120.437995	0.865324	0.118084	3.476214	3.920553
-104688711#5	8.97	8.68	171.32	18	18	356.060939	20361.601948	2.091322	0.327943	8.211282	8.752657
-109406983	18.1	8.52	111.95	6	6	810.931308	47933.985364	4.817686	0.868036	19.718186	20.604802
-109406986	2.99	7.08	267.27	73	73	98.395685	4875.739535	0.561013	0.08328	2.002979	2.095893
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.67	12.02	1717.01	213	213	265.046946	20401.979373	1.682061	0.335306	8.111366	8.769942
-12319876#1	8.01	9.47	1811.87	213	213	237.059489	13928.356094	1.400122	0.220291	5.446153	5.987272
-12544650	14.24	12.34	2003.62	137	137	246.29205	27472.999061	1.751126	0.379239	10.349913	11.809498
-128245297	12.61	12.12	1507.99	116	116	607.945022	45000.742733	3.825552	0.792455	18.31011	19.343833
-128245298#0	0.32	13.00	79.75	116	116	4.08486	590.800516	0.031739	0.007368	0.215022	0.253961
-128245298#1	0.39	13.00	87.21	116	116	3.797174	600.260339	0.030538	0.007295	0.216491	0.258027
-128363658#0	2.98	12.65	87.36	26	26	51.426878	6055.80828	0.371841	0.083085	2.270672	2.603139
-128363658#1	4.63	12.81	128.24	26	26	73.082036	9082.925717	0.539101	0.122373	3.383745	3.904371
-128363658#2	1.69	12.74	53.58	26	26	31.131716	3547.821546	0.221468	0.049459	1.336506	1.525059
-128363658#3	20.04	12.87	653.23	32	32	287.979597	38274.817283	2.185099	0.504396	14.148544	16.452751
-128363658#4	5.5	10.84	189.73	32	32	488.091347	29103.295634	2.915096	0.569251	12.324454	12.510205
-128363658#5	8.6	5.17	304.65	32	32	590.84288	15785.183655	3.060871	0.334349	6.835535	6.785586
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.24	8.00	96.66	20	20	134.548314	7157.456313	0.777618	0.115757	2.893816	3.076718
-128825640#1	12.38	8.96	247.41	0	20	267.507936	17476.582749	1.613586	0.231414	6.686124	7.512548
-13278020#0	1.77	12.64	551.42	257	257	28.441297	3298.055758	0.205455	0.045921	1.242021	1.417696
-13278020#1	2.75	12.74	801.60	257	257	47.711593	5503.254616	0.343925	0.077928	2.079085	2.365616
-13278020#2	1.58	12.68	503.19	257	257	79.711272	6400.369066	0.51432	0.11454	2.608293	2.751228
-13278020#3	0.89	11.92	330.52	257	257	88.403818	5883.52332	0.543128	0.115928	2.49131	2.529054
-13278020#4	0.74	10.68	304.53	257	257	86.835735	5247.073288	0.520768	0.10538	2.246334	2.255476
-13278020#5	3.38	2.08	1456.38	257	257	360.591385	8071.466902	1.831998	0.184031	3.602514	3.469714
-13278020#6	4.78	4.20	1518.01	257	257	311.274317	7057.4841	1.582826	0.155192	3.096452	3.033836
-13278020#7	2.42	9.45	749.97	257	257	182.535101	10371.258623	1.077741	0.201333	4.364849	4.458152
-13278020#8	0.52	10.65	247.79	257	257	57.090734	3493.07715	0.343254	0.06915	1.488416	1.501515
-13278159#0	12.62	2.28	2013.82	137	137	1256.411037	25567.050152	6.321094	0.58921	11.423018	10.990701
-13278159#1	1.67	10.05	293.81	137	137	34.863478	2517.760192	0.21698	0.038411	0.977937	1.082285
-13714843#0	1.84	13.04	131.36	61	0	34.494954	4075.494877	0.250647	0.057503	1.536147	1.751883
-13714843#1	14.53	13.00	908.77	61	61	224.117731	27358.403541	1.646868	0.378889	10.25638	11.760224
-13714843#2	14.31	12.80	895.78	61	61	396.25348	37200.335726	2.666553	0.586199	14.540558	15.990812
-13714843#3	19.57	3.86	1809.57	87	87	1694.53262	36543.154008	8.568596	0.799836	15.938354	15.709072
-13715172	23.96	11.66	1072.00	44	44	878.317301	63811.56615	5.489048	1.068914	25.515601	27.429883
-13715172.291	23.55	0.73	1321.45	44	44	2938.176503	50674.129905	14.568933	1.239567	23.082238	21.783948
-13797599#0	4.3	11.86	221.11	47	47	292.111957	20208.22467	1.808885	0.376398	8.38998	8.686605
-13797599#1	26.83	7.08	1952.28	71	71	1805.424635	61575.794514	9.657585	1.187997	25.711757	26.469392
-13797599#10	0.37	13.02	32.37	44	44	6.978487	792.4182	0.050044	0.011573	0.301742	0.340627
-13797599#2	9.62	3.35	595.82	54	54	938.43291	18568.251318	4.706107	0.419292	8.187017	7.982115
-13797599#3	4.51	11.82	265.39	54	54	338.737034	23025.049382	2.08948	0.435594	9.619273	9.897425
-13797599#4	25.39	1.27	1281.14	44	44	2695.488653	47733.308669	13.393618	1.150623	21.620656	20.519704
-13797599#5	5.76	12.88	269.71	44	44	89.157444	11057.892589	0.659269	0.150581	4.130934	4.753324
-13797599#6	9.95	12.88	454.14	44	44	141.42158	18551.712253	1.066337	0.245486	6.870249	7.974608
-13797599#7	4.09	12.94	195.95	44	44	56.902486	7665.866683	0.434134	0.100352	2.83002	3.295237
-13797599#8	2.87	12.98	142.19	44	44	42.581438	5493.641363	0.320187	0.074629	2.047016	2.361485
-13797599#9	4.43	12.92	211.09	44	44	63.975351	8009.521256	0.472835	0.10864	2.986686	3.442957
-13797704#0	5.58	8.39	288.66	47	47	138.63542	8215.90801	0.819735	0.122912	3.220866	3.531711
-13797704#1	1.31	11.89	80.20	47	47	8.329898	1001.356716	0.060367	0.013373	0.372321	0.430442
-13798697	11.33	12.44	456.58	39	39	484.985421	38134.732384	3.101354	0.658321	15.391184	16.392436
-14326205#0	2.47	12.21	122.86	43	43	21.119121	2849.233598	0.159821	0.03645	1.045235	1.224768
-14326205#1	4.17	13.12	194.87	43	43	66.821842	8119.460064	0.490373	0.113648	3.051378	3.490212
-14326205#2	0.57	13.08	40.33	43	43	14.760621	1541.692411	0.10315	0.02338	0.594243	0.662707
-14326205#3	1.08	12.88	62.18	43	43	24.665785	2511.147301	0.17049	0.037897	0.968182	1.079434
-14326205#4	6.22	12.66	375.93	57	57	88.53887	10588.751479	0.647695	0.148567	3.984713	4.551656
-14327505#0	3.68	0.98	793.33	93	93	444.089557	8603.515656	2.22451	0.203994	3.88455	3.698467
