link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.05	4.85	208.79	69	69	106.908555	3632.911561	0.570446	0.065483	1.525764	1.561672
-104179543#1	0.62	4.64	113.54	69	69	14.726262	474.360325	0.077899	0.008269	0.197418	0.203913
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.72	8.90	110.46	18	0	153.828005	9765.551126	0.921677	0.131558	3.755279	4.197856
-104688711#4	5.65	8.92	111.33	18	18	146.065282	9344.380449	0.876817	0.125769	3.591489	4.016809
-104688711#5	8.99	8.66	171.76	18	18	357.785832	20499.581863	2.101048	0.322912	8.215713	8.811981
-109406983	18.1	8.52	111.92	6	6	782.284149	45368.342057	4.634126	0.842153	18.821675	19.501919
-109406986	2.95	7.17	173.39	48	48	103.052466	5223.900892	0.590512	0.089935	2.149375	2.245552
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.69	11.98	1722.21	213	213	262.474584	20422.06866	1.669653	0.332618	8.098201	8.778579
-12319876#1	8.18	9.27	1849.82	213	213	260.353531	14244.483607	1.512731	0.229188	5.59579	6.123172
-12544650	14.23	12.35	2002.49	137	137	247.555997	27451.645696	1.757473	0.379763	10.350164	11.800319
-128245297	12.64	12.09	2410.73	185	185	603.898037	44179.644101	3.78929	0.783249	18.023776	18.990876
-128245298#0	0.32	12.95	127.74	185	185	4.759663	587.18916	0.035105	0.007959	0.219168	0.252408
-128245298#1	0.39	12.96	139.18	185	185	5.542899	711.844342	0.041509	0.009592	0.26478	0.305992
-128363658#0	2.94	12.85	85.96	26	26	51.462384	6130.888198	0.373576	0.084785	2.300113	2.635411
-128363658#1	4.64	12.80	128.37	26	26	66.313927	8471.778037	0.49479	0.113154	3.146245	3.641664
-128363658#2	1.67	12.87	53.03	26	26	18.947496	2649.403025	0.147023	0.033733	0.971187	1.138869
-128363658#3	20.04	12.87	653.15	32	32	314.594525	39209.998661	2.330115	0.532603	14.626263	16.854736
-128363658#4	5.59	10.68	192.98	32	32	511.324069	30298.750892	3.04925	0.59202	12.829068	13.024081
-128363658#5	8.8	5.06	311.63	32	32	568.895083	15439.540594	2.950654	0.321544	6.642233	6.637005
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.33	7.83	98.77	20	20	151.107629	7910.020197	0.870279	0.127904	3.198433	3.400218
-128825640#1	12.34	9.00	246.49	0	20	286.694548	18384.747342	1.721742	0.245848	7.053397	7.902936
-13278020#0	1.77	12.64	551.20	257	257	27.633566	3222.856312	0.199842	0.044666	1.211949	1.385371
-13278020#1	2.74	12.75	801.22	257	257	49.996963	5649.100137	0.357654	0.080587	2.140184	2.428309
-13278020#2	1.59	12.64	504.85	257	257	78.386368	6358.809425	0.507218	0.112814	2.584062	2.733365
-13278020#3	0.89	11.92	330.47	257	257	82.151628	5541.883096	0.50637	0.108126	2.338321	2.3822
-13278020#4	0.73	10.78	301.69	257	257	82.670154	5057.811666	0.49719	0.10086	2.159429	2.174122
-13278020#5	3.39	2.07	1463.24	257	257	361.307675	8119.58427	1.836488	0.185327	3.62442	3.490397
-13278020#6	4.26	4.70	1355.31	257	257	250.269961	5995.465704	1.280065	0.129126	2.612197	2.577293
-13278020#7	2.1	10.85	653.25	257	257	154.576077	9958.693255	0.940849	0.191336	4.17931	4.280793
-13278020#8	0.52	10.58	249.40	257	257	57.788521	3511.66251	0.346874	0.069606	1.497321	1.509504
-13278159#0	12.88	2.24	2056.18	137	137	1285.213996	25866.30092	6.459039	0.597	11.561809	11.119353
