link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.03	4.88	147.37	49	49	103.081564	3404.539035	0.547474	0.060344	1.423398	1.463506
-104179543#1	0.61	4.72	79.33	49	49	15.00382	464.179706	0.078888	0.007969	0.192401	0.199538
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.73	8.89	110.54	18	0	148.209036	9417.474422	0.888057	0.126034	3.615486	4.048231
-104688711#4	5.7	8.84	112.34	18	18	143.722681	8999.096269	0.857566	0.117805	3.43917	3.868391
-104688711#5	8.95	8.70	170.89	18	18	336.107222	19248.151319	1.973292	0.302126	7.708826	8.27404
-109406983	17.82	8.65	110.21	6	6	770.932776	45142.57062	4.569467	0.815998	18.550151	19.404899
-109406986	2.93	7.21	172.41	48	48	99.023981	5120.970365	0.569936	0.088649	2.110025	2.201303
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.69	11.99	1721.47	213	213	263.555453	20492.321442	1.676757	0.334992	8.133439	8.808776
-12319876#1	8.03	9.45	1816.65	213	213	263.823456	14464.533423	1.535362	0.235769	5.708548	6.217757
-12544650	14.21	12.37	2000.05	137	137	249.605846	27667.368494	1.771804	0.385109	10.445482	11.893046
-128245297	12.61	12.12	2144.77	165	165	597.028336	44425.227524	3.760124	0.778648	18.047426	19.096448
-128245298#0	0.32	12.95	113.94	165	165	4.616489	574.649815	0.034177	0.007886	0.214779	0.247018
-128245298#1	0.39	12.97	124.30	165	165	5.320068	687.813521	0.039843	0.009244	0.25549	0.295662
-128363658#0	2.97	12.71	86.96	26	26	58.354609	6516.90809	0.413983	0.094154	2.476496	2.801341
-128363658#1	4.64	12.78	129.52	26	26	83.48397	9249.024908	0.592143	0.134383	3.520243	3.975761
