link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.03	4.90	146.84	49	49	101.688514	3456.221915	0.5425	0.061723	1.447773	1.485719
-104179543#1	0.61	4.72	79.25	49	49	17.692539	556.504324	0.093227	0.009481	0.230282	0.239225
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.74	8.87	111.64	18	0	154.1466	9654.227682	0.919502	0.124754	3.679293	4.150011
-104688711#4	5.69	8.86	112.09	18	18	133.987753	8495.642052	0.801631	0.109607	3.235404	3.651975
-104688711#5	8.95	8.70	170.96	18	18	357.897386	20617.729604	2.104154	0.323807	8.256445	8.862768
-109406983	17.92	8.61	110.81	6	6	804.631845	46403.206113	4.757849	0.853561	19.18103	19.94678
-109406986	2.92	7.25	171.62	48	48	99.789407	5078.587169	0.572116	0.086504	2.083393	2.183088
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.7	11.97	1724.18	213	213	273.269538	20901.649053	1.730931	0.344459	8.321342	8.984728
-12319876#1	8.2	9.24	1855.90	213	213	263.10669	14136.738202	1.523196	0.227727	5.560235	6.076859
-12544650	14.23	12.35	2002.53	137	137	242.172977	27285.061385	1.72769	0.374024	10.258262	11.728714
-128245297	12.56	12.16	1502.62	116	116	584.9303	43821.724574	3.6919	0.765947	17.783073	18.837029
-128245298#0	0.32	13.06	79.41	116	116	5.871486	666.467458	0.041943	0.009706	0.253322	0.286486
-128245298#1	0.38	13.06	86.80	116	116	6.936306	813.277363	0.05008	0.011652	0.307514	0.349593
-128363658#0	2.96	12.75	86.64	26	26	44.476139	5728.414674	0.33275	0.074287	2.114628	2.46241
-128363658#1	4.62	12.84	128.07	26	26	67.530002	8926.894646	0.509151	0.1166	3.294265	3.837302
-128363658#2	1.67	12.87	53.04	26	26	23.169587	3116.335658	0.176898	0.041455	1.152816	1.339582
-128363658#3	20.03	12.88	652.79	32	32	297.716713	37536.426673	2.214204	0.511061	13.998223	16.135334
-128363658#4	5.52	10.80	190.83	32	32	479.007159	28928.284693	2.868729	0.559552	12.205233	12.434981
-128363658#5	8.61	5.17	304.78	32	32	565.522155	15381.290611	2.935802	0.320261	6.618754	6.611965
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
