link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	2.0	4.97	469.46	159	159	106.46874	3655.350698	0.568895	0.065355	1.531509	1.571317
-104179543#1	0.61	4.75	255.84	159	159	17.488606	556.894651	0.092325	0.009542	0.230737	0.239393
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.48	9.30	104.81	18	0	130.081493	8847.666329	0.793003	0.118427	3.38988	3.803284
-104688711#4	5.4	9.33	106.45	18	18	130.359159	9091.188393	0.799518	0.119412	3.464224	3.907966
-104688711#5	8.49	9.17	162.19	18	18	333.650654	20383.080314	1.990308	0.326027	8.187105	8.761876
-109406983	17.2	8.96	106.40	6	6	734.330373	44473.897575	4.393305	0.812986	18.362838	19.117427
-109406986	3.02	7.02	336.07	91	91	83.316855	4082.021889	0.473117	0.06546	1.648927	1.754712
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.79	11.84	3371.40	412	412	277.809173	21102.152662	1.756114	0.349242	8.415725	9.070915
-12319876#1	8.67	8.75	3795.77	412	412	323.914265	15607.85627	1.835774	0.263514	6.231371	6.709247
-12544650	15.64	11.24	5798.75	361	361	368.998743	30392.132629	2.382283	0.456666	11.755539	13.064332
-128245297	12.54	12.18	1073.33	83	83	604.233028	44984.851746	3.808804	0.795057	18.315165	19.336996
-128245298#0	0.32	12.97	57.20	83	83	3.29138	488.819385	0.026082	0.006112	0.177668	0.210123
-128245298#1	0.39	13.00	62.39	83	83	3.715629	563.582267	0.029724	0.006937	0.204084	0.242261
-128363658#0	2.95	12.80	235.69	71	71	54.328546	5964.795884	0.385583	0.087631	2.277017	2.564011
-128363658#1	4.62	12.85	350.39	71	71	88.081773	9555.138962	0.620374	0.141228	3.654651	4.107344
