link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.97	5.04	463.42	159	159	107.86885	3725.209695	0.576836	0.066287	1.558721	1.601347
-104179543#1	0.61	4.78	254.31	159	159	19.556597	634.464329	0.103524	0.01089	0.263018	0.272737
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.46	9.34	104.91	18	0	125.280308	8879.215326	0.771706	0.11679	3.383008	3.816845
-104688711#4	5.37	9.38	105.81	18	18	129.131228	8921.772568	0.790723	0.120811	3.42499	3.835136
-104688711#5	8.53	9.13	162.93	18	18	330.45408	20054.438033	1.968449	0.32268	8.068119	8.620605
-109406983	16.68	9.25	103.13	6	6	729.562812	45087.469103	4.381606	0.80343	18.444212	19.381198
-109406986	2.99	7.09	149.87	41	41	96.624098	4812.05217	0.551591	0.082702	1.979671	2.068515
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.79	11.83	3374.02	412	412	277.339774	21033.703627	1.752276	0.348315	8.388706	9.041491
-12319876#1	8.69	8.72	3806.47	412	412	324.723053	15894.090903	1.845909	0.267303	6.338473	6.832286
-12544650	15.67	11.22	5809.58	361	361	368.290413	30468.184071	2.37998	0.455917	11.770369	13.097025
-128245297	12.56	12.17	1074.69	83	83	596.953901	44220.299999	3.756077	0.782457	18.011104	19.008349
-128245298#0	0.32	13.01	57.01	83	83	4.387423	578.724435	0.033019	0.007656	0.214011	0.24877
-128245298#1	0.38	13.05	62.12	83	83	5.065292	680.596726	0.038291	0.008883	0.250681	0.29256
-128363658#0	2.97	12.69	237.71	71	71	56.72205	6305.041677	0.403699	0.091123	2.396128	2.710269
-128363658#1	4.59	12.92	348.67	71	71	91.836226	10169.339981	0.651413	0.148867	3.876597	4.371364
-128363658#2	1.68	12.80	145.60	71	71	28.995709	3320.114329	0.20835	0.046365	1.251378	1.427178
-128363658#3	20.17	12.79	1808.08	88	88	314.469137	38501.675103	2.310373	0.528681	14.403163	16.550252
-128363658#4	5.44	10.97	516.57	88	88	466.16419	28684.997257	2.804379	0.553797	12.086254	12.330397
-128363658#5	7.85	5.67	764.08	88	88	507.93359	15290.641941	2.670703	0.31261	6.550208	6.572959
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.29	7.90	68.54	14	14	132.354707	6962.579197	0.763408	0.114356	2.82789	2.992946
-128825640#1	12.61	8.80	176.31	0	14	310.353822	19452.121254	1.853097	0.258894	7.461222	8.361768
-13278020#0	1.77	12.65	1220.13	569	569	30.948492	3495.547011	0.221154	0.049343	1.321083	1.502588
-13278020#1	2.76	12.70	1780.48	569	569	53.220536	5732.805439	0.374789	0.084205	2.190249	2.464288
-13278020#2	1.59	12.62	1119.41	569	569	84.6866	6608.900782	0.542336	0.120462	2.710906	2.840865
-13278020#3	0.9	11.81	738.41	569	569	87.743406	5790.313347	0.537914	0.114341	2.454583	2.488988
-13278020#4	0.75	10.57	680.68	569	569	86.046563	5187.47944	0.515648	0.103687	2.217682	2.229861
-13278020#5	3.11	2.25	2750.79	527	527	341.554044	7987.575973	1.743351	0.179907	3.552541	3.433641
-13278020#6	7.38	2.72	4812.46	527	527	594.819608	12244.434642	2.995422	0.278607	5.446989	5.263607
-13278020#7	4.14	5.52	2634.31	527	527	318.769531	11669.491817	1.728077	0.240823	5.012284	5.01628
-13278020#8	0.61	9.03	599.33	527	527	62.426956	3501.835866	0.367775	0.070169	1.496974	1.505283
-13278159#0	14.39	2.00	6050.15	361	361	1518.419189	30948.290966	7.640511	0.71356	13.842844	13.303972
-13278159#1	3.71	4.53	1716.85	361	361	218.397734	5766.522721	1.128828	0.116806	2.461607	2.478869
-13714843#0	1.87	12.85	576.44	265	0	51.51977	4961.265528	0.350435	0.079044	1.94326	2.132631
-13714843#1	15.05	12.56	4088.70	265	265	260.107936	29152.277472	1.853594	0.409015	11.00857	12.531341
-13714843#2	14.7	12.46	3995.25	265	265	408.390926	37315.460207	2.726329	0.587454	14.612891	16.040306
-13714843#3	21.23	3.56	6903.79	306	306	1857.821792	40614.566391	9.407653	0.889235	17.743064	17.459254
-13715172	23.58	11.85	2782.01	116	116	846.179746	63938.8308	5.342495	1.060925	25.476116	27.484578
-13715172.291	25.4	0.68	3756.23	116	116	3154.768689	54202.871197	15.637974	1.327112	24.693361	23.300902
-13797599#0	4.31	11.83	457.43	97	97	249.384808	17596.438995	1.551229	0.320102	7.252874	7.563924
-13797599#1	30.5	6.23	3314.02	106	106	2277.893639	73218.950608	12.086289	1.458696	30.975776	31.47443
-13797599#10	0.38	12.85	41.01	55	55	5.487265	715.451305	0.041024	0.009392	0.264246	0.307543
-13797599#2	15.94	2.02	1463.12	80	80	1669.802381	30518.724892	8.318517	0.721409	13.705241	13.119438
-13797599#3	4.51	11.83	393.11	80	80	317.058688	21693.80016	1.958641	0.409203	9.051492	9.325181
-13797599#4	20.34	1.59	1282.99	55	55	2075.287338	38483.702604	10.35282	0.91293	17.344024	16.5434
-13797599#5	5.84	12.71	341.73	55	55	97.418911	11479.460879	0.706883	0.158469	4.312806	4.934539
-13797599#6	10.08	12.71	575.01	55	55	164.911348	19356.235678	1.193428	0.267103	7.270329	8.320434
-13797599#7	4.14	12.79	247.87	55	55	70.306115	8578.782541	0.515366	0.115356	3.198036	3.687662
-13797599#8	2.91	12.80	180.26	55	55	47.06986	5406.572496	0.338831	0.075755	2.039662	2.324058
-13797599#9	4.46	12.82	265.84	55	55	63.56895	8107.362945	0.470997	0.107588	3.005716	3.485018
-13797704#0	5.22	8.96	557.87	97	97	127.372428	7702.050153	0.756884	0.116157	3.027947	3.310819
-13797704#1	1.36	11.46	171.74	97	97	10.362252	971.765037	0.069752	0.014589	0.375842	0.417721
-13798697	11.55	12.19	883.80	74	74	446.944741	35426.849619	2.866087	0.601818	14.243942	15.228449
-14326205#0	2.52	11.94	134.41	46	46	29.292959	3331.181001	0.210286	0.046096	1.252317	1.431936
-14326205#1	4.26	12.83	213.17	46	46	61.578927	7852.967524	0.459769	0.104038	2.909151	3.375665
-14326205#2	0.58	12.86	43.90	46	46	10.46406	1100.879508	0.072879	0.016588	0.422737	0.473221
-14326205#3	1.08	12.82	66.83	46	46	26.238603	2717.039647	0.182292	0.040882	1.045124	1.167939
-14326205#4	6.83	11.52	1065.30	147	147	99.838523	10645.630642	0.698904	0.146996	4.008636	4.576117
-14327505#0	2.47	1.46	1344.17	235	235	298.546759	6400.299462	1.510119	0.147777	2.867391	2.75133
-14327505#1	21.57	3.74	5367.21	235	235	1958.630118	51756.861075	10.138336	1.124466	22.63448	22.248722
