link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.97	5.04	462.70	159	159	100.042158	3475.677787	0.535532	0.062117	1.455899	1.494081
-104179543#1	0.6	4.83	251.70	159	159	17.808149	575.02573	0.094196	0.009826	0.23807	0.247187
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.45	9.35	105.17	18	0	130.752584	9086.065474	0.800369	0.115187	3.435955	3.905771
-104688711#4	5.4	9.34	106.29	18	18	124.454431	8458.566959	0.758463	0.11273	3.237313	3.636026
-104688711#5	8.58	9.07	163.89	18	18	331.693256	20378.357411	1.980769	0.322778	8.162188	8.759849
-109406983	16.91	9.11	104.61	6	6	715.339349	43175.396521	4.27323	0.779938	17.759312	18.559274
-109406986	3.01	7.03	151.07	41	41	111.91211	5552.200937	0.638627	0.09687	2.294272	2.386675
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.79	11.83	3372.37	412	412	279.458118	21113.660762	1.764558	0.351022	8.429665	9.07586
-12319876#1	8.7	8.72	3808.47	412	412	328.277087	16095.136571	1.866493	0.269988	6.411012	6.918709
-12544650	15.74	11.17	5835.83	361	361	386.455703	31067.647011	2.477111	0.469708	12.038202	13.354711
-128245297	12.49	12.23	2331.07	181	181	609.78064	45299.242416	3.841354	0.79988	18.434467	19.472141
-128245298#0	0.32	13.10	123.52	181	181	5.054766	643.03762	0.03761	0.008698	0.239233	0.276415
-128245298#1	0.38	13.18	133.98	181	181	6.071287	775.139207	0.045306	0.010468	0.288197	0.3332
-128363658#0	2.95	12.79	235.94	71	71	60.099214	6385.080769	0.420407	0.094821	2.446521	2.744673
-128363658#1	4.63	12.82	351.92	71	71	84.713515	9439.975323	0.603251	0.135437	3.58291	4.057845
-128363658#2	1.68	12.80	145.58	71	71	22.534356	2991.35568	0.170648	0.03858	1.101287	1.285861
-128363658#3	20.2	12.77	1809.93	88	88	321.067694	38659.287896	2.34492	0.534228	14.494152	16.618002
-128363658#4	5.48	10.88	520.79	88	88	482.426072	29245.999433	2.892177	0.568965	12.357382	12.571546
-128363658#5	7.89	5.64	767.98	88	88	514.055753	15252.067646	2.696952	0.310446	6.519819	6.556386
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.21	8.05	67.24	14	14	131.661087	7318.02568	0.76748	0.11351	2.923338	3.145743
-128825640#1	12.58	8.82	175.97	0	14	297.258272	18503.31566	1.772347	0.248555	7.11484	7.953909
-13278020#0	1.77	12.67	1218.39	569	569	30.732834	3465.262053	0.219821	0.0493	1.312077	1.48957
-13278020#1	2.74	12.75	1772.82	569	569	55.158297	5874.620268	0.387102	0.087856	2.254941	2.525247
-13278020#2	1.59	12.62	1119.31	569	569	86.601806	6700.931654	0.553348	0.122639	2.753444	2.880425
-13278020#3	0.9	11.78	740.72	569	569	90.137592	5941.367414	0.552394	0.117144	2.517622	2.553919
-13278020#4	0.75	10.48	686.49	569	569	87.360754	5234.52625	0.522736	0.104658	2.23856	2.250084
-13278020#5	3.05	2.30	2696.77	527	527	320.175574	7600.202592	1.636899	0.170584	3.377439	3.267117
-13278020#6	6.94	2.89	4522.62	527	527	531.361691	11092.79759	2.679339	0.250643	4.925304	4.768541
-13278020#7	4.43	5.15	2821.20	527	527	343.741102	12081.987698	1.851453	0.251059	5.201902	5.193605
-13278020#8	0.63	8.74	618.95	527	527	63.749014	3492.419886	0.373552	0.0701	1.493511	1.501236
-13278159#0	14.41	2.00	6058.10	361	361	1504.849076	30691.627988	7.572497	0.70682	13.722853	13.193639
-13278159#1	3.78	4.45	1748.15	361	361	238.414447	6190.293739	1.229894	0.127002	2.653831	2.661037
-13714843#0	1.86	12.89	571.38	265	0	50.476352	4961.181633	0.344994	0.077937	1.933937	2.132596
-13714843#1	15.0	12.60	4075.56	265	265	268.619785	29888.443828	1.909715	0.423311	11.315239	12.847783
-13714843#2	14.66	12.50	3985.05	265	265	406.495579	37126.407173	2.714421	0.587698	14.559434	15.959036
-13714843#3	20.93	3.61	6808.18	306	306	1809.014784	39842.088614	9.167652	0.869608	17.388065	17.127177
-13715172	24.03	11.62	2835.41	116	116	896.959268	65124.639128	5.600512	1.087351	26.008867	27.994324
-13715172.291	24.67	0.70	3648.42	116	116	3081.545493	53002.709073	15.276265	1.296864	24.142476	22.784971
-13797599#0	4.31	11.86	456.54	97	97	252.654899	17617.358781	1.567512	0.32452	7.292198	7.572913
-13797599#1	30.38	6.25	3301.12	106	106	2254.482528	73045.046139	11.97482	1.448916	30.854097	31.399669
-13797599#10	0.37	12.96	40.66	55	55	8.097025	921.986374	0.05808	0.013177	0.349154	0.396323
-13797599#2	15.28	2.11	1402.18	80	80	1631.871746	29684.686487	8.126202	0.704412	13.349868	12.760902
-13797599#3	4.57	11.68	397.86	80	80	321.135017	21939.664291	1.982307	0.409621	9.127567	9.430874
-13797599#4	22.29	1.45	1405.97	55	55	2369.843808	43380.212786	11.808948	1.034642	19.582905	18.648333
-13797599#5	5.86	12.66	342.97	55	55	87.917446	10906.412332	0.650016	0.146221	4.06202	4.688213
-13797599#6	10.01	12.80	570.89	55	55	156.845164	18786.117467	1.143457	0.259768	7.049554	8.075362
-13797599#7	4.11	12.86	246.54	55	55	65.509284	8030.187105	0.481897	0.109269	2.999767	3.451841
-13797599#8	2.89	12.86	179.42	55	55	41.470511	5368.732035	0.311135	0.071238	1.989893	2.307794
-13797599#9	4.44	12.90	264.18	55	55	71.766245	8678.069282	0.525472	0.119801	3.252533	3.730337
-13797704#0	5.1	9.17	545.32	97	97	109.354868	7467.86967	0.668551	0.105303	2.88402	3.210153
-13797704#1	1.35	11.52	170.85	97	97	13.014152	1336.099899	0.090127	0.019279	0.510154	0.574333
-13798697	11.49	12.26	878.63	74	74	449.769203	36409.18472	2.900567	0.611748	14.580408	15.650715
-14326205#0	2.51	12.02	133.49	46	46	30.934192	3444.145994	0.220054	0.048523	1.300654	1.480494
-14326205#1	4.26	12.84	212.98	46	46	64.219225	7968.38394	0.474847	0.10738	2.966973	3.425276
-14326205#2	0.59	12.84	43.94	46	46	10.882251	1182.696197	0.076771	0.017162	0.450397	0.508391
-14326205#3	1.08	12.83	66.80	46	46	21.936429	2368.074536	0.154103	0.033989	0.899538	1.017935
-14326205#4	6.8	11.59	1059.22	147	147	96.532739	10408.408642	0.677356	0.142619	3.909327	4.474146
-14327505#0	2.54	1.42	1379.77	235	235	304.819338	6493.881257	1.540883	0.150243	2.911404	2.79156
-14327505#1	21.91	3.68	5452.16	235	235	2005.041677	52647.172493	10.370221	1.142127	23.006692	22.631455
-14327505#2	21.63	3.68	3002.24	131	131	2058.819542	49289.018814	10.533222	1.084287	21.606	21.18802
-14327505#3	1.31	10.78	228.70	131	131	149.810926	9140.42542	0.900487	0.182865	3.906272	3.92905
-14328611	0.21	5.62	85.76	81	81	21.901774	908.667784	0.121188	0.018335	0.393401	0.3906
-14333888#0	2.9	7.58	134.02	38	38	128.810205	6866.227851	0.747102	0.122987	2.852403	2.951511
-14333888#1	1.97	8.95	95.03	38	38	56.781256	3570.759995	0.340104	0.051655	1.396555	1.534935
-14333888#2	1.91	8.69	93.24	38	38	112.076658	6209.788003	0.654787	0.106539	2.54931	2.669338
-14333888#3	4.2	8.30	159.06	0	38	124.534646	6860.517075	0.726923	0.119298	2.827683	2.949058
-14333980	12.62	8.58	144.95	11	11	590.254291	32478.724865	3.444055	0.560446	13.331335	13.961298
-156211618#0	16.14	7.54	5029.49	300	300	888.637892	30606.107795	4.755482	0.562623	12.557319	13.15659
-156211618#1	1.17	12.75	462.08	300	300	18.707607	2246.52256	0.136259	0.030788	0.840472	0.965686
-156211618#2	0.68	12.78	314.84	300	300	10.318466	1280.33222	0.076119	0.01736	0.477187	0.550361
-157156090#0	2.89	4.17	68.77	0	24	93.432342	2851.391976	0.490628	0.050529	1.192152	1.225731
-167487356#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#2	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-167487356#3	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
