link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.98	5.02	464.85	159	159	100.78913	3471.131857	0.538755	0.061796	1.452507	1.492128
-104179543#1	0.6	4.80	252.92	159	159	17.576361	558.174823	0.092721	0.0094	0.230235	0.239943
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.46	9.34	104.88	18	0	132.26315	8763.901598	0.802293	0.124653	3.409082	3.767268
-104688711#4	5.42	9.30	106.76	18	18	137.636984	9478.513851	0.841535	0.125456	3.6198	4.074463
-104688711#5	8.54	9.12	163.03	18	18	320.621009	19506.485425	1.910018	0.30858	7.812927	8.385069
-109406983	17.26	8.93	106.76	6	6	748.756117	44489.505453	4.458034	0.81544	18.383036	19.124145
-109406986	2.99	7.07	150.19	41	41	107.518475	5249.590891	0.610968	0.088662	2.150499	2.256601
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.8	11.81	3380.11	412	412	281.19467	21199.683473	1.774101	0.351591	8.460117	9.112839
-12319876#1	8.91	8.51	3900.89	412	412	344.698013	16176.873437	1.943833	0.276283	6.482406	6.953849
-12544650	15.73	11.17	5833.41	361	361	382.30588	30490.540785	2.444661	0.459814	11.806497	13.106641
-128245297	12.59	12.14	1077.33	83	83	603.81141	44482.342509	3.793554	0.785078	18.107775	19.120996
-128245298#0	0.32	12.92	57.43	83	83	4.553368	569.679256	0.033461	0.00765	0.21164	0.244881
-128245298#1	0.39	12.92	62.79	83	83	5.202987	661.733463	0.038569	0.008992	0.246233	0.284451
-128363658#0	2.95	12.78	236.03	71	71	55.961769	6453.014918	0.402816	0.091586	2.43857	2.773878
-128363658#1	4.62	12.84	349.00	71	71	90.244456	10043.071755	0.643171	0.146147	3.82343	4.317088
-128363658#2	1.68	12.77	145.92	71	71	25.419174	2991.047972	0.184356	0.041372	1.123985	1.285726
-128363658#3	20.14	12.81	1805.21	88	88	324.991544	38543.867496	2.361839	0.538401	14.492707	16.568383
-128363658#4	5.52	10.80	524.90	88	88	489.573143	29442.922734	2.929927	0.574835	12.461626	12.656194
-128363658#5	7.89	5.64	768.13	88	88	499.551948	14834.568257	2.621575	0.304335	6.35957	6.376912
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.28	7.93	68.25	14	14	118.534471	6340.985625	0.685869	0.102315	2.561443	2.725748
-128825640#1	12.62	8.79	176.50	0	14	309.679178	19362.798012	1.847729	0.256445	7.419488	8.323374
-13278020#0	1.77	12.66	1218.63	569	569	29.010167	3412.382116	0.210095	0.046761	1.27895	1.466841
-13278020#1	2.75	12.71	1779.16	569	569	53.82371	5814.627151	0.379335	0.085173	2.21998	2.49946
-13278020#2	1.59	12.61	1120.06	569	569	85.516214	6641.433175	0.546832	0.121243	2.726308	2.854849
-13278020#3	0.9	11.79	739.97	569	569	89.480788	5895.833637	0.548328	0.116347	2.498879	2.534346
-13278020#4	0.75	10.51	684.87	569	569	87.139619	5222.562091	0.521496	0.104678	2.235045	2.244941
-13278020#5	3.13	2.24	2768.92	527	527	335.658616	7831.199606	1.712768	0.176239	3.482328	3.36642
-13278020#6	6.98	2.87	4550.31	527	527	538.59775	11203.369564	2.714915	0.25339	4.974736	4.816074
-13278020#7	4.18	5.46	2660.31	527	527	322.9151	11935.654702	1.753454	0.246746	5.129596	5.13069
-13278020#8	0.61	8.99	602.32	527	527	63.602022	3542.860603	0.37411	0.071066	1.514742	1.522918
-13278159#0	14.45	1.99	6075.01	361	361	1511.50615	30808.201009	7.605636	0.709821	13.775532	13.243751
-13278159#1	3.8	4.43	1757.56	361	361	239.509335	6312.242276	1.237815	0.128884	2.701078	2.713457
-13714843#0	1.87	12.86	574.44	265	0	54.718317	5313.222026	0.372961	0.084183	2.077079	2.283922
-13714843#1	15.18	12.45	4123.36	265	265	284.553189	30369.365944	1.994329	0.434431	11.544485	13.054512
-13714843#2	14.79	12.39	4020.34	265	265	402.698895	36508.389474	2.680447	0.575492	14.307955	15.693382
-13714843#3	21.14	3.58	6873.95	306	306	1834.142335	40640.558647	9.30129	0.887411	17.738023	17.47041
-13715172	24.03	11.63	2834.95	116	116	876.753435	64733.39838	5.500267	1.077407	25.834187	27.826138
-13715172.291	25.48	0.68	3768.74	116	116	3186.697126	54563.031555	15.791855	1.337701	24.867264	23.455736
-13797599#0	4.3	11.86	456.27	97	97	250.058816	17792.622728	1.558109	0.321896	7.319854	7.648256
-13797599#1	30.46	6.24	3309.97	106	106	2252.504761	72493.260972	11.954588	1.443383	30.667372	31.162479
-13797599#10	0.38	12.83	41.07	55	55	5.530408	696.723386	0.041068	0.009464	0.259778	0.299492
-13797599#2	16.81	1.92	1542.83	80	80	1855.980885	33586.941418	9.238675	0.797741	15.107156	14.438418
-13797599#3	4.52	11.80	394.09	80	80	313.947474	21528.441504	1.939513	0.402628	8.957793	9.254106
-13797599#4	20.11	1.61	1268.55	55	55	2072.460502	38497.646311	10.339156	0.910528	17.32221	16.549396
-13797599#5	5.83	12.73	341.09	55	55	87.916418	11118.436765	0.653629	0.147906	4.129363	4.779354
-13797599#6	10.0	12.82	570.29	55	55	168.080149	20146.650287	1.225893	0.276903	7.552307	8.6602
-13797599#7	4.12	12.82	247.19	55	55	75.433053	8454.275087	0.538746	0.122595	3.215961	3.634132
-13797599#8	2.91	12.78	180.48	55	55	41.310081	5233.90259	0.307309	0.069326	1.941418	2.249838
-13797599#9	4.45	12.87	264.89	55	55	74.188909	8852.819551	0.539294	0.122551	3.323413	3.805455
-13797704#0	5.06	9.25	540.39	97	97	107.088371	7356.024159	0.655844	0.104501	2.845838	3.162074
-13797704#1	1.36	11.39	172.85	97	97	12.023606	1147.014143	0.080932	0.016579	0.43902	0.493054
-13798697	11.52	12.23	881.01	74	74	458.102058	36311.990867	2.936988	0.618558	14.60932	15.60893
-14326205#0	2.48	12.13	132.32	46	46	27.834802	3247.433183	0.201362	0.045218	1.220698	1.395935
-14326205#1	4.24	12.90	212.01	46	46	70.149535	8264.830247	0.508003	0.115725	3.109508	3.552702
-14326205#2	0.58	12.87	43.87	46	46	12.562792	1284.724973	0.087014	0.019415	0.495349	0.552248
-14326205#3	1.09	12.76	67.15	46	46	28.903043	2703.292869	0.194282	0.042485	1.056616	1.162029
-14326205#4	6.89	11.43	1074.20	147	147	102.20325	10526.853589	0.705931	0.147578	3.981892	4.525059
-14327505#0	2.5	1.44	1362.36	235	235	303.149055	6448.041188	1.532161	0.149088	2.890501	2.771855
-14327505#1	22.33	3.61	5557.83	235	235	2059.441291	52756.615615	10.620689	1.153003	23.116099	22.67853
-14327505#2	22.41	3.55	3111.10	131	131	2082.156152	49606.515697	10.647225	1.092848	21.762253	21.324509
-14327505#3	1.31	10.71	230.29	131	131	140.519307	8612.737381	0.845187	0.170159	3.666315	3.702224
-14328611	0.22	5.41	89.05	81	81	22.279087	909.57628	0.122876	0.018152	0.392606	0.390991
-14333888#0	2.9	7.58	134.10	38	38	138.914527	7438.528126	0.80733	0.137469	3.117539	3.197513
-14333888#1	1.96	9.00	94.44	38	38	60.529703	3874.655606	0.363818	0.054258	1.502604	1.66557
-14333888#2	1.88	8.82	91.87	38	38	99.908089	5682.251155	0.587541	0.099232	2.342834	2.442566
