link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.98	5.02	465.26	159	159	100.046623	3459.756427	0.535108	0.06151	1.447279	1.487238
-104179543#1	0.6	4.80	253.17	159	159	18.013218	580.81801	0.095244	0.009834	0.239874	0.249677
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.48	9.30	106.52	18	0	119.741692	8242.494347	0.732423	0.111135	3.161407	3.543141
-104688711#4	5.4	9.33	106.38	18	18	122.972825	8349.041326	0.74937	0.112012	3.200377	3.588944
-104688711#5	8.57	9.09	163.66	18	18	336.053635	20495.570572	2.00299	0.323354	8.202043	8.810239
-109406983	16.47	9.36	101.89	6	6	724.214254	43682.652927	4.324158	0.774294	17.856124	18.777347
-109406986	2.96	7.15	148.48	41	41	91.639857	4621.418832	0.524051	0.076986	1.884581	1.986572
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.79	11.83	3374.31	412	412	281.455904	21296.438831	1.777228	0.352821	8.496411	9.15443
-12319876#1	8.8	8.62	3851.64	412	412	329.200731	15843.7074	1.864645	0.267882	6.327883	6.810631
-12544650	15.69	11.21	5815.41	361	361	378.717222	30843.997166	2.436246	0.463162	11.927819	13.258574
-128245297	12.49	12.23	2331.64	181	181	598.503276	44213.697771	3.765646	0.783735	18.020274	19.005511
-128245298#0	0.32	13.07	123.85	181	181	4.809196	611.292843	0.035714	0.008315	0.227522	0.262769
-128245298#1	0.38	13.08	134.83	181	181	5.404291	708.377911	0.04061	0.009453	0.26231	0.304502
-128363658#0	2.96	12.76	236.46	71	71	59.064816	6350.264485	0.415899	0.094048	2.430332	2.729707
-128363658#1	4.62	12.84	349.55	71	71	87.488492	9530.683544	0.617836	0.139279	3.635826	4.096834
-128363658#2	1.68	12.79	145.71	71	71	26.130207	3024.83754	0.188495	0.042672	1.141526	1.30025
