link	nlanes	from	to	maxspeed	length
:1092997347_0	3	None	None	13.89	0.44
:1103427051_0	1	None	None	12.50	0.29
:1105984386_0	1	None	None	11.11	9.71
:1105984390_0	1	None	None	16.66	12.56
:1105984390_1	3	None	None	22.22	13.13
:1105984395_0	2	None	None	11.11	0.92
:1105984398_0	1	None	None	12.50	12.09
:1105984398_1	2	None	None	13.89	12.49
:1106006327_0	1	None	None	7.32	8.86
:1106006327_1	1	None	None	11.11	10.16
:1106006327_2	1	None	None	11.81	10.16
:1106006327_3	1	None	None	7.23	8.82
:1107381198_0	1	None	None	6.23	9.05
:1107381198_1	1	None	None	6.47	9.17
:1110338277_0	2	None	None	13.89	0.28
:1110338293_0	2	None	None	12.50	0.30
:1110338295_0	1	None	None	11.81	0.10
:1110673403_0	3	None	None	13.89	0.30
:1110673412_0	4	None	None	22.22	0.29
:1110673414_0	1	None	None	7.40	10.60
:1110673414_1	1	None	None	6.49	9.03
:1110673417_0	1	None	None	13.89	0.28
:1110673446_0	3	None	None	18.06	0.30
:1110673451_0	1	None	None	12.50	0.27
:1110673464_0	1	None	None	16.66	14.12
:1110673464_1	2	None	None	22.22	14.41
:1110673479_0	1	None	None	12.50	0.30
:1110673511_0	1	None	None	13.89	0.30
:1110673517_0	2	None	None	12.50	0.30
:1110673534_0	1	None	None	12.50	15.48
:1110673534_1	2	None	None	13.89	15.92
:1110673549_0	1	None	None	16.66	15.98
:1110673549_1	3	None	None	22.22	16.52
:1110673556_0	2	None	None	13.89	21.55
:1110673556_2	1	None	None	9.04	20.61
:1110673556_3	1	None	None	6.20	9.06
:1110673556_4	1	None	None	7.75	14.83
:1110673556_5	1	None	None	7.34	10.64
:1110673556_6	2	None	None	13.89	21.02
:1110673561_0	1	None	None	18.06	16.73
:1110673561_1	3	None	None	18.06	17.16
:1110673562_0	1	None	None	11.11	0.27
:1110673564_0	1	None	None	13.89	0.10
:1110673588_0	1	None	None	13.89	0.25
:1110673601_0	1	None	None	13.89	0.28
:1110673617_0	4	None	None	22.22	0.30
:1110673621_0	1	None	None	13.89	0.25
:1110673630_0	1	None	None	12.50	14.02
:1110673630_1	1	None	None	12.50	11.50
:1110673650_0	3	None	None	13.89	0.30
:1110673655_0	1	None	None	13.89	0.30
:1110673663_0	1	None	None	13.89	16.38
:1110673663_1	2	None	None	13.89	16.36
:1110673666_0	1	None	None	11.11	12.23
:1110673666_1	1	None	None	11.11	9.44
:1110673670_0	2	None	None	11.11	8.20
:1110673706_0	1	None	None	13.89	0.29
:1110698243_0	1	None	None	13.89	7.68
:1110698243_1	1	None	None	13.89	8.09
:1110698243_2	1	None	None	13.89	8.12
:1110698250_0	2	None	None	13.89	0.47
:1110698255_0	1	None	None	13.89	14.68
:1110698255_1	1	None	None	13.89	15.38
:1110698256_0	3	None	None	5.82	9.13
:1110698259_0	2	None	None	13.89	7.97
:1110698259_2	1	None	None	13.89	8.09
:1110698261_0	1	None	None	12.50	0.33
:1110698265_0	2	None	None	13.89	7.52
:1110698265_2	1	None	None	13.89	7.62
:1110698267_0	1	None	None	5.95	8.65
:1110698267_1	1	None	None	8.47	10.61
:1110698273_0	2	None	None	13.89	13.58
:1110698273_2	2	None	None	9.81	12.64
:1110698299_0	2	None	None	13.89	0.58
:111415443_0	2	None	None	13.89	0.25
:111415445_0	2	None	None	13.89	0.27
:111415446_0	1	None	None	7.19	10.00
:111415446_1	1	None	None	12.50	11.05
:111415446_2	2	None	None	13.89	11.90
:111461666_0	1	None	None	13.89	11.08
:111461666_1	1	None	None	13.89	11.35
:111461672_0	2	None	None	12.50	0.68
:111464592_0	1	None	None	16.66	8.65
:111464592_1	3	None	None	22.22	10.02
:111479507_0	1	None	None	13.89	0.40
:111479507_1	1	None	None	13.89	1.20
:111479509_0	1	None	None	13.89	0.49
