carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	50991.853120721906	1877141.473428658	276.15466678006317	36.2811145600081	786.377251361018	806.9170960316787	5571.001476190479	763.906225704613
1	62646.370894389765	1916975.7546356684	329.95238483289745	37.730853860149196	809.6451257020411	824.0482449849779	5206.397519841269	860.5400704825333
2	62646.370894389765	1916975.7546356684	329.95238483289745	37.730853860149196	809.6451257020411	824.0482449849779	5206.397519841269	860.5400704825333
3	70004.9866644357	2019314.5204100339	366.00369926959763	41.10114209287448	864.8423538502198	868.0415257850167	4451.151009740261	867.748025296454
4	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
5	14039.861405136391	546076.7501981795	76.62848868738901	9.969689103793453	224.79448868051784	234.73942292395864	1962.2123928571427	252.7331830657593
6	50991.853120721906	1877141.473428658	276.15466678006317	36.2811145600081	786.377251361018	806.9170960316787	5571.001476190479	763.906225704613
7	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
8	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
9	61335.201661668616	1801540.8361321911	321.5880804018695	37.28964114653125	773.4537190902946	774.4256040358935	3840.453321428572	722.6379275396707
10	62646.370894389765	1916975.7546356684	329.95238483289745	37.730853860149196	809.6451257020411	824.0482449849779	5206.397519841269	860.5400704825333
11	70004.9866644357	2019314.5204100339	366.00369926959763	41.10114209287448	864.8423538502198	868.0415257850167	4451.151009740261	867.748025296454
12	48859.083083068326	1655136.351391002	261.2303373941991	32.588283716973734	699.9662613008638	711.4870448658693	4331.9206428571415	675.12883448628
13	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
14	47249.681133341175	1126738.8995054613	241.60726183278467	24.76587144808169	494.47565531357253	484.3547828988454	1598.7748809523814	468.7328170353537
15	49758.89348015108	1788291.597160442	268.51647169224736	34.991607556699115	751.855941711	768.7240243519213	5046.88230952381	711.5575701570867
16	62045.7435707602	1743432.700312004	323.23451042734405	35.40391859276865	744.9128215817385	749.4500045383478	4017.3228531746026	772.3366486323604
17	62045.7435707602	1743432.700312004	323.23451042734405	35.40391859276865	744.9128215817385	749.4500045383478	4017.3228531746026	772.3366486323604
18	14039.861405136391	546076.7501981795	76.62848868738901	9.969689103793453	224.79448868051784	234.73942292395864	1962.2123928571427	252.7331830657593
19	70004.9866644357	2019314.5204100339	366.00369926959763	41.10114209287448	864.8423538502198	868.0415257850167	4451.151009740261	867.748025296454
20	14119.72171038689	457544.80500796984	74.99590056632444	9.04900570060509	193.85551098254064	196.68346629225263	1188.101142857143	199.03932239389644
21	70004.9866644357	2019314.5204100339	366.00369926959763	41.10114209287448	864.8423538502198	868.0415257850167	4451.151009740261	867.748025296454
22	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
23	61349.74046178085	1755310.1729036262	320.52294080291637	36.42923058621443	754.9840505939577	754.5536275418674	3664.293821428572	716.0822861893387
24	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
25	18478.2236715046	625296.3215785964	98.77754791564976	12.338348577912539	264.5700423562838	268.7936817611244	1646.2503095238087	259.1807251426632
26	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
27	14119.72171038689	457544.80500796984	74.99590056632444	9.04900570060509	193.85551098254064	196.68346629225263	1188.101142857143	199.03932239389644
28	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
29	42615.51128262418	1489399.389849435	228.8027938546727	28.580149305522912	624.1360983588924	640.2424118158941	4343.7518095238065	636.0087650226405
30	42615.51128262418	1489399.389849435	228.8027938546727	28.580149305522912	624.1360983588924	640.2424118158941	4343.7518095238065	636.0087650226405
31	14119.72171038689	457544.80500796984	74.99590056632444	9.04900570060509	193.85551098254064	196.68346629225263	1188.101142857143	199.03932239389644
32	70004.9866644357	2019314.5204100339	366.00369926959763	41.10114209287448	864.8423538502198	868.0415257850167	4451.151009740261	867.748025296454
33	49758.89348015108	1788291.597160442	268.51647169224736	34.991607556699115	751.855941711	768.7240243519213	5046.88230952381	711.5575701570867
34	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
35	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
36	62045.7435707602	1743432.700312004	323.23451042734405	35.40391859276865	744.9128215817385	749.4500045383478	4017.3228531746026	772.3366486323604
37	32249.7363629923	963417.6787613623	169.37660151030934	19.451780524545946	411.357776593344	414.14306166595253	2251.9827261904757	412.9881591942339
38	53290.34388056811	1984644.104544595	289.1938497798109	38.46509748060715	829.8594437170647	853.1282301746162	6050.11447619048	799.5623158151467
39	49758.89348015108	1788291.597160442	268.51647169224736	34.991607556699115	751.855941711	768.7240243519213	5046.88230952381	711.5575701570867
40	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
41	62911.65933990294	1931974.8678574213	331.6874681718215	38.959845244119734	822.6405214770402	830.4942112233874	5175.95723809524	801.3007985049386
42	25973.34765372101	849398.2781495771	138.2109536910532	17.16378952764335	362.4589174994029	365.127598990447	1960.1901428571423	332.02211013975244
43	47249.681133341175	1126738.8995054613	241.60726183278467	24.76587144808169	494.47565531357253	484.3547828988454	1598.7748809523814	468.7328170353537
44	48859.083083068326	1655136.351391002	261.2303373941991	32.588283716973734	699.9662613008638	711.4870448658693	4331.9206428571415	675.12883448628
45	61335.201661668616	1801540.8361321911	321.5880804018695	37.28964114653125	773.4537190902946	774.4256040358935	3840.453321428572	722.6379275396707
46	50991.853120721906	1877141.473428658	276.15466678006317	36.2811145600081	786.377251361018	806.9170960316787	5571.001476190479	763.906225704613
