link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.98	5.01	465.47	159	159	105.755557	3629.431069	0.56494	0.064325	1.517021	1.560176
-104179543#1	0.61	4.77	254.54	159	159	19.390341	618.86092	0.10239	0.010563	0.256175	0.26603
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.46	9.34	105.55	18	0	115.428498	8062.228314	0.707584	0.102567	3.05083	3.465659
-104688711#4	5.39	9.35	106.22	18	18	126.919959	8855.945681	0.778501	0.116201	3.3742	3.806844
-104688711#5	8.57	9.08	163.72	18	18	330.414652	19962.832571	1.964334	0.312002	7.971554	8.581242
-109406983	17.62	8.75	108.99	6	6	748.186451	45219.193172	4.470997	0.811196	18.568848	19.437823
-109406986	2.96	7.16	148.45	41	41	99.002886	5078.85221	0.568	0.083536	2.063752	2.183206
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.75	11.90	3355.12	412	412	269.522428	20676.164783	1.708592	0.34039	8.230374	8.887801
-12319876#1	8.62	8.80	3771.76	412	412	320.720013	15787.910609	1.825438	0.265066	6.292007	6.786643
-12544650	15.63	11.25	5794.61	361	361	358.028621	30102.891779	2.325386	0.448134	11.61138	12.939999
-128245297	12.51	12.21	2334.32	181	181	606.075986	44770.413103	3.812265	0.794935	18.253543	19.244816
-128245298#0	0.32	13.09	123.57	181	181	4.712545	630.425914	0.035834	0.008468	0.233579	0.270994
-128245298#1	0.38	13.12	134.41	181	181	5.243942	713.062952	0.040139	0.009405	0.263086	0.306516
-128363658#0	2.96	12.74	236.79	71	71	58.097916	6277.887245	0.408707	0.093074	2.401541	2.698594
-128363658#1	4.6	12.91	348.18	71	71	85.673293	9633.869459	0.612869	0.139894	3.664217	4.141189
-128363658#2	1.68	12.78	145.83	71	71	22.671353	3046.2522	0.171928	0.039007	1.118985	1.309458
-128363658#3	20.16	12.80	1806.69	88	88	323.777675	38469.91637	2.359219	0.536264	14.459924	16.536596
-128363658#4	5.44	10.96	517.06	88	88	464.157885	28529.366969	2.791015	0.549821	12.015166	12.2635
-128363658#5	7.82	5.69	762.09	88	88	509.548323	15125.337276	2.674884	0.309999	6.481015	6.501905
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.24	8.01	67.64	14	14	136.115174	7526.806392	0.791632	0.112063	2.976228	3.235498
-128825640#1	12.71	8.73	177.75	0	14	313.029651	19298.711592	1.860826	0.252753	7.378427	8.295833
-13278020#0	1.76	12.70	1215.51	569	569	30.837629	3467.895218	0.219949	0.049559	1.313974	1.490701
-13278020#1	2.74	12.78	1769.72	569	569	50.836297	5672.601011	0.361477	0.081949	2.154847	2.43841
-13278020#2	1.59	12.66	1115.62	569	569	90.149391	6943.860181	0.575135	0.127613	2.856556	2.984848
-13278020#3	0.9	11.77	741.16	569	569	91.035372	5985.206719	0.557539	0.118206	2.537794	2.572763
-13278020#4	0.75	10.47	687.59	569	569	87.02753	5212.126414	0.520682	0.104236	2.229312	2.240455
-13278020#5	3.39	2.07	2993.61	527	527	363.22528	8280.434367	1.848896	0.187744	3.690226	3.559539
-13278020#6	6.59	3.04	4298.23	527	527	498.660127	10516.134152	2.517075	0.237325	4.66587	4.520642
-13278020#7	3.75	6.09	2387.18	527	527	285.487339	11358.742232	1.569425	0.231746	4.86011	4.882683
-13278020#8	0.55	10.11	535.36	527	527	58.212298	3476.608331	0.348081	0.069595	1.485958	1.494436
-13278159#0	14.4	2.00	6057.37	361	361	1507.87367	30722.533838	7.587189	0.70847	13.743124	13.206924
-13278159#1	3.78	4.45	1749.41	361	361	232.796441	6132.459017	1.203009	0.124793	2.620098	2.636174
-13714843#0	1.88	12.78	576.98	265	0	54.077223	5090.778373	0.365183	0.082094	2.002082	2.188302
-13714843#1	15.08	12.53	4096.08	265	265	267.873264	29788.096695	1.903194	0.419534	11.263926	12.804651
-13714843#2	14.74	12.43	4007.12	265	265	408.339882	37194.006747	2.7234	0.586476	14.576086	15.988098
-13714843#3	20.19	3.74	6566.62	306	306	1709.330775	38181.901597	8.67472	0.8293	16.635389	16.413487
-13715172	23.5	11.89	2771.88	116	116	828.015506	63936.408828	5.260161	1.059913	25.47382	27.483522
-13715172.291	25.48	0.68	3769.00	116	116	3163.613516	54257.172862	15.679373	1.328555	24.719244	23.32425
-13797599#0	4.3	11.88	455.65	97	97	259.092561	18266.495167	1.61137	0.332971	7.533117	7.851951
-13797599#1	30.53	6.22	3317.55	106	106	2300.206313	73379.01729	12.193215	1.466553	31.072349	31.543246
