link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.98	5.01	465.79	159	159	98.72543	3423.201483	0.528309	0.061113	1.433571	1.471523
-104179543#1	0.6	4.83	251.67	159	159	16.255437	535.430128	0.086248	0.009227	0.222161	0.230165
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.45	9.35	105.14	18	0	125.094163	8672.340742	0.765686	0.112173	3.294172	3.727923
-104688711#4	5.41	9.32	106.52	18	18	115.310089	8048.826927	0.70736	0.105579	3.065922	3.459894
-104688711#5	8.58	9.08	163.77	18	18	332.585874	19900.051397	1.975306	0.325045	8.04218	8.554236
-109406983	17.5	8.81	108.23	6	6	750.858798	45238.433448	4.476559	0.822324	18.642835	19.446078
-109406986	2.96	7.15	191.95	53	53	83.295619	4248.409469	0.477154	0.069119	1.721436	1.826232
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.82	11.78	3387.76	412	412	283.640223	21326.920538	1.788379	0.354798	8.520869	9.167532
-12319876#1	8.89	8.53	3890.47	412	412	346.652009	16272.040886	1.954407	0.278007	6.521434	6.994758
-12544650	15.73	11.18	5830.65	361	361	383.866086	31182.766685	2.467867	0.469044	12.063883	13.404197
-128245297	12.53	12.20	2079.59	161	161	605.521746	44889.758615	3.809282	0.792935	18.272101	19.296122
-128245298#0	0.32	13.05	110.26	161	161	5.48324	637.918692	0.039577	0.009147	0.241319	0.274214
-128245298#1	0.38	13.08	120.24	161	161	6.034422	730.632356	0.044113	0.010334	0.274915	0.314068
-128363658#0	2.96	12.74	236.92	71	71	54.501485	6158.672869	0.38974	0.087762	2.332149	2.647353
-128363658#1	4.63	12.82	351.06	71	71	85.720993	9757.291721	0.613719	0.139164	3.693465	4.194246
-128363658#2	1.68	12.81	145.46	71	71	28.783578	3576.525479	0.212949	0.048193	1.332517	1.537399
-128363658#3	20.15	12.80	1805.71	88	88	312.562928	38427.696998	2.301503	0.524595	14.354602	16.518456
-128363658#4	5.42	11.00	515.07	88	88	463.707291	28225.536381	2.782407	0.550265	11.932656	12.132891
-128363658#5	7.78	5.72	757.85	88	88	510.987452	15353.703346	2.686854	0.313288	6.56747	6.600069
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.24	8.01	67.60	14	14	109.268058	6031.0463	0.635864	0.093099	2.406403	2.592521
-128825640#1	12.62	8.79	176.58	0	14	282.076776	17476.332782	1.680047	0.235328	6.723402	7.512446
-13278020#0	1.75	12.75	1210.22	569	569	29.531213	3444.497364	0.213478	0.048139	1.296691	1.480644
-13278020#1	2.73	12.80	1766.13	569	569	52.191888	5815.858494	0.371628	0.084525	2.212825	2.499989
-13278020#2	1.58	12.67	1114.96	569	569	87.872319	6832.98958	0.562076	0.124719	2.804474	2.937191
-13278020#3	0.9	11.79	739.94	569	569	90.531433	5943.934474	0.554286	0.117516	2.521231	2.555022
-13278020#4	0.75	10.49	686.13	569	569	87.452991	5234.474319	0.523176	0.104788	2.239488	2.250062
-13278020#5	3.46	2.03	3057.86	527	527	375.370658	8484.982163	1.908991	0.192717	3.783027	3.647471
-13278020#6	6.59	3.05	4293.68	527	527	494.268875	10458.323688	2.495641	0.235187	4.632598	4.495791
-13278020#7	3.62	6.31	2303.73	527	527	274.886419	11260.11601	1.518977	0.229241	4.813479	4.840282
-13278020#8	0.6	9.14	592.11	527	527	63.421924	3577.395594	0.374172	0.07195	1.53092	1.537762
-13278159#0	14.45	1.99	6076.39	361	361	1534.671363	31054.87167	7.716854	0.717106	13.894263	13.349797
-13278159#1	3.73	4.50	1729.10	361	361	235.52672	6190.854955	1.216865	0.127091	2.65309	2.661276
-13714843#0	1.88	12.80	578.92	265	0	56.546797	5252.332133	0.380274	0.085269	2.070721	2.257747
-13714843#1	15.22	12.42	4133.64	265	265	283.139103	30617.606437	1.993306	0.4334	11.606532	13.161225
-13714843#2	14.84	12.34	4034.37	265	265	417.727476	37507.705095	2.773701	0.593279	14.720052	16.122944
-13714843#3	22.41	3.37	7288.91	306	306	2027.877751	43705.144647	10.254453	0.965436	19.157845	18.787832
-13715172	23.29	11.99	2747.63	116	116	822.778648	63583.780916	5.228638	1.055068	25.331398	27.331941
-13715172.291	25.66	0.67	3795.96	116	116	3202.871563	54739.302428	15.869554	1.34248	24.950468	23.531516
-13797599#0	4.32	11.81	458.50	97	97	259.169327	18122.033992	1.607547	0.33092	7.480729	7.789854
-13797599#1	30.82	6.17	3348.32	106	106	2325.141369	74226.830166	12.327436	1.482759	31.429803	31.907692
-13797599#10	0.37	12.93	40.74	55	55	6.057563	751.073125	0.044748	0.010031	0.279295	0.322855
-13797599#2	17.08	1.89	1567.46	80	80	1840.980642	32929.609824	9.154208	0.784429	14.829805	14.155857
-13797599#3	4.49	11.89	390.93	80	80	309.609956	21307.529652	1.915594	0.400446	8.875869	9.159142
-13797599#4	19.13	1.69	1206.69	55	55	1930.415229	36212.03929	9.638252	0.85408	16.282131	15.566845
-13797599#5	5.83	12.72	341.34	55	55	101.301383	11684.087383	0.72898	0.16459	4.410904	5.022496
-13797599#6	10.04	12.77	572.53	55	55	153.9953	18960.16798	1.134631	0.257637	7.080076	8.150183
-13797599#7	4.11	12.86	246.45	55	55	60.484675	7572.832966	0.447991	0.101146	2.815985	3.255246
-13797599#8	2.91	12.80	180.20	55	55	42.787769	5363.545121	0.317423	0.072032	1.996658	2.305564
