vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh36	7.00	480148041	-0.60	56.00	549454264#1	49.00	830.13	1207.823345	138261.565982	8.701332	2.365203	53.078480	59.432353	
SCar	sveh510	91.00	190128487#4	-0.90	96.00	190128487#4	5.00	61.40	13.039128	5883.858222	0.192271	0.054726	1.977781	2.529239	
SCar	sveh19	4.00	480148041	-0.40	97.00	367461722	93.00	1717.30	2127.513733	253583.732440	15.737763	4.390930	95.799891	109.004169	
SCar	sveh120	23.00	480148041	0.40	101.00	549454264#1	78.00	830.13	5103.965353	226949.467050	28.573401	4.501700	93.752494	97.556712	
SCar	sveh118	22.00	480148041	0.00	101.00	549454264#1	79.00	830.13	4694.152348	216828.009883	26.469664	4.229015	88.540117	93.205906	
SCar	sveh181	33.00	480148041	-0.90	103.00	549454264#1	70.00	830.13	3168.502822	174361.873435	18.566233	3.330558	70.743870	74.950966	
SCar	sveh163	30.00	480148041	-0.30	103.00	549454264#1	73.00	830.13	3918.035209	188192.972974	22.304614	3.490268	75.418688	80.897003	
SCar	sveh29	6.00	549454263#0	-0.10	104.00	367461722	98.00	1244.94	3848.933369	297356.387275	24.576107	5.432167	119.968252	127.820179	
SCar	sveh186	35.00	480148041	0.00	106.00	549454264#1	71.00	830.13	2535.009364	170734.441974	15.487253	2.942981	67.443832	73.391648	
SCar	sveh75	15.00	480148041	0.40	109.00	367461722	94.00	1717.30	2515.318020	277412.095977	18.112110	4.941197	106.743851	119.246751	
SCar	sveh59	13.00	480148041	0.90	111.00	367461722	98.00	1717.30	2079.875625	256800.027828	15.453050	4.339161	97.902656	110.386625	
SCar	sveh265	50.00	480148041	-0.50	112.00	549454264#1	62.00	830.13	3318.804629	246058.078820	21.021156	4.824438	102.609060	105.768828	
SCar	sveh81	16.00	480148041	0.40	114.00	367461722	98.00	1717.30	2678.792605	292092.816816	19.176255	5.155430	113.016966	125.557320	
SCar	sveh330	64.00	480148041	1.10	116.00	549454264#1	52.00	830.13	1739.285631	150629.260398	11.526682	2.783124	60.304222	64.748610	
SCar	sveh62	14.00	480148041	1.10	117.00	367461722	103.00	1717.30	2860.392047	299109.681127	20.153798	5.311612	117.103821	128.573478	
SCar	sveh217	40.00	256605510	-0.60	118.00	304693638	78.00	896.35	2374.543811	191521.481045	15.308370	3.176108	75.998649	82.326822	
SCar	sveh342	65.00	480148041	0.40	119.00	549454264#1	54.00	830.13	1811.795977	157915.694232	12.001062	2.916996	63.245210	67.880696	
SCar	sveh96	18.00	480148041	-0.40	121.00	367461722	103.00	1717.30	1371.793049	217342.738290	11.343615	3.260794	79.325598	93.426139	
SCar	sveh26	5.00	367461723	-0.20	122.00	-34774629#0	117.00	1424.74	3667.497848	293837.545539	23.623958	5.006351	117.376370	126.307909	
SCar	sveh43	9.00	100	-0.10	122.00	36928561	113.00	1270.30	2708.218625	228988.935205	17.619855	3.469367	89.403782	98.432781	
SCar	sveh63	13.00	367461723	-0.40	128.00	-34774629#0	115.00	1424.74	2926.649216	267035.648634	19.533969	4.158841	103.260227	114.787281	
SCar	sveh361	68.00	480148041	-0.10	130.00	549454264#1	62.00	830.13	2349.414246	183306.067890	15.015065	3.277457	73.656732	78.795130	
SCar	sveh80	15.00	549454263#0	-0.50	130.00	367461722	115.00	1244.94	4977.711657	306550.992591	29.814991	5.455712	123.432460	131.773531	
SCar	sveh383	73.00	480148041	2.10	131.00	549454264#1	58.00	830.13	2413.739541	194250.138243	15.614673	3.580611	78.227414	83.499327	
SCar	sveh70	15.00	367461723	0.90	131.00	-34774629#0	116.00	1424.74	3696.286984	294183.336033	23.728337	5.063703	117.638346	126.456505	
