link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-104179543#0	1.98	5.01	466.21	159	159	105.843183	3608.65134	0.564803	0.063769	1.507189	1.551245
-104179543#1	0.6	4.78	253.88	159	159	17.909895	576.922007	0.094706	0.009886	0.239064	0.248002
-104688711#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-104688711#3	5.45	9.35	105.52	18	0	131.404158	9025.49038	0.804468	0.127815	3.502168	3.879713
-104688711#4	5.38	9.37	105.95	18	18	125.464974	8676.999611	0.76799	0.114968	3.314159	3.729921
-104688711#5	8.55	9.11	163.24	18	18	338.030095	20492.54435	2.012737	0.328063	8.234123	8.808932
-109406983	16.96	9.09	104.87	6	6	695.836444	42413.49916	4.165788	0.757645	17.379758	18.231775
-109406986	2.97	7.13	148.96	41	41	97.270307	4973.390281	0.5577	0.082002	2.022596	2.137872
-109406987#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-113957039	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-12319876#0	7.72	11.94	3344.72	412	412	270.215361	20905.216901	1.717327	0.343343	8.314679	8.986261
-12319876#1	8.61	8.80	3771.34	412	412	327.663309	15744.992745	1.855878	0.267227	6.296453	6.768196
-12544650	15.76	11.15	5844.75	361	361	384.582259	30701.019345	2.45975	0.463522	11.891115	13.197116
-128245297	12.47	12.25	2327.12	181	181	602.84317	44476.411929	3.791084	0.790455	18.140644	19.118437
-128245298#0	0.32	13.07	123.84	181	181	4.7253	618.396124	0.035381	0.008234	0.228953	0.265823
-128245298#1	0.38	13.14	134.59	181	181	5.756481	755.226484	0.043124	0.010155	0.280051	0.32464
-128363658#0	2.96	12.75	236.63	71	71	53.113774	6186.565413	0.384484	0.086317	2.329552	2.659344
-128363658#1	4.62	12.85	349.13	71	71	86.100564	9679.682855	0.615983	0.138825	3.672097	4.160885
-128363658#2	1.69	12.75	146.16	71	71	25.245233	3090.410035	0.185442	0.041621	1.152087	1.328439
-128363658#3	20.13	12.82	1803.67	88	88	313.212617	38301.162218	2.297492	0.526242	14.327152	16.46406
-128363658#4	5.34	11.18	506.87	88	88	437.365679	27522.772632	2.644759	0.527222	11.557023	11.830808
-128363658#5	7.89	5.64	768.90	88	88	525.660932	15866.38901	2.766733	0.327233	6.813575	6.820449
-128823190#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
-128825640#0	4.34	7.82	69.22	14	14	134.017442	6913.217058	0.769387	0.111708	2.797215	2.971732
-128825640#1	12.64	8.78	176.73	0	14	304.292526	18948.687258	1.813268	0.248179	7.242783	8.145368
-13278020#0	1.75	12.77	1208.58	569	569	27.571667	3259.608429	0.200206	0.045062	1.223428	1.401169
-13278020#1	2.72	12.85	1759.96	569	569	56.648466	6011.18095	0.396883	0.090357	2.309563	2.583948
-13278020#2	1.59	12.64	1117.65	569	569	92.703397	7128.59068	0.591342	0.131013	2.933339	3.064255
-13278020#3	0.91	11.69	746.41	569	569	90.190539	5921.246924	0.552089	0.11652	2.508326	2.545271
-13278020#4	0.76	10.37	693.94	569	569	87.418463	5201.778737	0.522169	0.103896	2.224514	2.236008
-13278020#5	3.3	2.13	2913.98	527	527	347.685247	7981.935993	1.771059	0.180367	3.553571	3.431221
-13278020#6	6.28	3.19	4094.87	527	527	460.927217	9908.266989	2.330849	0.221368	4.37942	4.25933
-13278020#7	3.71	6.15	2364.15	527	527	287.870899	11673.097808	1.587937	0.238291	4.99394	5.017808
-13278020#8	0.58	9.51	568.99	527	527	61.452014	3545.340994	0.364427	0.071033	1.51546	1.523982
-13278159#0	14.5	1.99	6099.37	361	361	1522.526865	30977.850359	7.659765	0.714109	13.855202	13.316681
-13278159#1	3.8	4.43	1757.16	361	361	245.137403	6393.962844	1.2654	0.13161	2.743233	2.748587
-13714843#0	1.86	12.89	571.88	265	0	48.276362	4733.389967	0.329411	0.074302	1.844993	2.034678
-13714843#1	14.99	12.60	4073.51	265	265	267.243715	29902.560802	1.902918	0.421229	11.301127	12.853854
-13714843#2	14.65	12.50	3982.82	265	265	409.173834	36962.126344	2.72286	0.588191	14.519209	15.888417
-13714843#3	20.98	3.60	6823.90	306	306	1828.720887	40265.263741	9.267259	0.878214	17.569662	17.309091
-13715172	23.85	11.71	2813.71	116	116	873.903591	65103.767614	5.498717	1.082247	25.967257	27.985341
-13715172.291	25.86	0.67	3824.80	116	116	3241.218137	55299.435348	16.057276	1.356823	25.208872	23.772312
-13797599#0	4.32	11.83	457.67	97	97	261.555683	18305.293123	1.623865	0.335866	7.565559	7.868626
-13797599#1	31.0	6.13	3368.62	106	106	2349.734947	73948.604772	12.432155	1.48028	31.328284	31.788116
-13797599#10	0.37	12.96	40.66	55	55	5.919638	738.048071	0.043889	0.009806	0.2743	0.317256
