link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.0	10.33	646.21	45	0	281.035174	23476.793289	1.813555	0.304881	8.853717	10.091772
1	10.88	13.07	749.88	0	69	150.182071	18830.181437	1.112752	0.256459	7.020289	8.094305
100	14.12	15.76	2483.17	0	176	171.078731	27356.807642	1.387464	0.399536	10.094927	11.759486
11	14.19	12.19	2085.21	143	143	619.250163	40481.641132	3.760719	0.735225	16.263177	17.401332
12	31.05	13.90	4489.34	143	143	873.393721	75226.555418	5.702297	1.237366	29.139714	32.336673
13	14.61	13.11	2141.19	143	143	531.496003	38551.257184	3.304651	0.662259	15.205954	16.571553
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.38	347.18	170	170	69.031954	4783.293454	0.426414	0.082198	1.947492	2.056132
132017141#2	1.27	10.37	41.13	24	24	33.272859	2646.617888	0.211977	0.036148	1.010226	1.137678
132017141#3	0.71	10.18	295.28	253	253	26.914061	1845.285092	0.16566	0.031116	0.747876	0.79321
132017141#4	1.35	9.93	418.45	229	229	30.677526	2325.459134	0.19289	0.032572	0.895756	0.999624
132017141#5	0.82	8.90	390.95	288	288	41.3043	2429.82738	0.244968	0.042878	1.00118	1.044481
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.79	16.21	506.08	24	24	490.821551	61384.037922	3.637313	0.993529	23.454799	26.386223
132017149	11.57	12.64	3441.47	288	288	336.304844	31296.909734	2.260152	0.498626	12.284812	13.453178
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.4	13.18	427.64	18	18	333.816748	43193.909644	2.508306	0.592374	16.109252	18.567237
135657120	14.55	21.46	3057.23	207	207	468.552441	50977.444282	3.37319	0.961092	19.561924	21.912834
135657123	2.85	18.69	641.93	207	207	392.669401	27972.643552	2.470673	0.602717	11.876727	12.024072
14	45.03	15.54	6483.52	143	143	753.197584	103061.138351	5.762684	1.563755	38.636873	44.30143
142362576	109.24	21.57	26597.90	243	243	2593.763805	327512.600058	19.763859	5.921041	122.285156	140.782656
142362585	16.3	21.49	4097.21	248	248	386.071579	48163.24217	2.926626	0.872851	18.029125	20.703168
142362611	14.45	16.57	427.43	29	29	270.500491	31653.417915	1.965921	0.530766	12.010491	13.606382
142362617	12.86	16.20	552.57	42	42	243.855702	27778.554943	1.751475	0.463665	10.530062	11.940761
142362623	2.96	11.67	191.95	57	57	253.483306	17152.916408	1.562999	0.33113	7.208661	7.373252
142362634	16.32	15.71	631.65	38	38	202.096417	32302.185033	1.636467	0.46985	11.896428	13.88529
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
142362642	21.78	13.06	841.33	38	38	312.372699	40662.085845	2.347499	0.543483	15.072885	17.478932
148050996	0.09	20.56	16.57	51	51	1.220702	198.845116	0.010302	0.003332	0.071516	0.085475
148051000	3.36	15.77	186.79	51	51	43.434635	6446.274085	0.341256	0.096661	2.398653	2.770968
148051003	21.31	15.74	1102.24	51	51	301.765327	46772.732292	2.42664	0.685655	17.308586	20.10554
15	1.97	7.91	367.04	143	143	81.536843	4060.264625	0.467458	0.080509	1.74399	1.745334
152051288	109.11	21.57	27552.45	252	252	2612.984895	328057.902486	19.869148	5.941321	122.599874	141.017049
152051296	57.43	21.53	14010.29	243	243	1352.061735	171324.776722	10.313401	3.092357	63.947637	73.644671
158879913	48.41	12.90	292.67	6	6	691.844955	90576.747814	5.218455	1.20503	33.56852	38.935164
158879917	21.93	15.99	177.79	8	8	371.813865	51072.503398	2.856969	0.792964	19.252237	21.953786
158888001	53.75	21.57	13600.07	252	252	1286.753937	161430.813977	9.779017	2.923744	60.334776	69.391704
158888002	227.56	21.57	55350.11	243	243	5433.671625	683017.835629	41.330575	12.364306	255.202579	293.598051
158888013	27.81	15.53	6157.21	219	219	353.723471	56121.36893	2.86668	0.817257	20.706889	24.12411
158888040	4.94	15.65	1771.90	338	338	230.426873	21295.228809	1.550725	0.387448	8.562964	9.153829
158888049	19.99	13.17	5312.42	261	261	278.688003	37120.97469	2.11491	0.49773	13.758922	15.95675
16	36.26	15.50	5229.08	143	143	806.052945	95130.122258	5.849328	1.542561	36.58292	40.892153
160289846#0	68.19	9.99	12429.08	181	181	1480.39579	114454.99178	9.350411	1.54986	43.708134	49.199791
17	41.47	15.56	5973.99	143	143	857.509874	106556.10344	6.33818	1.692836	40.657704	45.803692
18	51.25	12.93	7535.47	146	146	785.581662	97685.413771	5.806035	1.330221	36.412291	41.990868
185675533	388.49	21.57	284533.46	732	732	9233.862129	1163171.552376	70.2989	21.044322	434.460577	499.994127
185675534	48.77	21.57	28069.36	573	573	1168.868705	147167.587929	8.897291	2.662929	54.975449	63.260599
188949094#0	3.7	10.68	1190.30	288	249	108.826253	7045.477062	0.658643	0.126597	2.884092	3.028547
188949094#1	2.7	13.73	803.11	267	0	377.842702	25048.833676	2.325484	0.523213	10.753084	10.767294
19	20.51	11.22	3055.77	146	146	547.310509	40364.907457	3.41963	0.616993	15.59105	17.35126
19a	17.63	15.10	2619.79	146	146	581.841088	55798.826676	3.9342	0.951488	21.942276	23.985405
2	10.85	13.11	636.24	57	0	146.334262	19918.39825	1.116746	0.261837	7.343468	8.562089
20	23.75	15.72	3512.24	146	146	350.232261	53075.22346	2.786926	0.786142	19.708694	22.814696
21	12.48	17.84	1861.32	146	146	395.2777	41675.507385	2.773054	0.755105	16.324082	17.91436
22	86.49	12.37	12683.55	146	146	1612.879825	163151.098417	11.064718	2.277186	61.283221	70.131984
23	65.14	12.84	9563.91	146	146	1193.416004	133780.217081	8.490025	1.886908	50.476273	57.506493
24	22.89	17.81	3380.30	146	146	774.968533	79880.354352	5.409727	1.452359	31.42238	34.336845
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.93	12.56	124.04	29	29	237.573602	17933.144346	1.506284	0.330196	7.38909	7.708641
24328854#2	1.05	13.05	21.17	15	15	24.89981	2716.735802	0.176559	0.039951	1.037164	1.167809
24328854#3	0.72	13.25	16.21	15	15	16.28092	1896.485301	0.11719	0.027051	0.716675	0.815218
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.29	32.61	42	42	38.882344	2289.448861	0.231803	0.046548	0.985539	0.984129
24330636	28.6	15.76	5982.45	207	207	401.623576	62052.66631	3.221059	0.914255	22.981095	26.673706
24347613	13.26	17.89	568.24	42	42	710.233927	61973.215543	4.719873	1.201827	25.160571	26.639351
24443869	29.77	12.99	4007.66	133	133	430.772525	55548.573502	3.228757	0.746093	20.643703	23.878007
24443872	8.7	13.20	1078.51	119	119	118.295773	15564.401963	0.89522	0.210915	5.788014	6.690481
24443879.82	13.81	15.61	400.37	0	29	134.347818	25498.345609	1.168461	0.354442	9.245024	10.960625
24443883	25.53	13.01	2097.62	81	81	375.569263	48885.030345	2.827784	0.653395	18.149727	21.013631
24443886	39.22	13.04	3047.83	77	77	569.066932	72835.19831	4.253221	0.985468	27.105775	31.308797
245327987	8.32	21.51	2066.56	242	242	195.597242	24697.870709	1.490259	0.446239	9.223669	10.616483
245327988#1	8.4	21.46	2254.28	262	0	243.53732	27647.501432	1.781533	0.513849	10.523132	11.884382
245328442	61.03	21.54	15435.74	252	252	1451.102135	182534.350272	11.038177	3.302211	68.210881	78.463147
248722719	1.49	9.81	452.98	229	229	151.500776	8910.264339	0.901943	0.175893	3.800392	3.830122
248722721#0	2.37	8.29	689.69	234	234	68.806737	3883.168612	0.40308	0.063426	1.572242	1.669222
248722721#1	0.83	9.00	6.80	5	5	25.429963	1594.548309	0.151925	0.021589	0.614102	0.685438
248722721#2	0.19	8.96	107.98	151	151	9.080307	537.108424	0.053849	0.009125	0.219484	0.230881
