carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
1	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
2	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
3	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
4	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
5	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
6	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
7	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
8	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
9	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
10	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
11	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
12	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
13	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
14	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
15	22632.788539339374	2131148.132154315	152.1140844144692	33.19059325342334	823.2019539936007	916.0894186698991	12034.698333333341	927.9633588226098
