carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
1	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
2	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
3	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
4	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
5	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
6	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
7	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
8	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
9	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
10	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
11	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
12	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
13	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
14	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
15	22521.3108137183	2124545.4434765605	151.45354868314257	33.13610007466779	820.686671959776	913.2511208881552	12034.698333333341	924.9048308534991
