link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.01	10.32	644.51	45	0	288.15873	24200.679686	1.861599	0.311218	9.105538	10.402947
1	10.88	13.06	750.29	0	69	141.172294	18316.266599	1.057568	0.244691	6.788981	7.873398
100	14.09	15.78	2479.08	0	176	169.778935	27608.441785	1.389142	0.401188	10.171457	11.867654
11	14.45	11.97	2182.41	147	147	609.436408	40271.221277	3.713142	0.72368	16.145648	17.310887
12	32.01	13.48	4756.99	147	147	908.70507	76539.947064	5.8914	1.255485	29.684442	32.90126
13	14.67	13.06	2210.55	147	147	570.158872	41115.153834	3.543203	0.709116	16.289602	17.673657
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.6	10.38	357.26	174	174	67.722837	4759.342032	0.419463	0.079332	1.920828	2.04584
132017141#2	1.23	10.65	40.34	24	24	23.124228	2023.353285	0.15119	0.025402	0.756186	0.869762
132017141#3	0.72	10.05	300.73	253	253	20.988256	1466.067336	0.129647	0.023749	0.58759	0.630201
132017141#4	1.35	9.93	419.23	229	229	33.62603	2454.7051	0.2095	0.035901	0.957191	1.05518
132017141#5	0.73	10.00	348.03	288	288	35.77422	2320.210406	0.217221	0.040218	0.949423	0.99736
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.83	16.18	506.98	24	24	494.874032	59907.911039	3.633642	0.98373	23.016329	25.751693
132017149	11.62	12.59	3455.95	288	288	318.984163	30181.186628	2.154267	0.474844	11.802255	12.973582
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.44	13.15	428.48	18	18	315.629141	42468.694212	2.399368	0.566833	15.720074	18.255511
135657120	14.53	21.48	2995.33	203	203	469.054917	51288.637732	3.382488	0.965514	19.659336	22.046603
135657123	2.85	18.64	631.19	203	203	394.986386	28087.947465	2.484062	0.605661	11.930768	12.073635
14	45.8	15.28	6778.45	147	147	777.524321	103039.439028	5.875975	1.57001	38.804734	44.2921
142362576	109.23	21.57	26596.12	243	243	2584.020453	326795.742231	19.701097	5.905534	121.981273	140.474514
142362585	16.31	21.48	4099.04	248	248	382.698929	48826.609194	2.926905	0.879067	18.21555	20.988323
142362611	14.46	16.56	427.77	29	29	276.536995	32155.533811	1.993642	0.539246	12.196968	13.822219
142362617	12.85	16.22	499.31	38	38	260.697026	28681.491055	1.851701	0.486493	10.953302	12.328886
142362623	2.92	11.83	189.33	57	57	254.167385	17119.710165	1.566028	0.333891	7.21817	7.358974
142362634	16.36	15.67	633.03	38	38	198.354997	31495.011634	1.605637	0.458095	11.616081	13.538322
142362639	21.11	15.21	21.42	1	1	502.679989	57326.933202	3.635722	0.944546	22.284011	24.642249
142362642	21.78	13.06	841.49	38	38	317.841298	40251.911507	2.365901	0.54518	14.980244	17.302611
148050996	0.09	20.62	16.52	51	51	1.901704	212.840286	0.01386	0.003986	0.081227	0.09149
148051000	3.36	15.80	186.48	51	51	37.781462	5718.338922	0.303401	0.084743	2.12426	2.458062
148051003	21.3	15.75	1101.94	51	51	309.091794	47305.703084	2.473969	0.699099	17.543459	20.334636
15	1.9	8.17	365.29	147	147	82.294694	4277.184662	0.476173	0.084711	1.834216	1.838576
152051288	109.11	21.57	27114.54	248	248	2628.006779	328980.252806	19.958939	5.962673	123.002612	141.413521
152051296	57.45	21.52	14014.11	243	243	1361.625537	171918.303331	10.373889	3.106396	64.21327	73.899798
158879913	48.42	12.89	292.75	6	6	666.774131	89922.164557	5.075786	1.160078	33.075669	38.653825
158879917	21.93	15.99	177.80	8	8	290.741852	49011.665845	2.437189	0.710786	18.019203	21.067958
158888001	53.75	21.57	13384.69	248	248	1277.189437	161101.195665	9.728377	2.913547	60.160019	69.25002
158888002	227.56	21.57	55349.66	243	243	5414.045877	682122.839909	41.218613	12.340082	254.771986	293.213339
158888013	27.77	15.55	6149.58	219	219	355.604953	56194.75417	2.87752	0.820917	20.749582	24.155653
