link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	13.92	10.39	28.71	2	0	337.043193	27352.436576	2.160608	0.378799	10.492087	11.757732
1	9.92	14.33	29.73	0	3	98.910434	15249.81749	0.802078	0.213017	5.645858	6.555237
100	14.83	15.00	177.85	0	12	158.686276	26211.227763	1.308581	0.364844	9.621361	11.26707
11	9.71	17.82	39.91	4	4	383.442929	38590.670209	2.619988	0.705902	15.216579	16.588326
12	23.43	18.42	94.75	4	4	530.931384	68445.986362	4.016895	1.164583	26.021323	29.42179
13	10.36	18.50	42.46	4	4	125.062395	25966.31329	1.141985	0.386872	9.300517	11.161763
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.55	10.70	13.94	7	7	49.925225	4009.1764	0.319332	0.056974	1.547604	1.723385
132017141#2	1.17	11.21	3.19	2	2	22.546512	2170.701772	0.152347	0.028986	0.819731	0.933098
132017141#3	0.66	10.88	6.59	6	6	36.887707	2477.389959	0.226801	0.0469	1.037585	1.064918
132017141#4	1.25	10.77	6.75	4	4	19.339836	1852.474282	0.129929	0.022038	0.682763	0.796309
132017141#5	0.71	10.36	5.83	5	5	31.214645	2190.804966	0.193168	0.035962	0.880291	0.941735
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.13	16.75	40.82	2	2	514.950026	58491.409352	3.702075	1.000975	22.750845	25.142768
132017149	11.1	13.18	45.14	5	3	322.821676	28841.436301	2.140952	0.488823	11.51018	12.397642
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
135657120	14.5	21.53	132.51	9	9	466.551118	48944.648239	3.318026	0.934713	18.898419	21.039021
135657123	2.83	18.79	27.76	9	9	415.503106	29383.513717	2.609328	0.635163	12.503428	12.630534
14	37.86	18.49	152.47	4	4	643.88896	93558.621767	5.085915	1.544384	34.97057	40.216587
142362576	109.18	21.58	1510.68	14	13	2632.663381	332865.618374	20.074542	6.016637	124.249316	143.083675
