link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.02	10.31	644.93	45	0	289.522068	24098.014018	1.866764	0.315486	9.105719	10.358808
1	10.89	13.05	750.78	0	69	138.052757	18022.916084	1.038159	0.240326	6.676504	7.747299
100	14.1	15.77	2481.10	0	176	172.246173	27468.190377	1.399312	0.402007	10.145434	11.807364
11	14.32	12.08	2073.94	141	141	575.636068	39878.514414	3.551252	0.714384	15.956746	17.14206
12	31.29	13.79	4460.96	141	141	863.533743	75918.047251	5.671414	1.240079	29.372636	32.633912
13	14.76	12.98	2132.51	141	141	542.215025	39229.448964	3.373208	0.67053	15.463579	16.863085
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.6	10.37	345.28	168	168	66.22611	4715.658666	0.411556	0.078022	1.898537	2.027062
132017141#2	1.22	10.76	39.91	24	24	22.757957	2066.417278	0.150769	0.027132	0.779023	0.888272
132017141#3	0.71	10.10	299.04	253	253	21.334965	1496.48166	0.131939	0.024244	0.599626	0.643275
132017141#4	1.35	9.97	417.41	229	229	30.344991	2267.778341	0.190031	0.031767	0.874405	0.97483
132017141#5	0.73	10.00	347.84	288	288	34.77407	2231.25188	0.210607	0.038891	0.914867	0.95912
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.83	16.18	506.98	24	24	502.832336	59531.664237	3.663528	0.985862	22.951397	25.589956
132017149	11.6	12.61	3449.93	288	288	323.211333	30231.676144	2.174901	0.48037	11.856565	12.995281
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.46	13.15	428.75	18	18	325.071174	42709.47827	2.447993	0.576306	15.86122	18.359009
135657120	14.53	21.48	3083.59	209	209	468.313306	51237.16849	3.378735	0.96451	19.638574	22.024478
135657123	2.86	18.63	650.29	209	209	397.662172	28223.938301	2.49927	0.608921	11.99353	12.132091
14	45.46	15.40	6452.99	141	141	785.987236	104083.44681	5.940784	1.592857	39.207652	44.740867
142362576	109.22	21.57	26594.89	243	243	2593.028454	328291.478922	19.779799	5.931059	122.51811	141.117464
142362585	16.31	21.48	4099.64	248	248	381.682854	48835.788428	2.921426	0.878395	18.208998	20.992269
142362611	14.46	16.56	427.77	29	29	279.696142	31477.485014	2.007712	0.5356	12.018433	13.530752
142362617	12.78	16.31	575.29	44	44	251.196507	29051.703813	1.817012	0.485853	11.02665	12.488026
142362623	2.92	11.83	189.35	57	57	255.468129	17072.335945	1.571218	0.335404	7.216311	7.338607
142362634	16.36	15.67	633.08	38	38	185.576321	31298.577793	1.527346	0.441934	11.428737	13.453894
142362639	21.11	15.21	21.42	1	1	502.679989	57326.933202	3.635722	0.944546	22.284011	24.642249
142362642	21.8	13.05	842.06	38	38	314.862981	40225.69858	2.355028	0.54336	14.959584	17.291344
148050996	0.09	20.66	16.49	51	51	1.620545	176.620942	0.011696	0.003335	0.067717	0.075921
148051000	3.37	15.74	187.19	51	51	40.211135	6146.725179	0.322645	0.091027	2.278987	2.642206
148051003	21.32	15.74	1102.63	51	51	306.186878	47378.923257	2.466302	0.698298	17.548856	20.366111
15	1.89	8.23	347.64	141	141	81.74103	4259.408286	0.473208	0.084192	1.825319	1.830935
152051288	109.12	21.57	27771.32	254	254	2639.854915	329147.967358	20.016692	5.972309	123.144204	141.485609
152051296	57.44	21.53	14012.40	243	243	1347.491039	170757.664808	10.282127	3.082494	63.74137	73.400895
