link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.03	10.30	646.86	45	0	283.090272	23298.855955	1.81968	0.307806	8.825003	10.015279
1	10.89	13.05	750.68	0	69	155.679669	19447.745402	1.153324	0.267841	7.267499	8.359766
100	14.11	15.76	2482.76	0	176	169.609936	26927.936912	1.376403	0.394786	9.95332	11.575133
11	14.61	11.84	2071.60	138	138	637.420547	40360.845929	3.8453	0.732681	16.219393	17.349425
12	31.27	13.80	4362.92	138	138	921.983658	77299.344752	5.968772	1.280583	30.011608	33.227682
13	14.48	13.24	2047.34	138	138	540.159931	39881.860431	3.374264	0.685255	15.732587	17.143514
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.39	335.65	165	165	71.562201	5055.611005	0.443941	0.084592	2.042062	2.173192
132017141#2	1.24	10.64	40.39	24	24	19.68372	1950.323019	0.133731	0.023136	0.717268	0.83837
132017141#3	0.7	10.22	294.02	253	253	25.764239	1779.322606	0.158909	0.03009	0.721481	0.764855
132017141#4	1.35	9.92	419.47	229	229	29.145043	2211.610249	0.183288	0.030858	0.850928	0.950685
132017141#5	0.8	9.13	381.14	288	288	40.771844	2404.011861	0.24191	0.042317	0.989837	1.033385
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.8	16.21	506.14	24	24	500.646477	61884.348934	3.699781	1.007934	23.700651	26.601279
132017149	11.51	12.71	3421.99	288	288	333.603264	31520.566015	2.2505	0.499751	12.345181	13.549318
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.45	13.15	428.57	18	18	323.283691	43853.18822	2.474464	0.582675	16.220453	18.85065
135657120	14.54	21.47	3129.81	212	212	464.520275	50966.309605	3.35536	0.958517	19.529479	21.908049
135657123	2.85	18.67	658.27	212	212	395.923984	28154.852397	2.489295	0.60707	11.957893	12.102394
14	44.84	15.61	6229.74	138	138	748.836462	101264.465	5.711805	1.54938	38.060934	43.529107
142362576	109.24	21.57	26599.21	243	243	2626.276483	328446.28594	19.939045	5.954573	122.828124	141.183992
142362585	16.3	21.49	4097.04	248	248	394.961004	49270.233926	2.994041	0.892903	18.443396	21.179013
142362611	14.43	16.60	426.71	29	29	282.278294	31855.750919	2.025429	0.541538	12.159931	13.693351
142362617	12.8	16.28	615.47	47	47	249.829842	28040.740132	1.785269	0.472458	10.673965	12.053457
142362623	2.94	11.77	190.38	57	57	246.053047	16753.204513	1.519526	0.322869	7.035078	7.201434
142362634	16.37	15.66	633.46	38	38	207.513949	32303.8814	1.657928	0.473461	11.930078	13.886017
