link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.04	10.30	648.02	45	0	282.63396	23161.914202	1.81291	0.300664	8.740089	9.956422
1	10.9	13.04	751.56	0	69	144.369733	18715.82627	1.083528	0.251008	6.943923	8.045151
100	14.11	15.77	2481.55	0	176	181.318315	27535.153654	1.446129	0.410523	10.236001	11.836144
11	14.22	12.16	1958.32	134	134	577.662676	39729.688485	3.553519	0.710734	15.889289	17.078091
12	31.36	13.76	4249.02	134	134	885.567506	76250.009093	5.771762	1.246119	29.476789	32.776624
13	14.82	12.93	2035.62	134	134	564.352591	40270.637871	3.500565	0.694678	15.925882	17.310644
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.44	328.70	161	161	67.894503	4807.511898	0.42139	0.080121	1.939655	2.066545
132017141#2	1.23	10.68	40.22	24	24	24.644253	2161.801917	0.161519	0.028526	0.817035	0.929274
132017141#3	0.71	10.10	298.96	253	253	20.774731	1463.851987	0.128598	0.023533	0.585273	0.629249
132017141#4	1.37	9.79	425.09	229	229	31.707835	2342.720946	0.197875	0.032416	0.899815	1.007046
132017141#5	0.75	9.77	356.07	288	288	37.033602	2316.125155	0.222768	0.039918	0.946749	0.995605
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.81	16.20	506.56	24	24	530.325981	62031.748215	3.84297	1.032728	23.95796	26.664624
132017149	11.62	12.59	3454.29	288	288	327.707227	30633.415496	2.204884	0.486031	12.010584	13.167972
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.4	13.18	427.69	18	18	364.028619	45217.594235	2.694349	0.633787	16.974056	19.437123
135657120	14.54	21.48	3188.11	216	216	478.50627	51821.166239	3.440248	0.978664	19.902148	22.275509
135657123	2.86	18.60	673.12	216	216	392.973984	28050.440963	2.473622	0.603274	11.905138	12.057514
14	45.39	15.42	6123.99	134	134	770.347225	103706.107152	5.866585	1.57768	38.983895	44.578672
142362576	109.23	21.57	26596.26	243	243	2596.464687	327144.650666	19.769523	5.918522	122.187594	140.624488
142362585	16.3	21.48	4097.99	248	248	385.239539	48666.063463	2.933961	0.878567	18.181094	20.91931
142362611	14.51	16.51	429.16	29	29	276.062522	31611.975535	1.991598	0.532581	12.023759	13.588568
142362617	12.88	16.19	671.70	51	51	255.641598	28770.393855	1.82934	0.484204	10.966758	12.367101
142362623	2.93	11.79	190.06	57	57	255.701532	17219.654383	1.57544	0.336347	7.263236	7.401934
142362634	16.36	15.67	633.13	38	38	223.8827	33269.556876	1.771255	0.498292	12.38277	14.301111
142362639	21.11	15.21	21.42	1	1	502.679989	57326.933202	3.635722	0.944546	22.284011	24.642249
142362642	21.76	13.07	840.72	38	38	326.84445	41313.030005	2.43283	0.561192	15.387054	17.758739
148050996	0.09	20.59	16.55	51	51	0.780565	120.521127	0.006447	0.002056	0.043709	0.051807
148051000	3.37	15.74	187.12	51	51	34.605216	6070.131773	0.288169	0.084919	2.207244	2.609285
148051003	21.3	15.75	1101.86	51	51	307.116645	47994.209733	2.477184	0.702999	17.741764	20.6306
15	1.96	7.94	342.51	134	134	85.651635	4295.187445	0.491807	0.085271	1.844979	1.846317
152051288	109.09	21.58	28529.44	261	261	2611.904543	328457.507347	19.873754	5.945974	122.712723	141.188823
152051296	57.44	21.52	14012.66	243	243	1354.453033	171933.871813	10.338921	3.101783	64.157799	73.906494
158879913	48.39	12.90	292.55	6	6	640.074273	84190.331602	4.836017	1.101881	31.102924	36.189934
158879917	22.0	15.94	178.38	8	8	322.546069	51566.155643	2.623484	0.755151	19.043138	22.166017
158888001	53.75	21.57	14085.07	261	261	1285.575025	161419.388814	9.774242	2.923076	60.321051	69.386794
158888002	227.55	21.57	55347.46	243	243	5425.316513	681698.847702	41.265072	12.342658	254.726723	293.031077
158888013	27.77	15.55	6148.40	219	219	352.227279	55962.620676	2.854658	0.814903	20.644253	24.055871
158888040	4.94	15.66	1771.41	338	338	228.826923	20998.037208	1.536177	0.38331	8.454198	9.026079
158888049	19.98	13.18	5308.34	261	261	283.091968	37101.253032	2.133818	0.50214	13.786278	15.948268
16	36.5	15.40	4931.69	134	134	823.852942	95751.593032	5.950996	1.559531	36.910578	41.159292
160289846#0	68.14	10.00	12418.90	181	181	1501.838186	115935.550066	9.484472	1.584079	44.373262	49.836205
17	41.74	15.45	5634.75	134	134	858.003301	105482.539586	6.320856	1.677118	40.304292	45.342217
18	51.03	12.99	7041.72	137	137	763.906027	96626.114573	5.68242	1.309471	35.952803	41.53552
185675533	388.5	21.57	284543.67	732	732	9276.265922	1165837.749093	70.559617	21.106295	435.624962	501.140192
185675534	48.76	21.57	28068.09	573	573	1160.075574	145595.887904	8.818036	2.636664	54.41501	62.584996
