vType	veh_id	depart	depart_edge	depart_delay	arrival	arrival_edge	duration	route_length	CO	CO2	HC	PMx	NOx	fuel
SCar	sveh22	88.00	1	0.00	141.00	77477309	53.00	718.95	1250.603942	133479.873809	8.792519	2.072239	51.486579	57.377162	
SCar	sveh24	94.00	100	0.00	145.00	2	51.00	613.33	1177.184459	115009.092874	7.996274	1.616726	43.685504	49.437683	
SCar	sveh7	41.00	389783911.154	0.00	216.00	462392869	175.00	3746.53	4415.343901	535534.102391	33.162071	9.795845	201.462251	230.201468	
SCar	sveh8	42.00	389783911.154	0.00	217.00	462392869	175.00	3746.53	4887.994391	565495.288705	36.034647	10.483837	214.411802	243.080299	
SCar	sveh12	55.00	462392872	0.00	220.00	389783908	165.00	3556.47	3736.656906	494941.822634	29.068173	8.841224	183.349805	212.752897	
SCar	sveh32	147.00	1	0.00	240.00	245327988#1	93.00	1550.83	4945.418696	394081.471595	31.977875	7.706457	160.782851	169.397201	
SCar	sveh27	125.00	462392872	0.00	291.00	389783908	166.00	3556.47	3636.666775	468163.998710	27.960854	8.419494	174.426757	201.242269	
SCar	sveh13	58.00	462392872	0.00	307.00	319615436	249.00	4773.89	5992.085684	720108.406826	44.318061	12.622662	272.737990	309.541730	
SCar	sveh35	151.00	462392872	0.00	316.00	389783908	165.00	3556.47	3870.461404	464299.794089	28.914223	8.520046	174.810807	199.581108	
SCar	sveh54	264.00	24443879.82	0.00	333.00	319615436	69.00	1041.49	1839.060596	199243.764160	13.011399	3.305570	77.457436	85.645908	
SCar	sveh19	77.00	319615443	0.00	362.00	462392869	285.00	5127.13	8474.165728	851903.576867	59.035223	15.458424	330.229612	366.194461	
SCar	sveh49	226.00	389783911.154	0.00	400.00	462392869	174.00	3746.53	4137.795398	528836.166639	31.697546	9.536668	196.937716	227.322463	
SCar	sveh29	136.00	319615443	0.00	403.00	462392869	267.00	5127.13	7462.199446	837339.588963	54.088705	15.004172	319.325450	359.934029	
SCar	sveh51	239.00	27	0.00	413.00	389783908	174.00	3248.08	4865.480471	482091.569318	33.800267	8.917969	187.361359	207.229030	
SCar	sveh72	435.00	1	0.00	487.00	77477309	52.00	718.95	1388.764940	135750.331771	9.521117	2.234184	53.203896	58.353042	
SCar	sveh58	321.00	389783911.154	0.00	495.00	462392869	174.00	3746.53	4363.886619	543677.609337	33.088522	9.865504	203.523281	233.702052	
SCar	sveh21	86.00	248846659#1.206	0.00	499.00	188949094#1	413.00	5895.24	9604.996404	1005987.838906	67.068538	16.278289	389.176206	432.429628	
SCar	sveh20	80.00	248846659#1.206	0.00	505.00	77477309	425.00	6518.69	11108.183468	1184949.347831	77.836400	19.744423	458.819268	509.356477	
