link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.0	10.33	645.51	45	0	279.11163	23314.446726	1.801257	0.305482	8.80977	10.021982
1	10.89	13.05	750.79	0	69	138.140554	18680.546407	1.053878	0.245017	6.88813	8.02999
100	14.12	15.76	2483.34	0	176	173.898564	27681.056507	1.413747	0.40559	10.229734	11.898866
11	14.53	11.90	1970.89	132	132	615.287458	40648.527742	3.748814	0.73283	16.31853	17.47307
12	31.73	13.60	4235.02	132	132	938.671421	77268.311615	6.043436	1.273669	29.986101	33.214364
13	14.41	13.29	1949.92	132	132	540.707139	39500.223127	3.375516	0.686309	15.678108	16.979454
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.44	324.41	159	159	73.01905	5114.553958	0.452224	0.087131	2.076457	2.198527
132017141#2	1.23	10.65	40.33	24	24	22.89919	2248.520035	0.155053	0.026394	0.825277	0.966554
132017141#3	0.71	10.15	297.59	253	253	23.218367	1650.297781	0.144071	0.026555	0.659699	0.709394
132017141#4	1.35	9.94	418.36	229	229	31.334875	2344.425789	0.196232	0.032519	0.901752	1.007778
132017141#5	0.73	10.00	348.06	288	288	34.414973	2273.925948	0.20974	0.038185	0.921935	0.977466
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.8	16.21	506.23	24	24	511.118562	59817.605079	3.713831	0.994512	23.106987	25.712867
132017149	11.6	12.62	3448.13	288	288	315.080341	29914.607001	2.13005	0.470013	11.69246	12.858991
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.44	13.15	428.49	18	18	329.100962	43482.975377	2.489999	0.583617	16.130303	18.691508
135657120	14.55	21.46	3220.28	218	218	464.95336	51264.902748	3.364106	0.962592	19.62694	22.036401
135657123	2.86	18.64	677.96	218	218	391.768036	27976.373248	2.466256	0.601855	11.871528	12.025676
14	45.4	15.42	6033.35	132	132	763.732223	103733.498738	5.825717	1.573424	38.941853	44.590448
142362576	109.21	21.57	26592.12	243	243	2597.612262	328746.122356	19.812714	5.940018	122.697557	141.312893
142362585	16.29	21.50	4095.75	248	248	379.051812	48954.248889	2.913812	0.878721	18.2237	21.043191
142362611	14.52	16.49	429.47	29	29	297.326226	33394.465891	2.125081	0.567703	12.750853	14.354775
142362617	12.83	16.25	695.31	53	53	258.483191	29306.236191	1.856776	0.49548	11.159173	12.597434
142362623	2.94	11.73	190.91	57	57	249.030452	16775.876738	1.534368	0.326717	7.069873	7.211176
142362634	16.36	15.67	633.09	38	38	203.388647	32035.201673	1.636624	0.467303	11.819885	13.770525
142362639	21.16	15.17	21.47	1	1	414.350572	51270.069787	3.095237	0.808371	19.660088	22.038709
142362642	21.77	13.07	840.99	38	38	324.074897	41418.814886	2.415225	0.559707	15.397016	17.804213
148050996	0.09	20.60	16.54	51	51	1.131248	169.473157	0.009233	0.002921	0.061692	0.072849
148051000	3.37	15.75	187.09	51	51	40.402801	6394.767499	0.324288	0.091783	2.350484	2.748831
148051003	21.3	15.75	1101.75	51	51	318.552117	47937.808865	2.525149	0.712659	17.808514	20.606347
15	1.96	7.91	338.56	132	132	84.271659	4236.707179	0.484077	0.083769	1.817735	1.821179
152051288	109.12	21.57	28756.41	263	263	2600.836082	326713.07273	19.782685	5.916111	122.093176	140.438969
152051296	57.45	21.52	14013.29	243	243	1378.894623	173860.786199	10.497248	3.142486	64.946708	74.734782
158879913	48.3	12.92	292.03	6	6	687.125003	87779.447133	5.139138	1.180954	32.649812	37.732713
158879917	21.97	15.96	178.10	8	8	314.925812	49132.636753	2.542871	0.729934	18.216065	21.119946
158888001	53.74	21.57	14191.53	263	263	1270.526942	159854.045688	9.670129	2.893428	59.721007	68.713925
158888002	227.58	21.57	55354.41	243	243	5426.689783	683634.86215	41.316653	12.368281	255.35004	293.863287
158888013	27.78	15.54	6150.81	219	219	362.018423	56507.506413	2.914377	0.827815	20.890745	24.290091
158888040	4.93	15.67	1770.02	338	338	232.277945	21313.025018	1.559217	0.389036	8.581582	9.161478
158888049	19.99	13.17	5310.86	261	261	281.195256	36769.90773	2.119772	0.498536	13.67093	15.805836
16	36.65	15.33	4879.07	132	132	806.99457	95772.364401	5.863978	1.541944	36.775124	41.168235
160289846#0	68.12	10.00	12415.32	181	181	1500.519058	116410.456968	9.487322	1.579889	44.475811	50.040361
17	41.94	15.38	5576.62	132	132	890.66558	107558.092109	6.521438	1.720646	41.201701	46.234398
18	51.12	12.97	6951.10	135	135	775.834231	97616.86673	5.759541	1.325516	36.343618	41.961402
185675533	388.47	21.57	284522.91	732	732	9240.367765	1164955.832431	70.374506	21.072288	435.069113	500.761111
185675534	48.77	21.57	28068.77	573	573	1152.547556	145856.161908	8.790144	2.635299	54.439927	62.69688
188949094#0	3.68	10.74	1183.55	288	249	106.658585	6905.465215	0.647126	0.124975	2.833723	2.968361
188949094#1	2.7	13.78	798.41	267	0	377.969474	25051.648027	2.326197	0.523805	10.756996	10.768503
19	20.57	11.19	2833.96	135	135	552.377111	39638.435277	3.424574	0.606373	15.313316	17.03899
19a	17.59	15.13	2417.30	135	135	590.19543	56300.568881	3.985613	0.964424	22.169987	24.201078
2	10.84	13.11	635.23	57	0	160.51039	20776.925619	1.204359	0.280849	7.722488	8.931128
20	23.69	15.77	3238.23	135	135	348.802617	52926.762911	2.777423	0.784483	19.646645	22.750879
21	12.46	17.88	1717.31	135	135	397.968571	42025.715075	2.804249	0.762694	16.468786	18.064898
22	86.34	12.39	11707.99	135	135	1612.446294	162642.344552	11.060339	2.284806	61.204923	69.913273
23	64.85	12.89	8805.05	135	135	1168.938382	132696.69062	8.354891	1.868216	50.006572	57.040727
24	22.83	17.85	3118.04	135	135	770.139523	78572.229966	5.350646	1.433015	30.945659	33.774541
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.99	12.40	126.70	29	29	255.319752	18757.688335	1.607736	0.346896	7.752484	8.063078
24328854#2	1.06	12.94	20.76	15	15	35.538212	3408.18115	0.24166	0.054328	1.335052	1.465028
24328854#3	0.73	13.07	16.43	15	15	19.532	1903.556307	0.133786	0.031467	0.750962	0.818254
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.31	41.07	53	53	34.485988	2060.759265	0.206156	0.040933	0.880075	0.885827
24330636	28.62	15.75	6303.88	218	218	403.619773	62260.603246	3.235106	0.916188	23.061462	26.76309
24347613	13.27	17.88	717.51	53	53	707.088957	61711.139181	4.690632	1.196715	25.053467	26.526696
24443869	29.78	12.99	4009.11	133	133	428.095781	55493.635101	3.21601	0.742154	20.601537	23.854395
24443872	8.71	13.19	1079.10	119	119	120.333284	15607.545165	0.905038	0.213336	5.817455	6.709025
24443879.82	13.84	15.58	401.24	0	29	167.915139	26448.720941	1.367975	0.394546	9.824878	11.369131
24443883	25.51	13.02	2096.25	81	81	385.452013	49269.763118	2.883253	0.669038	18.366589	21.179001
24443886	39.23	13.04	3048.95	77	77	570.060936	73057.073941	4.262477	0.988105	27.185631	31.404172
245327987	8.32	21.51	2067.10	242	242	198.423295	25154.440231	1.513826	0.45396	9.388126	10.812741
245327988#1	8.41	21.45	2253.31	262	0	237.568854	27231.226847	1.74248	0.504305	10.345901	11.705446
