link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.13	10.23	217.03	15	0	305.962965	25174.928909	1.966065	0.330572	9.529246	10.821733
1	10.68	13.31	256.13	0	24	128.088909	17474.835949	0.981547	0.232496	6.450909	7.511701
100	14.25	15.61	968.61	0	68	164.822585	26799.935826	1.349521	0.386586	9.872256	11.520116
11	13.49	12.82	637.55	46	46	518.534942	39419.317567	3.281837	0.711365	15.751765	16.944625
12	30.23	14.28	1406.05	46	46	859.422789	75376.623737	5.642483	1.258984	29.253339	32.401145
13	12.45	15.39	586.88	46	46	372.463756	36247.708523	2.530575	0.611803	14.161498	15.581269
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.56	10.61	108.44	54	54	65.41109	4789.713754	0.409552	0.078661	1.922203	2.058895
132017141#2	1.14	11.56	10.84	7	7	21.054289	2091.643076	0.144045	0.029235	0.796337	0.899111
132017141#3	0.71	10.14	96.58	82	82	18.596959	1330.035193	0.115558	0.021234	0.53052	0.571727
132017141#4	1.34	9.99	136.38	75	75	32.671868	2418.085017	0.204209	0.034717	0.938292	1.03944
132017141#5	0.73	9.99	114.85	95	95	34.540191	2228.647652	0.209509	0.038948	0.914316	0.958001
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	19.64	17.16	139.45	7	7	522.470841	58585.137085	3.757176	1.021483	22.843965	25.183043
132017149	11.63	12.58	1140.88	95	95	313.492987	29444.000039	2.111968	0.464648	11.527929	12.656697
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	22.88	13.48	232.37	10	10	293.290876	41886.16228	2.285631	0.557591	15.450897	18.005096
135657120	14.55	21.46	1166.76	79	79	488.380508	52091.767143	3.491052	0.988095	20.065911	22.391824
135657123	2.88	18.48	247.77	79	79	393.774498	28158.39387	2.479186	0.604315	11.947494	12.103919
14	43.84	15.97	2030.15	46	46	701.14799	99357.836798	5.44451	1.529038	37.217027	42.709507
142362576	109.24	21.57	9632.67	88	88	2590.313166	329578.03359	19.794959	5.94541	122.900545	141.670501
142362585	16.31	21.48	1388.52	84	84	385.438022	49499.07403	2.953682	0.889251	18.444194	21.277386
142362611	14.36	16.68	161.12	11	11	283.570149	31507.983863	2.020045	0.539006	12.028504	13.543862
142362617	12.53	16.64	217.80	17	17	248.569708	28887.704768	1.810632	0.489477	10.94136	12.417527
142362623	2.86	12.08	81.36	25	25	256.761145	17331.351925	1.583641	0.341463	7.326744	7.449943
142362634	15.79	16.23	273.47	17	17	174.269468	30285.000999	1.453068	0.437805	11.060155	13.018188
142362639	21.11	15.21	21.42	1	1	502.679989	57326.933202	3.635722	0.944546	22.284011	24.642249
142362642	21.01	13.54	363.22	17	17	292.777772	39385.428414	2.233981	0.544091	14.670908	16.93012
148050996	0.09	20.51	5.86	18	18	2.855899	286.861844	0.020025	0.005559	0.111709	0.123308
148051000	3.4	15.59	66.72	18	18	43.189269	6316.34292	0.343533	0.094252	2.354126	2.715118
148051003	21.55	15.57	393.41	18	18	316.989185	48669.894772	2.542987	0.713925	18.024625	20.921048
15	1.88	8.26	113.01	46	46	81.413395	4271.361378	0.471898	0.083781	1.82584	1.836074
152051288	109.1	21.57	9213.63	85	84	2644.321559	329605.875226	20.051154	5.981722	123.321768	141.682442
152051296	57.43	21.53	4989.76	88	85	1337.932528	170895.698342	10.244134	3.078878	63.714977	73.460234
158879913	48.8	12.79	49.17	1	1	681.251641	94545.920561	5.270987	1.217628	34.806751	40.641373
158879917	21.38	16.39	43.35	2	2	321.117092	50569.989421	2.64689	0.76442	18.764911	21.737792
158888001	53.76	21.56	4715.00	88	87	1290.600646	162582.228456	9.824895	2.941292	60.725127	69.886647
158888002	227.58	21.57	19362.84	85	85	5406.527234	682356.904086	41.187495	12.337948	254.787195	293.313957
158888013	27.76	15.56	1923.60	69	68	345.863716	56543.438223	2.839347	0.818718	20.803174	24.305541
158888040	4.92	15.71	553.80	106	106	225.778614	21299.263269	1.527214	0.383964	8.53231	9.155565
158888049	19.98	13.17	1525.69	75	75	282.669385	37005.181967	2.132435	0.501742	13.759644	15.906971
16	35.53	15.82	1639.12	46	45	837.031031	97479.355587	6.050408	1.606555	37.575822	41.901961
160289846#0	69.17	9.85	4666.93	67	67	1534.360438	115618.71048	9.623179	1.578009	44.286814	49.700038
17	40.69	15.85	1844.64	45	45	958.591562	110279.203674	6.909222	1.830932	42.59926	47.404027
18	50.13	13.22	2372.98	47	47	738.496826	97318.237271	5.57868	1.317806	36.130021	41.833017
185675533	388.46	21.57	89056.59	235	225	9284.026074	1164620.653333	70.565481	21.095533	435.295183	500.617011
185675534	48.75	21.57	8228.17	169	167	1148.403806	145613.566676	8.766433	2.629906	54.327746	62.592601
188949094#0	3.69	10.68	392.56	95	83	98.665864	6458.596342	0.599675	0.114538	2.635171	2.776274
188949094#1	2.69	13.81	278.34	93	0	377.502683	25057.251293	2.324302	0.523845	10.75651	10.770911
19	20.51	11.22	983.85	47	47	574.46779	40655.694905	3.548297	0.621695	15.666715	17.476281
19a	17.41	15.29	832.87	47	47	604.040533	56440.758495	4.053197	0.976149	22.273451	24.261336
2	10.61	13.40	272.27	25	0	159.484403	21698.310535	1.224591	0.294053	8.051913	9.327188
20	23.32	16.01	1110.10	47	47	365.777549	54665.241053	2.894621	0.824106	20.347882	23.498161
21	12.27	18.16	588.77	47	47	396.267272	41445.965709	2.787216	0.760074	16.258072	17.815686
22	86.09	12.43	4064.25	47	47	1783.286546	166628.374218	11.937639	2.41136	63.139179	71.62671
23	64.09	13.05	3008.79	47	45	1167.866822	132468.808949	8.347107	1.889119	50.038879	56.942738
24	22.58	18.05	1027.92	45	45	808.646302	81057.42347	5.589321	1.495503	32.014147	34.842799
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.97	12.46	47.83	11	11	271.361286	19138.915029	1.692246	0.367919	8.012559	8.226936
24328854#2	1.06	12.87	11.17	8	8	16.906576	1615.556689	0.114851	0.025958	0.635162	0.694457
24328854#3	0.72	13.22	8.66	8	8	24.352264	2654.418637	0.17287	0.040329	1.021482	1.141019
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.45	13.00	17	17	37.735112	2247.016621	0.225499	0.045211	0.963324	0.96589
24330636	28.94	15.57	2310.40	79	79	396.539891	61742.153763	3.186262	0.899081	22.825746	26.54024
24347613	12.85	18.47	222.89	17	17	745.204823	65127.915149	4.952343	1.272195	26.415553	27.9954
24443869	29.19	13.25	1270.61	43	43	422.891614	55600.589743	3.193117	0.75439	20.671538	23.900352
24443872	8.77	13.10	319.77	35	35	120.477139	15704.860053	0.906865	0.212627	5.845413	6.750859
24443879.82	14.03	15.37	140.27	0	10	145.233686	26289.360454	1.248813	0.368989	9.603517	11.300645
24443883	25.13	13.22	764.62	30	30	337.941319	47985.233192	2.632362	0.625919	17.654928	20.626849
24443886	39.05	13.10	1240.73	32	31	575.198698	75715.13058	4.346314	1.015957	28.107895	32.54676
245327987	8.32	21.51	751.54	88	88	188.234145	23713.618188	1.432272	0.428696	8.859031	10.193397
245327988#1	8.42	21.41	783.61	91	0	259.169097	28088.281944	1.864388	0.528767	10.784459	12.073848
245328442	61.1	21.51	5212.41	85	85	1429.378396	182504.830527	10.9378	3.287339	68.054494	78.450467
