link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.0	10.32	645.30	45	0	289.643636	23713.262509	1.858596	0.311897	8.976303	10.193419
1	10.87	13.07	749.68	0	69	147.341134	18382.546594	1.090255	0.251453	6.860812	7.901884
100	14.1	15.77	2480.58	0	176	173.280332	27151.475618	1.395555	0.399543	10.046129	11.671221
11	14.12	12.25	2046.08	141	141	611.599456	39977.064344	3.718417	0.727963	16.072154	17.184434
12	30.95	13.95	4411.76	141	141	866.288286	75503.328733	5.67894	1.243951	29.247309	32.455636
13	14.37	13.33	2076.82	141	141	524.850106	38658.997855	3.280609	0.66527	15.258783	16.617858
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.38	342.09	168	168	72.448557	5008.501117	0.447337	0.086565	2.042535	2.152939
132017141#2	1.23	10.66	40.31	24	24	28.239806	2394.994017	0.183265	0.032102	0.9092	1.029514
132017141#3	0.71	10.19	294.99	253	253	25.277824	1751.691421	0.155978	0.029234	0.707646	0.752978
132017141#4	1.35	9.94	418.37	229	229	30.684021	2342.952597	0.193351	0.032917	0.902821	1.007144
132017141#5	0.83	8.83	393.84	288	288	41.783671	2431.057575	0.247205	0.043108	1.003107	1.04501
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.81	16.20	506.48	24	24	490.51799	62178.866522	3.652989	1.00228	23.71773	26.727886
132017149	11.55	12.66	3435.61	288	288	338.378197	31295.876444	2.269972	0.500841	12.300098	13.452732
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.44	13.16	428.42	18	18	323.783678	42473.66381	2.445873	0.575231	15.791377	18.257641
135657120	14.55	21.47	3086.35	209	209	467.02682	51321.459137	3.373711	0.964445	19.657027	22.060712
135657123	2.85	18.69	648.34	209	209	391.127258	27897.362159	2.461733	0.600747	11.841767	11.991712
14	44.85	15.60	6367.35	141	141	741.36037	102094.603207	5.690962	1.55194	38.275472	43.885953
142362576	109.24	21.57	26598.36	243	243	2590.928095	327186.835374	19.743186	5.915025	122.161671	140.642624
142362585	16.3	21.48	4098.08	248	248	383.291786	47825.152937	2.904682	0.866452	17.902064	20.557839
142362611	14.41	16.62	426.19	29	29	283.025673	33981.399595	2.067249	0.566015	12.851141	14.607077
142362617	12.9	16.16	580.53	44	44	251.109576	28448.497085	1.799552	0.4759	10.792963	12.228738
142362623	2.93	11.80	189.81	57	57	252.615805	17151.935606	1.558917	0.331614	7.209478	7.372829
142362634	16.33	15.69	632.13	38	38	206.077018	33166.160176	1.67068	0.479354	12.196286	14.256678
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
