link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.0	10.33	646.07	45	0	282.544844	23436.065639	1.819417	0.304421	8.841358	10.074266
1	10.86	13.08	748.97	0	69	151.846866	18801.413158	1.118895	0.258262	7.02547	8.081937
100	14.1	15.77	2480.73	0	176	169.221837	27236.637425	1.376964	0.396687	10.043598	11.707831
11	14.33	12.07	2134.91	145	145	628.454207	40690.610064	3.812307	0.740406	16.362214	17.491162
12	31.11	13.87	4560.21	145	145	882.451718	75806.132603	5.760623	1.250174	29.394406	32.585805
13	14.71	13.03	2185.51	145	145	548.48936	39581.966037	3.406407	0.676699	15.59041	17.014619
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.39	349.57	172	172	73.022942	5037.162415	0.450565	0.086795	2.052707	2.165259
132017141#2	1.23	10.67	40.14	24	24	30.405928	2638.276184	0.198728	0.035417	1.000981	1.134091
132017141#3	0.71	10.16	295.93	253	253	25.719977	1760.129574	0.158212	0.029576	0.712726	0.756605
132017141#4	1.35	9.93	418.32	229	229	31.119266	2343.69518	0.195352	0.033051	0.904432	1.007463
132017141#5	0.83	8.79	395.58	288	288	42.505411	2484.090773	0.251713	0.043911	1.024076	1.067807
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.8	16.21	506.25	24	24	488.094413	61784.329002	3.633815	0.996224	23.570799	26.558292
132017149	11.56	12.65	3437.42	288	288	339.405126	31572.933674	2.280271	0.503208	12.392485	13.571828
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.35	13.21	426.80	18	18	333.540034	43635.241825	2.515239	0.592255	16.231418	18.756953
135657120	14.54	21.47	3026.89	205	205	464.444645	50917.258605	3.352339	0.957587	19.510924	21.886964
135657123	2.85	18.68	636.07	205	205	391.099981	27933.561814	2.461919	0.600984	11.852454	12.007273
14	45.04	15.54	6574.89	145	145	760.524364	103202.469588	5.805983	1.571147	38.734132	44.362179
142362576	109.23	21.57	26596.70	243	243	2590.466132	327632.266258	19.751283	5.920516	122.295448	140.834097
142362585	16.3	21.49	4097.33	248	248	388.423038	48225.079015	2.937919	0.87497	18.065459	20.729748
142362611	14.44	16.59	427.06	29	29	286.575312	32597.476763	2.065768	0.553635	12.438711	14.012185
142362617	12.83	16.25	524.78	40	40	245.153725	27292.810931	1.747499	0.460019	10.390961	11.731958
142362623	2.94	11.76	190.53	57	57	256.236771	17203.257589	1.577232	0.335096	7.250594	7.394888
142362634	16.32	15.70	631.75	38	38	208.189766	32655.556946	1.678024	0.478931	12.061286	14.037187
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
142362642	21.77	13.07	841.20	38	38	322.973448	40923.055149	2.405692	0.555717	15.238012	17.591105
148050996	0.09	20.58	16.56	51	51	1.478514	184.399712	0.01117	0.003313	0.069015	0.079265
148051000	3.36	15.80	186.45	51	51	41.124748	5964.377706	0.321477	0.090225	2.227677	2.563821
148051003	21.31	15.74	1102.14	51	51	306.164363	46835.348129	2.446317	0.690116	17.358413	20.132453
15	1.98	7.85	374.64	145	145	82.543832	4083.008391	0.472607	0.081205	1.755697	1.755111
152051288	109.11	21.57	27332.55	250	250	2622.213727	328412.351526	19.919195	5.951718	122.77947	141.169407
152051296	57.43	21.53	14008.88	243	243	1356.546862	171530.913391	10.339466	3.098091	64.044433	73.733278
158879913	48.49	12.87	293.18	6	6	673.703183	88053.883058	5.076727	1.167736	32.617084	37.850696
158879917	21.94	15.98	177.88	8	8	374.541306	52080.287034	2.893276	0.806569	19.602129	22.386988
158888001	53.75	21.57	13491.53	250	250	1282.858711	161017.46762	9.751862	2.916018	60.175355	69.214026
158888002	227.57	21.57	55353.16	243	243	5421.993011	681900.085807	41.252874	12.342657	254.768489	293.117582
158888013	27.79	15.54	6153.09	219	219	360.850884	56225.774411	2.906786	0.825194	20.797319	24.168985
158888040	4.94	15.66	1771.57	338	338	228.163392	21356.504196	1.540314	0.385885	8.564806	9.18017
158888049	20.0	13.17	5313.07	261	261	281.289066	37107.241732	2.12708	0.499188	13.769999	15.950846
16	36.25	15.50	5300.95	145	145	803.795239	95031.928737	5.838578	1.540014	36.537746	40.849945
160289846#0	68.25	9.98	12439.15	181	181	1486.229366	114805.85577	9.385295	1.556956	43.860744	49.350611
17	41.53	15.53	6066.61	145	145	858.995472	105928.90107	6.331882	1.687034	40.459395	45.534083
18	51.24	12.93	7638.54	148	148	786.07586	97862.530962	5.811691	1.330304	36.470081	42.067005
185675533	388.49	21.57	284536.38	732	732	9262.51515	1164474.211563	70.463646	21.079899	435.088284	500.554072
185675534	48.76	21.57	28067.20	573	573	1161.357963	146373.627772	8.843417	2.647794	54.66783	62.919313
188949094#0	3.68	10.71	1186.39	288	249	108.441082	6921.903681	0.654707	0.124663	2.838697	2.975429
188949094#1	2.7	13.75	802.32	267	0	380.838669	25200.833018	2.34293	0.527271	10.825094	10.83263
19	20.62	11.16	3114.35	148	148	550.923875	39751.182579	3.421166	0.606651	15.342319	17.087456
19a	17.68	15.05	2663.82	148	148	588.385039	56167.481421	3.974699	0.958495	22.102945	24.143874
2	10.83	13.13	634.98	57	0	150.667276	20080.56752	1.14041	0.267111	7.427976	8.631796
20	23.83	15.67	3571.77	148	148	346.823138	53191.934968	2.779734	0.78431	19.727581	22.864868
21	12.53	17.78	1893.52	148	148	391.187913	41562.726325	2.754093	0.750188	16.263803	17.865883
22	86.7	12.34	12888.76	148	148	1636.439442	163693.502429	11.189846	2.295251	61.593384	70.365138
23	65.19	12.83	9703.40	148	148	1189.46701	133689.864018	8.472959	1.884935	50.433714	57.467653
24	22.93	17.77	3433.86	148	148	766.17754	79576.553419	5.359809	1.440773	31.254335	34.20626
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.95	12.52	123.77	29	29	227.009445	17267.450125	1.441941	0.31432	7.091097	7.422494
24328854#2	1.05	13.05	21.16	15	15	27.318323	2593.51587	0.185301	0.042131	1.02036	1.114838
24328854#3	0.73	13.19	16.28	15	15	16.183527	1852.284386	0.114907	0.026869	0.702212	0.796218
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.34	30.92	40	40	36.074842	2154.153565	0.21565	0.042978	0.92137	0.925973
