link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.02	10.31	645.82	45	0	282.31521	23060.934601	1.810912	0.306161	8.747474	9.913005
1	10.9	13.04	751.23	0	69	146.244812	19329.991211	1.104303	0.254642	7.139208	8.30916
100	14.11	15.77	2481.75	0	176	170.513576	27272.808897	1.390837	0.399007	10.073968	11.723379
11	14.49	11.94	1979.98	133	133	642.108293	40677.558824	3.873895	0.739644	16.348914	17.485565
12	31.22	13.83	4197.64	133	133	928.369127	76753.841827	5.983831	1.276906	29.830719	32.993196
13	14.44	13.27	1967.90	133	133	535.146328	38645.217592	3.328001	0.665433	15.26132	16.611942
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.41	324.49	160	160	68.60201	4886.192814	0.426513	0.081657	1.972302	2.100366
132017141#2	1.22	10.81	39.75	24	24	30.619451	2579.335871	0.198797	0.037134	0.995734	1.108752
132017141#3	0.71	10.18	295.45	253	253	25.359297	1777.581762	0.156909	0.02937	0.715957	0.764108
132017141#4	1.36	9.85	421.88	229	229	31.579423	2313.069419	0.196822	0.033179	0.896674	0.994298
132017141#5	0.82	8.93	389.79	288	288	40.769945	2395.548194	0.24168	0.042023	0.9856	1.029747
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.8	16.21	506.32	24	24	477.13836	60642.919018	3.551784	0.973872	23.113185	26.067655
132017149	11.54	12.68	3431.42	288	288	341.105039	31354.311526	2.283095	0.504444	12.3426	13.477848
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.42	13.17	428.08	18	18	316.642625	41825.886686	2.404163	0.567044	15.552964	17.979187
135657120	14.54	21.47	3203.37	217	217	464.157527	50652.460478	3.345005	0.954031	19.425153	21.773139
135657123	2.85	18.65	674.38	217	217	397.476649	28233.377103	2.499017	0.608977	11.995568	12.136148
14	44.7	15.66	5985.43	133	133	721.16892	101777.891443	5.578608	1.534375	38.024349	43.74982
142362576	109.25	21.56	26601.19	243	243	2615.218974	328436.588595	19.886633	5.947019	122.742824	141.179829
142362585	16.3	21.49	4097.04	248	248	380.745078	48285.379325	2.90487	0.870907	18.027214	20.755672
142362611	14.5	16.52	428.70	29	29	300.088493	34453.131846	2.159576	0.580508	13.106538	14.809851
142362617	12.83	16.24	682.53	52	52	258.040225	29121.402334	1.847966	0.490595	11.094639	12.517983
142362623	2.93	11.80	189.89	57	57	253.69979	17216.518603	1.565845	0.333232	7.239664	7.40059
142362634	16.36	15.66	633.31	38	38	210.274654	31656.69515	1.664865	0.46802	11.744414	13.607818
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
142362642	21.75	13.08	840.11	38	38	327.334472	40967.916809	2.424686	0.562464	15.297274	17.610383
148050996	0.09	20.51	16.61	51	51	0.816025	126.803183	0.006722	0.002162	0.045842	0.054507
148051000	3.36	15.79	186.45	51	51	37.162082	6168.322448	0.305051	0.088468	2.261443	2.651492
148051003	21.29	15.75	1101.26	51	51	323.216104	47784.6597	2.545065	0.714954	17.795793	20.540511
15	1.94	8.03	336.18	133	133	80.231405	4061.716022	0.461667	0.080873	1.745937	1.745957
152051288	109.11	21.57	28644.76	262	262	2584.358715	326778.033585	19.70562	5.90624	121.977776	140.466901
152051296	57.43	21.53	14009.33	243	243	1365.755229	171555.246228	10.384618	3.104602	64.125545	73.743733
158879913	48.42	12.89	292.74	6	6	631.327795	83813.20092	4.787046	1.099516	30.958269	36.027814
158879917	21.94	15.98	177.90	8	8	330.875457	49403.559663	2.625241	0.743466	18.415245	21.236398
158888001	53.74	21.57	14138.51	262	262	1288.606933	162290.964511	9.808285	2.93621	60.616662	69.761446
158888002	227.56	21.57	55350.23	243	243	5398.607521	682077.912591	41.14958	12.330084	254.643715	293.194034
158888013	27.75	15.56	6144.95	219	219	363.222656	57010.736669	2.934518	0.835001	21.070864	24.506407
158888040	4.94	15.66	1771.15	338	338	229.921608	21120.845881	1.544491	0.385633	8.503249	9.078869
158888049	20.0	13.16	5313.61	261	261	287.574581	37136.936937	2.156827	0.505643	13.826918	15.963606
16	36.0	15.61	4828.18	133	133	808.147302	95347.271954	5.87474	1.554139	36.697605	40.985488
160289846#0	68.18	9.99	12426.68	181	181	1491.521667	115599.832399	9.427474	1.567192	44.158131	49.691908
17	41.17	15.67	5515.32	133	133	860.896463	107263.248944	6.363705	1.709681	40.92002	46.107654
18	51.16	12.96	7007.10	136	136	764.503997	97305.369462	5.693147	1.307932	36.131261	41.827515
185675533	388.48	21.57	284530.46	732	732	9246.534771	1163749.118815	70.37069	21.059873	434.737282	500.242393
185675534	48.76	21.57	28068.02	573	573	1153.633231	145761.187629	8.793627	2.634911	54.41855	62.656054
188949094#0	3.68	10.72	1185.21	288	249	111.767272	7175.253904	0.676169	0.130787	2.951968	3.08433
188949094#1	2.7	13.77	800.24	267	0	377.591362	25053.267482	2.324458	0.523407	10.754686	10.769199
19	20.58	11.18	2856.90	136	136	560.715091	40761.308469	3.491355	0.625862	15.763512	17.521659
19a	17.6	15.13	2435.85	136	136	597.163929	56282.70362	4.018836	0.970882	22.221521	24.193392
2	10.83	13.12	633.16	57	0	161.116192	21045.448818	1.21354	0.284177	7.816786	9.046555
20	23.7	15.76	3263.72	136	136	345.222509	53104.524954	2.765863	0.784612	19.687093	22.827292
21	12.45	17.89	1729.30	136	136	400.732313	41819.450198	2.809804	0.76295	16.41713	17.976231
22	85.91	12.45	11735.36	136	136	1578.466484	163077.047252	10.91075	2.2733	61.227142	70.10013
23	64.84	12.90	8868.85	136	136	1157.55638	131645.557852	8.277018	1.85258	49.605233	56.588888
24	22.82	17.86	3139.79	136	136	784.71053	79888.433292	5.456629	1.460302	31.491556	34.340313
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.93	12.59	123.32	29	29	233.963418	17522.159532	1.481578	0.324214	7.233298	7.531977
24328854#2	1.05	13.02	20.87	15	15	24.122242	2435.989962	0.166622	0.039174	0.952576	1.047124
24328854#3	0.73	13.07	16.43	15	15	13.103999	1329.973477	0.090601	0.019973	0.511726	0.571699
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.43	39.82	52	52	36.548636	2186.423785	0.218616	0.043793	0.936074	0.939844
24330636	28.62	15.75	6276.38	217	217	391.314999	61706.002114	3.168417	0.902289	22.799386	26.524695
24347613	13.29	17.86	704.76	52	52	686.007402	61076.388685	4.574674	1.173793	24.701838	26.253853
24443869	29.77	12.99	4008.27	133	133	420.310804	54791.550966	3.1634	0.731148	20.325691	23.552599
24443872	8.71	13.19	1079.61	119	119	119.903398	16093.018249	0.914357	0.215864	5.96775	6.917713
24443879.82	13.86	15.56	401.73	0	29	139.086494	25071.437027	1.193906	0.354116	9.155211	10.777112
24443883	25.55	13.00	2099.16	81	81	366.931521	48239.323371	2.774666	0.643798	17.898572	20.736067
24443886	39.22	13.04	3048.36	77	77	567.475237	72567.474194	4.236567	0.982073	27.006818	31.193713
245327987	8.32	21.51	2066.59	242	242	199.531391	25060.211308	1.516985	0.453464	9.367317	10.772236
245327988#1	8.41	21.45	2253.69	262	0	238.251824	27486.446795	1.752975	0.508274	10.431509	11.815154
245328442	61.02	21.54	16046.06	262	262	1442.949841	182408.032693	10.997205	3.295378	68.106297	78.408853
248722719	1.48	9.90	448.65	229	229	153.420233	9032.94796	0.913931	0.179971	3.863183	3.882855
248722721#0	2.36	8.33	686.54	234	234	68.469516	3913.378159	0.402153	0.063276	1.579774	1.682208
248722721#1	0.83	9.04	6.77	5	5	28.174953	1899.585337	0.172276	0.030152	0.758867	0.816554
248722721#2	0.19	8.96	100.91	141	141	10.622206	618.840508	0.062805	0.01072	0.254389	0.266014
248722721#3	0.91	8.98	137.94	96	96	24.902676	1614.73058	0.150135	0.022466	0.625018	0.694113
248722721#4	0.52	8.66	197.91	186	186	21.476935	1243.836587	0.126662	0.020783	0.506254	0.534675
248722721#5	1.3	8.74	97.91	53	53	86.784427	4905.784193	0.509861	0.086834	2.030793	2.108794
248722721#6	0.39	8.66	218.90	234	234	24.617049	1353.9863	0.143842	0.024618	0.565432	0.582022
248722722#0	69.14	12.12	15922.96	229	229	1390.632986	133501.790377	9.389152	1.908527	50.632547	57.386933
248722722#1	84.93	12.57	19535.73	229	229	1622.405209	174532.208303	11.394339	2.493393	66.255338	75.024052
248722725	2.12	7.28	501.47	181	181	81.377442	3825.480915	0.46011	0.071139	1.61345	1.644422
248722726	1.99	7.76	234.48	90	90	82.547113	4270.535766	0.476379	0.080492	1.804006	1.835725
248846659#1.206	13.78	10.39	1239.70	0	90	255.531779	21402.689783	1.650171	0.277642	8.069206	9.200195
248927010	0.36	7.79	128.80	133	133	37.191124	1899.437823	0.214506	0.038316	0.819626	0.816485
248927011	2.32	8.35	521.99	181	181	91.129114	4734.806871	0.52679	0.091211	2.011841	2.035292
249236831	15.16	9.75	2832.44	181	181	602.067734	38586.455662	3.637382	0.631039	15.54216	16.586742
249236832	13.02	12.63	2423.99	181	181	351.513557	33476.439899	2.378455	0.524628	13.071164	14.39007
249270205#0	14.58	12.16	2709.60	181	181	250.310795	26385.359877	1.743924	0.371107	9.95741	11.341971
249270205#0.177	1.31	9.78	324.61	181	181	47.079923	2332.085843	0.268975	0.042536	0.970086	1.002471
249443656#0	14.64	13.09	2715.25	181	181	539.440088	38544.260384	3.341919	0.659341	15.184207	16.568557
249443656#3	32.18	13.42	5889.03	181	181	889.253483	72311.807301	5.698561	1.171907	27.83799	31.083822
249443656#3.432	12.04	14.38	2238.99	181	181	403.890298	34597.096801	2.642593	0.598478	13.746219	14.871752
25	73.72	12.96	10075.68	136	136	1136.130139	139726.800048	8.363811	1.918007	52.242604	60.06268
251259917	13.62	12.16	2466.45	176	176	259.972807	25576.316913	1.772118	0.37906	9.812142	10.994179
251259918	3.57	9.58	280.34	69	69	112.951153	6802.820656	0.673756	0.123454	2.813612	2.924242
251259919	10.04	11.66	1389.86	133	133	219.226437	18916.056467	1.436094	0.295065	7.387514	8.131211
26	2.0	8.03	352.48	136	136	81.229503	4152.081392	0.46807	0.080972	1.77248	1.784803
27	2.1	17.70	708.84	0	338	2.143985	296.775551	0.015957	0.004395	0.110579	0.127571
28	2.55	15.48	965.34	338	338	23.777241	3643.559069	0.190389	0.053122	1.350716	1.566206
29	3.68	15.89	636.40	160	160	55.152959	8256.174991	0.437453	0.123951	3.073562	3.548964
294492782	17.73	21.54	12993.41	724	724	419.601369	52702.2884	3.190302	0.953876	19.699334	22.654297
30	34.58	12.93	6220.35	178	178	518.490532	65674.188052	3.859965	0.884447	24.434971	28.230588
311202397	3.83	15.24	1193.85	288	288	59.282738	8606.891153	0.463561	0.126981	3.209984	3.699724
311202398#0	4.7	11.66	816.61	160	160	119.519772	8648.874354	0.74495	0.152152	3.489755	3.717774
311202398#1	13.68	11.97	2252.68	160	160	489.660818	39257.520222	3.148859	0.670892	15.778033	16.875078
319611361#1	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
319611361#1.82	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
319611362	9.49	21.55	6869.34	0	724	213.776895	26027.200668	1.605945	0.475349	9.778598	11.187897
319611363	2.71	21.58	1678.64	573	573	64.478079	8073.851734	0.489579	0.1463	3.018346	3.470579
319611365	5.75	21.55	4372.84	732	732	142.722365	17708.775095	1.079879	0.321573	6.632992	7.612189
319611367	8.34	21.57	4907.73	573	573	195.23281	25012.36879	1.496197	0.450401	9.316103	10.751672
319611368	9.01	21.57	6756.70	732	732	217.204471	27098.342415	1.64798	0.491708	10.138021	11.648334
319611370	17.64	21.55	10324.27	579	0	430.171812	53682.002764	3.261976	0.973045	20.082794	23.075431
319611372	13.94	21.56	8113.11	573	573	332.805767	41739.448909	2.529362	0.756012	15.60309	17.941875
