link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.01	10.31	645.76	45	0	290.029001	23881.668608	1.864819	0.316889	9.054792	10.265805
1	10.89	13.05	750.81	0	69	148.381633	18926.591584	1.107025	0.255189	7.035659	8.13575
100	14.1	15.78	2479.71	0	176	172.710075	27470.200609	1.400127	0.402255	10.148113	11.808228
11	14.27	12.12	1993.90	136	136	578.91217	39831.854704	3.562593	0.712569	15.92796	17.122008
12	31.32	13.78	4306.17	136	136	883.17667	76243.995135	5.770001	1.249715	29.52874	32.77403
13	14.62	13.10	2038.25	136	136	529.792484	39050.173097	3.313445	0.671212	15.425334	16.786007
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.40	334.14	163	163	68.65081	4844.830012	0.425761	0.081086	1.957183	2.082586
132017141#2	1.23	10.65	40.32	24	24	20.654645	1829.348789	0.135587	0.023118	0.684311	0.786367
132017141#3	0.71	10.10	299.09	253	253	20.697603	1462.1902	0.128206	0.023473	0.584252	0.628535
132017141#4	1.35	9.93	419.12	229	229	31.220027	2308.222572	0.194936	0.032392	0.89074	0.992215
132017141#5	0.73	9.99	348.15	288	288	35.016796	2274.888036	0.21266	0.039166	0.929232	0.977878
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.89	16.14	508.46	24	24	496.459377	58317.03584	3.604568	0.964506	22.498745	25.067845
132017149	11.62	12.59	3453.84	288	288	320.227601	29979.386835	2.155508	0.475544	11.752227	12.886834
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.43	13.16	428.21	18	18	322.544173	43445.779058	2.454428	0.579273	16.077989	18.67552
135657120	14.53	21.48	3157.58	214	214	473.462874	50937.709484	3.395909	0.96404	19.584588	21.895751
135657123	2.86	18.63	665.84	214	214	392.383873	27984.185102	2.469132	0.602349	11.878722	12.029034
14	45.36	15.43	6210.92	136	136	777.196955	104029.650093	5.902657	1.587328	39.133068	44.717745
142362576	109.23	21.57	26597.51	243	243	2582.450581	327993.989787	19.723392	5.920182	122.347161	140.98959
142362585	16.31	21.48	4098.88	248	248	392.622995	49445.487804	2.986585	0.893434	18.481109	21.254348
142362611	14.51	16.51	429.11	29	29	288.278042	32650.699041	2.06991	0.552805	12.436703	14.035067
142362617	12.82	16.26	642.47	49	49	241.912447	28667.09231	1.765987	0.475087	10.844121	12.322701
142362623	2.92	11.85	189.05	57	57	255.045487	17166.75474	1.571013	0.335036	7.239386	7.379196
142362634	16.36	15.66	633.33	38	38	192.879048	31373.721787	1.569535	0.452026	11.523601	13.486188
142362639	21.11	15.21	21.42	1	1	502.679989	57326.933202	3.635722	0.944546	22.284011	24.642249
142362642	21.78	13.06	841.47	38	38	305.711411	39449.436319	2.292317	0.529636	14.642452	16.957664
148050996	0.09	20.69	16.46	51	51	2.271722	259.726425	0.016685	0.004828	0.098847	0.111644
148051000	3.36	15.80	186.50	51	51	34.959705	5594.829301	0.284518	0.081205	2.060165	2.404972
148051003	21.31	15.74	1102.24	51	51	315.802568	48432.539594	2.530823	0.717255	17.963392	20.819011
15	1.94	8.02	344.17	136	136	81.461035	4150.220176	0.469341	0.082413	1.78234	1.784001
152051288	109.13	21.57	28322.02	259	259	2626.045945	328007.441459	19.924715	5.948221	122.686812	140.995351
152051296	57.45	21.52	14013.10	243	243	1354.578546	171907.633169	10.341306	3.101735	64.156262	73.895215
158879913	48.35	12.91	292.34	6	6	677.149909	89919.829337	5.139383	1.180269	33.223622	38.6528
158879917	21.95	15.97	178.00	8	8	309.531363	49389.081397	2.515799	0.724226	18.241049	21.230188
158888001	53.75	21.57	13978.12	259	259	1291.806751	162439.147632	9.827946	2.940425	60.688704	69.825142
158888002	227.56	21.57	55350.04	243	243	5392.259502	681231.593602	41.097983	12.314713	254.327541	292.83024
158888013	27.77	15.55	6149.15	219	219	352.556867	56323.866627	2.865616	0.820063	20.769829	24.211154
158888040	4.94	15.66	1770.94	338	338	225.514971	21005.66452	1.519836	0.38047	8.431439	9.02936
158888049	19.98	13.18	5308.15	261	261	286.743232	37181.782826	2.152108	0.505961	13.837973	15.982883
16	36.59	15.36	5017.73	136	136	811.88648	96651.276426	5.907131	1.55408	37.099453	41.546041
160289846#0	68.16	9.99	12423.30	181	181	1483.259049	114665.459554	9.370041	1.561719	43.850675	49.290249
17	41.88	15.41	5736.94	136	136	895.642026	107585.746406	6.548323	1.727012	41.258997	46.24628
18	51.12	12.97	7156.64	139	139	775.691264	97736.423876	5.758752	1.320966	36.353013	42.012802
185675533	388.47	21.57	284519.07	732	732	9247.970009	1164482.914586	70.398795	21.071137	434.978987	500.55782
185675534	48.76	21.57	28068.08	573	573	1156.493495	145619.806551	8.802959	2.634905	54.393871	62.595279
188949094#0	3.7	10.66	1191.47	288	249	107.571774	6968.214213	0.651977	0.12445	2.848465	2.995336
188949094#1	2.73	13.62	809.91	267	0	375.21194	24886.689361	2.309265	0.518247	10.675781	10.697597
19	20.61	11.17	2923.35	139	139	562.659997	40644.970752	3.49515	0.615506	15.646021	17.471668
19a	17.61	15.12	2491.34	139	139	590.823388	55902.82933	3.9813	0.959866	22.039786	24.030107
2	10.85	13.11	635.18	57	0	167.056965	21471.026803	1.252999	0.293796	8.004744	9.229489
20	23.72	15.75	3338.52	139	139	353.875053	53214.251719	2.806412	0.791421	19.775741	22.874456
21	12.45	17.89	1767.27	139	139	392.590096	41421.535894	2.76556	0.752302	16.231738	17.805189
22	86.24	12.41	12040.03	139	139	1626.749546	163711.034983	11.148132	2.30402	61.638691	70.372655
23	65.0	12.86	9086.71	139	139	1164.939008	131672.657531	8.316109	1.852485	49.628793	56.600544
24	22.87	17.82	3215.42	139	139	780.06119	79067.079574	5.411263	1.447429	31.186012	33.98725
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.98	12.41	126.60	29	29	245.257938	18099.545015	1.545377	0.334719	7.477168	7.780171
24328854#2	1.08	12.62	21.26	15	15	20.116918	1859.15676	0.134569	0.027653	0.718545	0.799173
24328854#3	0.74	12.94	16.60	15	15	19.426341	2176.93621	0.139183	0.032369	0.832371	0.935771
24328854#4	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#5	0.31	10.42	37.57	49	49	35.578412	2132.419136	0.212894	0.042622	0.912306	0.91663
24330636	28.6	15.76	6184.47	214	214	394.822566	61478.694468	3.178625	0.903458	22.751041	26.426982
24347613	13.25	17.91	662.32	49	49	680.43067	60920.203546	4.550195	1.169604	24.617774	26.186717
24443869	29.75	13.00	4005.85	133	133	427.148276	55267.702464	3.204484	0.740449	20.524643	23.757274
24443872	8.72	13.18	1080.58	119	119	122.957694	16024.185979	0.926737	0.217842	5.96562	6.888123
24443879.82	13.87	15.54	402.15	0	29	147.788957	24957.007928	1.233957	0.360737	9.178652	10.727919
24443883	25.53	13.01	2097.88	81	81	364.582358	48778.197901	2.770549	0.643143	18.036105	20.967714
24443886	39.24	13.03	3049.89	77	77	575.042876	74233.951573	4.31001	0.999973	27.589478	31.910065
245327987	8.33	21.50	2068.22	242	242	191.181443	24554.723943	1.465954	0.441364	9.146733	10.554952
