link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.01	10.32	646.92	45	0	280.448409	23170.801087	1.804129	0.302752	8.754089	9.960237
1	10.87	13.07	749.80	0	69	142.776306	18160.1545	1.063869	0.246084	6.758407	7.806289
100	14.11	15.77	2481.66	0	176	168.807641	27044.407635	1.368861	0.393291	9.972823	11.625201
11	14.42	12.00	2030.02	137	137	647.108413	41171.935764	3.905723	0.750013	16.553773	17.698072
12	31.09	13.88	4306.20	137	137	895.531697	75620.473553	5.8086	1.25085	29.337747	32.506005
13	14.33	13.37	2011.60	137	137	522.583303	38716.498468	3.270995	0.663009	15.256964	16.642577
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.40	334.05	164	164	74.355005	5144.574036	0.459137	0.08854	2.095627	2.211431
132017141#2	1.24	10.62	40.07	24	24	24.811312	2240.579058	0.163924	0.028569	0.839255	0.963138
132017141#3	0.7	10.26	293.05	253	253	23.787704	1660.047638	0.147071	0.027746	0.670681	0.713584
132017141#4	1.35	9.91	419.69	229	229	28.654199	2171.986199	0.180123	0.030212	0.835413	0.933652
132017141#5	0.81	9.01	386.00	288	288	42.342244	2507.5258	0.251573	0.044519	1.035039	1.07788
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.81	16.20	506.55	24	24	504.185543	62124.923744	3.721869	1.011958	23.800423	26.704692
132017149	11.53	12.68	3429.62	288	288	334.470142	31386.946145	2.253841	0.499148	12.307982	13.49188
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.45	13.15	428.53	18	18	321.778165	41332.215358	2.412867	0.566331	15.421417	17.766975
135657120	14.54	21.47	3145.06	213	213	463.865227	51121.872465	3.354723	0.959916	19.570992	21.974919
135657123	2.85	18.70	660.23	213	213	395.195575	28130.213246	2.485571	0.606177	11.946078	12.091803
14	44.82	15.62	6182.23	137	137	740.206325	102573.31173	5.6945	1.55507	38.42022	44.091732
142362576	109.23	21.57	26595.60	243	243	2618.107543	327872.553692	19.884395	5.941479	122.57832	140.937373
142362585	16.31	21.48	4098.72	248	248	388.098409	48160.529867	2.935791	0.873995	18.045243	20.702001
142362611	14.43	16.60	426.66	29	29	279.468459	32602.96491	2.035285	0.549777	12.394227	14.014547
142362617	12.86	16.21	631.21	48	48	255.254742	27888.722256	1.811133	0.474089	10.660308	11.98811
142362623	2.95	11.73	191.03	57	57	255.119239	17191.620427	1.571563	0.333191	7.23404	7.389888
142362634	16.32	15.70	631.72	38	38	208.562846	33072.927573	1.681703	0.482289	12.190274	14.216597
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
