link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.02	10.31	645.64	45	0	284.908118	23281.692308	1.827786	0.310292	8.839169	10.007898
1	10.88	13.06	750.15	0	69	141.488304	19139.011981	1.077595	0.248804	7.042736	8.227068
100	14.11	15.77	2481.42	0	176	181.00979	27824.965949	1.452664	0.414532	10.332544	11.960721
11	14.48	11.95	2067.53	139	139	592.350729	40021.701537	3.625502	0.716027	16.009973	17.203623
12	31.37	13.76	4408.65	139	139	894.410447	76045.148531	5.81851	1.251612	29.49132	32.688557
13	14.8	12.95	2108.08	139	139	568.427771	39513.550049	3.501688	0.686507	15.674052	16.985207
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.40	340.12	166	166	70.584209	4907.328247	0.436347	0.08404	1.99567	2.10945
132017141#2	1.24	10.61	40.50	24	24	26.395071	2220.806456	0.170888	0.029859	0.844461	0.954638
132017141#3	0.71	10.10	299.10	253	253	21.947392	1563.878152	0.136242	0.024979	0.623912	0.672246
132017141#4	1.35	9.95	418.04	229	229	32.383112	2436.871239	0.203213	0.034268	0.940295	1.047516
132017141#5	0.73	9.98	348.72	288	288	34.922791	2268.060667	0.212027	0.038817	0.924968	0.974944
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.82	16.19	506.81	24	24	517.816948	60352.892234	3.748356	1.005607	23.326357	25.94296
132017149	11.62	12.59	3455.27	288	288	322.657039	30648.796733	2.181977	0.481118	11.976669	13.174588
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.43	13.16	428.22	18	18	339.862039	43833.365247	2.548917	0.598538	16.33637	18.842116
135657120	14.53	21.49	3024.36	205	205	457.46848	51166.313094	3.327098	0.956654	19.533138	21.994026
135657123	2.84	18.72	634.74	205	205	401.596369	28508.851239	2.524215	0.615107	12.112522	12.254561
14	45.53	15.37	6372.16	139	139	766.632297	102966.506065	5.823761	1.562372	38.676567	44.260756
142362576	109.25	21.56	26602.10	243	243	2590.723334	326704.862655	19.731164	5.90861	122.012458	140.435444
142362585	16.31	21.48	4098.54	248	248	379.934738	48424.716848	2.903803	0.872	18.066852	20.815567
142362611	14.43	16.60	426.69	29	29	291.218435	33124.43115	2.093962	0.563229	12.631669	14.238698
142362617	12.94	16.10	609.02	46	46	259.007873	28876.316639	1.849172	0.486353	10.988398	12.412637
142362623	2.93	11.79	189.97	57	57	246.656374	16804.121215	1.523822	0.325205	7.064767	7.223318
142362634	16.33	15.69	632.16	38	38	209.463766	32025.061439	1.666161	0.473168	11.859488	13.766162
142362639	21.16	15.17	21.47	1	1	414.350572	51270.069787	3.095237	0.808371	19.660088	22.038709
142362642	21.76	13.07	840.62	38	38	309.606028	39636.811319	2.309966	0.535315	14.734136	17.038204
148050996	0.09	20.57	16.56	51	51	1.922934	200.952415	0.013655	0.003839	0.077657	0.08638
148051000	3.36	15.77	186.63	51	51	40.691406	6242.485182	0.323459	0.092051	2.309088	2.683369
148051003	21.31	15.74	1102.01	51	51	309.970791	47558.176231	2.469434	0.698934	17.608004	20.443166
15	1.95	7.99	353.08	139	139	84.782465	4306.369462	0.488289	0.086204	1.854081	1.851122
152051288	109.11	21.57	27332.38	250	250	2605.521029	326902.415384	19.803971	5.920967	122.17834	140.520357
152051296	57.46	21.52	14015.65	243	243	1358.016527	171373.727516	10.342013	3.096643	64.013358	73.66571
158879913	48.3	12.93	291.98	6	6	641.347931	85155.668864	4.857485	1.110057	31.405055	36.604896
158879917	21.94	15.98	177.88	8	8	302.599724	48446.847211	2.473357	0.715152	17.917047	20.825158
158888001	53.74	21.57	13490.97	250	250	1274.745071	160321.52091	9.700798	2.902193	59.900251	68.914871
158888002	227.52	21.57	55341.05	243	243	5418.642957	682827.957129	41.263413	12.353722	255.02341	293.516438
158888013	27.77	15.55	6149.47	219	219	359.146047	56759.286485	2.909804	0.829258	20.961311	24.398321
158888040	4.94	15.66	1770.67	338	338	232.677188	21329.006681	1.561931	0.389837	8.590717	9.168347
158888049	19.98	13.17	5310.14	261	261	287.916425	37490.73758	2.164745	0.508241	13.941624	16.115691
16	36.66	15.33	5139.50	139	139	816.308522	96022.6756	5.916765	1.549643	36.919918	41.275832
160289846#0	68.2	9.99	12430.45	181	181	1498.660674	116100.456272	9.471409	1.572663	44.339458	49.90711
17	41.89	15.40	5865.67	139	139	876.302012	107139.740366	6.438501	1.704631	40.961254	46.054573
18	51.21	12.94	7323.31	142	142	784.182178	97940.841573	5.801219	1.330757	36.488943	42.100666
185675533	388.5	21.57	284541.02	732	732	9260.745016	1166161.348386	70.495878	21.100599	435.606043	501.279302
185675534	48.77	21.57	28364.16	579	579	1156.306198	146058.83384	8.812822	2.640425	54.532916	62.783998
188949094#0	3.72	10.60	1198.42	288	249	112.035284	7108.132752	0.6763	0.128563	2.920018	3.05548
188949094#1	2.72	13.67	806.62	267	0	377.402441	25021.143218	2.322657	0.521924	10.738611	10.755392
19	20.73	11.10	3003.78	142	142	586.000452	41309.46443	3.617053	0.635437	15.983719	17.757303
19a	17.65	15.08	2550.64	142	142	588.33199	56043.265741	3.975334	0.958276	22.062449	24.090478
2	10.84	13.12	632.16	57	0	156.846572	20887.086764	1.190805	0.278529	7.732333	8.978485
20	23.76	15.72	3417.46	142	142	348.72054	53267.713609	2.784453	0.786253	19.759717	22.897441
21	12.49	17.83	1811.41	142	142	401.133519	42153.707022	2.818388	0.765744	16.526858	18.119915
22	86.2	12.41	12294.50	142	142	1620.778283	163475.401745	11.116166	2.297298	61.531502	70.271368
23	64.97	12.87	9278.40	142	142	1184.96427	134048.800352	8.463053	1.890667	50.554705	57.621939
24	22.88	17.81	3286.79	142	142	786.100007	79704.434507	5.460639	1.459009	31.445402	34.261219
24328854#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
24328854#1	3.93	12.57	124.95	29	29	238.690497	17896.779321	1.511675	0.330716	7.384969	7.693009
24328854#2	1.08	12.60	21.58	15	15	18.858956	2198.688209	0.135772	0.029416	0.821001	0.945125
24328854#3	0.79	12.18	24.70	21	21	61.650857	4208.571614	0.380742	0.081804	1.768885	1.809071
24328854#4	1.23	12.05	9.30	6	6	68.861344	5025.769669	0.433645	0.096878	2.101826	2.160344
24328854#5	0.3	10.63	34.57	46	46	35.506335	2153.724457	0.213097	0.043033	0.92052	0.925788
24330636	28.61	15.75	5926.93	205	205	395.445953	61380.750111	3.184081	0.902736	22.728079	26.38488
24347613	13.22	17.95	620.51	46	46	680.097275	60027.976348	4.524924	1.158981	24.308513	25.803187
24443869	29.73	13.01	4183.07	139	139	436.783945	55991.775653	3.266835	0.756165	20.837744	24.068517
24443872	8.71	13.20	1078.75	119	119	121.221671	16474.008774	0.927739	0.219461	6.095401	7.081486
24443879.82	13.87	15.55	402.05	0	29	143.444552	25289.168818	1.21102	0.358854	9.24275	10.870705
24443883	25.52	13.02	2096.44	81	81	359.829787	47088.28539	2.710379	0.631266	17.484883	20.241281
24443886	39.24	13.04	3049.33	77	77	558.62181	73086.171689	4.203987	0.974249	27.089783	31.416692
245327987	8.32	21.51	2066.50	242	242	190.521391	24534.951013	1.462437	0.440826	9.132707	10.546453
245327988#1	8.4	21.46	2254.29	262	0	241.43475	27476.182439	1.767628	0.510177	10.452473	11.81074
245328442	61.06	21.53	15319.93	250	250	1442.918546	182632.813114	11.002558	3.297952	68.185348	78.505476
248722719	1.48	9.90	448.62	229	229	153.086052	9026.161193	0.911939	0.178178	3.849295	3.87994
248722721#0	2.36	8.34	685.91	234	234	63.358716	3673.969926	0.373201	0.058405	1.475775	1.579297
248722721#1	0.83	8.96	6.83	5	5	26.925379	1549.455265	0.158764	0.026982	0.638098	0.666047
248722721#2	0.19	8.91	105.81	147	147	10.881609	623.873757	0.064142	0.011051	0.258216	0.268177
248722721#3	0.91	8.97	146.63	102	102	28.05025	1762.852608	0.168	0.025567	0.689866	0.757784
248722721#4	0.52	8.62	205.08	192	192	19.632263	1145.650214	0.115867	0.018496	0.461883	0.49247
248722721#5	1.31	8.70	98.38	53	53	83.073647	4690.720495	0.487975	0.083237	1.943051	2.016347
248722721#6	0.38	8.74	216.80	234	234	20.868897	1178.929601	0.122617	0.021027	0.489136	0.506773
248722722#0	68.66	12.20	15812.49	229	229	1332.277723	131964.073794	9.096282	1.879446	50.000354	56.725908
248722722#1	84.79	12.59	19504.43	229	229	1597.26536	173033.898069	11.246251	2.469663	65.661306	74.379986
248722725	2.04	7.55	483.57	181	181	87.316572	4300.781489	0.49914	0.083693	1.836993	1.848725
248722726	1.96	7.91	230.25	90	90	84.367475	4483.260706	0.489816	0.084744	1.893802	1.927164
248846659#1.206	13.77	10.40	1238.12	0	90	249.045372	20776.577831	1.606769	0.272942	7.855848	8.931049
248927010	0.36	7.65	137.02	139	139	37.164921	1884.000462	0.214008	0.037992	0.81296	0.80985
248927011	2.31	8.36	521.66	181	181	94.644949	4972.671434	0.548577	0.096568	2.116952	2.137538
