link	nlanes	from	to	maxspeed	length
:10_0	1	None	None	12.50	17.49
:10_1	2	None	None	11.11	17.33
:100_0	1	None	None	23.61	29.13
:100_1	3	None	None	30.56	29.56
:101_0	3	None	None	33.33	8.17
:102_0	4	None	None	33.33	8.10
:103_0	2	None	None	33.33	8.05
:104_0	3	None	None	33.33	8.09
:105_0	2	None	None	33.33	0.22
:106_0	2	None	None	33.33	0.31
:107_0	3	None	None	33.33	8.17
:108_0	1	None	None	23.61	12.03
:108_1	2	None	None	30.56	12.90
:109_0	1	None	None	23.61	12.55
:109_1	2	None	None	30.56	19.24
:11_0	1	None	None	12.50	18.25
:11_1	2	None	None	11.11	17.80
:110_0	1	None	None	23.61	14.55
:110_1	2	None	None	30.56	14.70
:111_0	3	None	None	33.33	8.17
:114_0	1	None	None	23.61	14.20
:114_1	2	None	None	30.56	14.29
:115_0	1	None	None	15.28	8.35
:115_1	2	None	None	16.67	9.35
:116_0	1	None	None	15.28	7.48
:117_0	1	None	None	15.28	8.35
:117_1	1	None	None	15.28	8.86
:118_0	4	None	None	16.67	62.19
:118_4	1	None	None	16.67	62.07
:118_5	1	None	None	16.67	61.46
:119_0	4	None	None	16.67	8.80
:12_0	1	None	None	12.50	20.14
:12_1	2	None	None	11.11	20.16
:120_0	2	None	None	16.67	0.24
:121_0	4	None	None	16.67	0.33
:122_0	6	None	None	18.06	8.57
:123_0	1	None	None	18.06	49.48
:123_1	1	None	None	11.12	49.25
:123_2	1	None	None	18.06	49.01
:123_3	2	None	None	18.06	47.90
:123_5	1	None	None	11.12	48.69
:123_6	1	None	None	18.06	49.59
:124_0	4	None	None	19.44	8.06
:125_0	3	None	None	19.44	3.00
:125_3	1	None	None	12.50	4.39
:126_0	1	None	None	10.72	5.73
:126_1	2	None	None	19.44	6.44
:127_0	2	None	None	19.44	8.16
:128_0	1	None	None	18.06	12.21
:128_1	1	None	None	16.66	11.82
:129_0	2	None	None	18.06	8.10
:13_0	1	None	None	13.89	26.69
:13_1	2	None	None	11.11	18.94
:132_0	1	None	None	16.67	0.10
:133_0	1	None	None	13.89	0.22
:134_0	1	None	None	15.28	0.24
:135_0	1	None	None	13.89	0.29
:137_0	1	None	None	23.61	7.89
:137_1	2	None	None	30.56	7.92
:138_0	1	None	None	10.31	6.26
:138_1	2	None	None	30.56	7.19
:139_0	3	None	None	33.33	7.61
:14_0	1	None	None	9.17	5.87
:14_1	2	None	None	11.11	5.75
:140_0	2	None	None	33.33	7.72
:141_0	2	None	None	33.33	8.21
:142_0	2	None	None	33.33	0.27
:143_0	1	None	None	27.77	26.19
:143_1	2	None	None	30.56	26.08
:144_0	3	None	None	33.33	8.21
:145_0	1	None	None	27.77	14.71
:145_1	2	None	None	30.56	14.84
:146_0	1	None	None	19.45	8.15
:147_0	1	None	None	25.00	23.12
:147_1	1	None	None	25.00	23.71
:147_2	2	None	None	30.56	23.84
:148_0	4	None	None	33.33	7.99
:149_0	2	None	None	27.77	14.71
:149_2	2	None	None	30.56	14.87
:15_0	1	None	None	16.66	0.28
:15_1	1	None	None	13.89	0.36
:150_0	3	None	None	33.33	7.65
:151_0	2	None	None	33.33	7.64
:152_0	1	None	None	23.61	15.89
:152_1	2	None	None	30.56	16.76
:153_0	3	None	None	33.33	7.83
:154_0	3	None	None	33.33	0.31
:155_0	1	None	None	23.61	9.82
:155_1	2	None	None	30.56	7.91
:156_0	1	None	None	20.84	17.85
:156_1	2	None	None	27.78	18.34
:157_0	1	None	None	20.84	12.22
:157_1	2	None	None	27.78	12.39
:158_0	1	None	None	25.00	23.60
:158_1	2	None	None	30.56	23.25
:159_0	1	None	None	23.61	16.91
:159_1	2	None	None	30.56	16.95
:16_0	1	None	None	15.28	0.25
:16_1	1	None	None	18.06	0.75
:162_0	2	None	None	25.00	0.51
:163_0	2	None	None	19.45	0.83
:164_0	2	None	None	22.22	8.21
:165_0	1	None	None	27.77	20.23
:165_1	2	None	None	30.56	20.12
:166_0	1	None	None	25.00	19.35
:166_1	1	None	None	25.00	19.58
:166_2	1	None	None	36.11	19.56
:167_0	1	None	None	33.33	0.10
:168_0	3	None	None	27.78	0.37
:169_0	3	None	None	30.56	7.91
:17_0	1	None	None	16.67	0.49
:17_1	1	None	None	16.67	0.16
:170_0	2	None	None	33.33	8.11
:171_0	2	None	None	33.33	0.28
:172_0	2	None	None	33.33	0.23
:173_0	2	None	None	33.33	0.27
:174_0	2	None	None	33.33	8.21
:175_0	2	None	None	33.33	0.10
:176_0	3	None	None	33.33	8.21
:177_0	2	None	None	33.33	7.99
:178_0	3	None	None	33.33	8.20
:179_0	2	None	None	30.56	0.29
:18_0	1	None	None	16.66	0.27
:18_1	1	None	None	16.66	0.81
:180_0	2	None	None	30.56	0.25
:181_0	2	None	None	30.56	0.30
:182_0	2	None	None	30.56	0.29
:183_0	2	None	None	33.33	7.94
:184_0	2	None	None	30.00	0.27
:185_0	1	None	None	25.00	14.01
:185_1	2	None	None	30.00	14.56
:186_0	1	None	None	21.67	21.18
:186_1	2	None	None	26.67	21.16
:187_0	1	None	None	25.00	20.12
:187_1	1	None	None	30.00	20.09
:187_2	1	None	None	30.00	19.68
:188_0	3	None	None	33.33	8.00
:189_0	1	None	None	27.77	30.49
:189_1	2	None	None	30.00	30.48
:19_0	1	None	None	13.89	0.31
:19_1	1	None	None	13.89	0.27
:192_0	1	None	None	18.06	0.95
:192_1	1	None	None	18.06	0.32
:193_0	1	None	None	15.28	0.22
:194_0	1	None	None	15.28	0.29
:196_0	1	None	None	15.28	10.63
:196_1	1	None	None	13.89	8.97
:198_0	2	None	None	16.67	0.74
:199_0	2	None	None	19.45	0.72
:2_0	1	None	None	16.66	12.37
:2_1	1	None	None	18.06	12.38
:2_2	1	None	None	18.06	12.28
:20_0	1	None	None	16.66	0.30
:20_1	1	None	None	16.66	0.20
:200_0	2	None	None	33.33	8.18
:201_0	1	None	None	18.06	13.64
:201_1	1	None	None	13.89	9.98
:202_0	2	None	None	16.67	0.25
:203_0	1	None	None	13.89	0.17
:21_0	1	None	None	16.66	0.49
:21_1	1	None	None	16.66	0.16
:22_0	1	None	None	13.89	4.82
:22_1	1	None	None	13.89	3.63
:23_0	1	None	None	11.81	11.31
:23_1	1	None	None	9.72	11.56
:24_0	1	None	None	10.41	8.08
:24_1	1	None	None	9.72	8.17
:26_0	1	None	None	11.11	5.28
:26_1	1	None	None	11.11	5.32
:27_0	1	None	None	10.41	8.02
:27_1	1	None	None	9.72	8.12
:28_0	1	None	None	10.41	5.61
:28_1	1	None	None	8.43	4.51
:29_0	1	None	None	12.50	6.96
:29_1	1	None	None	11.81	6.98
:3_0	1	None	None	16.67	10.96
:3_1	1	None	None	15.28	11.06
:3_2	1	None	None	16.67	11.04
:30_0	1	None	None	11.81	0.55
:31_0	1	None	None	8.64	6.28
:31_1	1	None	None	9.72	6.40
:32_0	1	None	None	12.50	6.26
:32_1	1	None	None	5.99	5.21
:32_3	1	None	None	5.99	8.35
:32_2	1	None	None	12.50	13.63
:33_0	1	None	None	13.89	5.01
:33_1	1	None	None	11.16	3.66
:34_0	1	None	None	13.89	19.52
:34_1	2	None	None	12.50	14.18
:35_0	2	None	None	8.33	1.43
:36_0	1	None	None	13.89	12.57
:36_1	2	None	None	12.50	11.43
:37_0	2	None	None	10.52	6.84
:37_2	1	None	None	12.16	7.57
:38_0	1	None	None	13.89	17.10
:38_1	2	None	None	12.50	13.24
:39_0	1	None	None	13.89	2.80
:39_1	1	None	None	5.21	4.91
:39_3	1	None	None	5.21	4.89
:39_2	1	None	None	13.89	4.42
:4_0	1	None	None	16.67	6.38
:4_1	1	None	None	16.67	6.73
:40_0	1	None	None	12.50	0.14
:40_1	1	None	None	12.50	0.41
:41_0	1	None	None	6.12	6.94
:41_1	1	None	None	3.90	2.31
:43_0	1	None	None	13.89	0.51
:43_1	1	None	None	12.50	0.17
:45_0	1	None	None	15.28	0.13
:45_1	1	None	None	15.28	0.38
