node_id	x	y
1	1311.81	818.85
112	4332.20	941.27
113	4352.02	837.84
130	4156.74	715.76
131	4107.48	659.24
136	4003.17	511.44
160	955.53	858.77
161	965.20	844.99
190	824.13	12061.62
191	809.62	12070.86
25	1064.40	6203.22
77	453.13	11681.40
78	319.48	11306.79
9	1310.79	1195.95
97	2180.67	11567.81
98	2166.30	11554.83
:32_3_0	909.91	6131.22
:39_3_0	210.37	7484.01
:53_3_0	118.57	9814.56
:66_3_0	316.23	10487.34
J-26-1T	966.54	6105.51
J-25-1F	1064.40	6203.22
J-78-1T	319.48	11306.79
J-79-1F	456.09	11272.27
J-77-1T	453.13	11681.40
J-76-1F	508.07	11464.67
J-45-1T	143.21	8331.42
J-gneJ7-1F	116.03	8502.58
J-gneJ7-1T	116.03	8502.58
J-48-1F	58.97	8930.60
J-48-1T	58.97	8930.60
J-51-1F	48.83	9122.26
J-10-1T	1330.75	1207.58
J-11-1F	1332.67	1232.18
J-11-1T	1332.67	1232.18
J-12-1F	1297.11	1244.42
J-12-1T	1297.11	1244.42
J-13-1F	1285.92	1232.96
J-13-1T	1285.92	1232.96
J-14-1F	1292.07	1202.29
J-14-1T	1292.07	1202.29
J-8-1F	1297.67	1198.56
J-13-2T	1285.92	1232.96
J-158-1F	1043.45	938.78
J-8-1T	1297.67	1198.56
J-7-1F	1357.65	1049.03
J-159-1T	1071.02	938.85
J-2-1F	1323.85	850.39
J-162-1T	2356.39	885.45
J-165-1F	2647.66	1071.49
J-199-1T	2337.01	835.29
J-162-1F	2356.39	885.45
J-51-1T	48.83	9122.26
J-53-1F	117.68	9813.16
J-183-1T	816.87	11157.81
J-181-1F	1903.14	9161.20
J-186-1T	793.21	11480.52
J-189-1F	789.38	11895.11
J-80-1T	772.58	11309.21
J-82-1F	1012.99	11376.54
J-81-1T	770.93	11319.41
J-70-1F	562.53	11276.11
J-73-1T	512.28	11276.58
J-79-2F	456.09	11272.27
J-187-1T	760.32	11620.32
J-194-1F	738.11	11633.41
J-193-1T	735.99	11641.92
J-185-1F	788.48	11395.80
J-194-1T	738.11	11633.41
J-196-1F	974.70	11528.67
J-166-1T	2693.13	1117.00
J-167-1F	2659.64	1095.25
J-163-1T	2345.54	890.38
J-198-1F	2327.40	839.74
