carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
0	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
1	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
2	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
3	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
4	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
5	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
6	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
7	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
8	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
9	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
10	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
11	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
12	22423.32132868434	2123571.5216988185	150.95457968761227	33.068986225496374	819.8577204795483	912.8324877269243	12034.698333333341	924.213261684829
13	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
14	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
15	18192.682459216092	2181239.282892312	135.3806187758068	38.90289390904074	822.371019525138	937.6151790202823	14976.854166666673	746.5303177151001
