link	ttime	avgspeed	sampledSeconds	entered	left	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel
-248846659#1	14.04	10.29	648.92	45	0	277.911041	22541.424117	1.778905	0.299176	8.552494	9.689689
1	10.89	13.05	751.03	0	69	162.479426	19667.496782	1.190019	0.274964	7.384629	8.454225
100	14.11	15.77	2481.53	0	176	172.955346	27366.454217	1.402291	0.402051	10.120858	11.763631
11	14.45	11.97	2167.32	146	146	622.070661	40354.066335	3.771251	0.729667	16.195174	17.346502
12	31.04	13.90	4582.04	146	146	896.0154	76391.788882	5.836047	1.264635	29.664697	32.837551
13	14.8	12.95	2213.67	146	146	559.853689	39744.199047	3.458963	0.679557	15.656179	17.084363
132017141#0	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017141#1	1.59	10.40	350.51	173	173	70.748954	5021.543252	0.439281	0.083109	2.022062	2.158549
132017141#2	1.23	10.69	40.20	24	24	26.281985	2303.513295	0.172237	0.030534	0.871303	0.99019
132017141#3	0.7	10.22	293.61	253	253	25.774496	1775.601098	0.158877	0.030081	0.720324	0.763255
132017141#4	1.37	9.81	424.17	229	229	29.836362	2214.449968	0.186475	0.030903	0.852499	0.951906
132017141#5	0.79	9.23	377.11	288	288	39.719346	2376.032501	0.236457	0.041643	0.977156	1.021357
132017141#6	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017142	20.79	16.22	505.91	24	24	501.484968	61994.816012	3.701681	1.008957	23.734993	26.648765
132017149	11.55	12.67	3432.99	288	288	336.793399	31527.269519	2.266978	0.501654	12.366724	13.552199
132017150	0.0	0	0.00	0	0	0.0	0.0	0.0	0.0	0.0	0.0
132017151	23.44	13.16	428.39	18	18	328.841426	44017.319667	2.506605	0.589835	16.31943	18.921199
135657120	14.54	21.48	3011.06	204	204	472.650686	51095.608819	3.395924	0.965483	19.629564	21.963626
135657123	2.85	18.70	632.54	204	204	395.310623	28193.20918	2.486484	0.606851	11.96444	12.118883
14	45.07	15.53	6625.43	146	146	767.135625	102966.746588	5.831349	1.574478	38.71252	44.260847
142362576	109.23	21.57	26596.76	243	243	2617.725922	328589.68161	19.903392	5.951043	122.806749	141.245636
142362585	16.3	21.48	4098.47	248	248	394.588285	49219.610209	2.989839	0.891683	18.424791	21.157252
142362611	14.37	16.67	425.02	29	29	267.171622	30967.246146	1.935869	0.520786	11.781844	13.311426
142362617	12.76	16.33	509.13	39	39	257.169836	28917.666013	1.838605	0.488172	11.012175	12.430407
142362623	2.92	11.85	189.06	57	57	248.545657	16888.417462	1.534474	0.327511	7.105206	7.259553
142362634	16.36	15.67	633.04	38	38	203.169223	31401.764686	1.621122	0.461528	11.611622	13.498236
142362639	21.2	15.14	21.52	1	1	408.249325	51545.040395	3.072846	0.804896	19.704406	22.156912
142362642	21.75	13.08	840.38	38	38	313.999853	41016.117374	2.357165	0.549765	15.206584	17.631112
148050996	0.09	20.58	16.56	51	51	0.883931	140.461915	0.007431	0.002389	0.050842	0.060378
